EmptyWords-German,is active,Wordtype,Forms,Alternatives-German in job title | role | requirements,Alternatives-German in company & company culture
Arbeitskraft,1,,(aft|äfte),Angestellte | Mitarbeitende | Mitarbeiterinnen und Mitarbeiter | Personal,Angestellte | Mitarbeitende | Mitarbeiterinnen und Mitarbeiter | Personal
dynamisch,1,,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,-,-
einzigartig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,-,-
Familienvater,1,,(ater|äter)?,Eltern | Vater,Eltern | Vater
Flexibilität,1,s,,-,-
flexibel,1,a,,-,-
global,1,,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,-,-
hochwertig,1,,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,-,-
Innovation,1,,(en|skraft)?,-,-
Innovationskraft,1,,,,
innovativ,1,,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,-,-
international,1,,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,-,-
jung,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,-,-
Karrierechance,1,s,(en)?,-,-
lösungsorientiert,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,pragmatisch,pragmatisch
massgeblich,1,,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,-,-
normal,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,typisch,typisch
Organisationstalent,1,,(e|s|es)?,-,-
Perspektive,1,s,(n)?,-,-
Querdenken,1,,,-,-
teamfähig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,-,-
Teamfähigkeit,1,s,,-,-
Teamplayer,1,,,Zusammenarbeit über das eigene Streben stellen,Team | Teammitglieder | Teamplayer*innen
Traumaufgabe,1,,,-,-
Traumjob,1,,s?,-,-
weltweit,1,,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,-,-
wirklich,1,,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,-,-
