Boasting-German,Is active,Wordtype,Forms,"Alternatives-German in job title, role, requirements",Alternatives-German in company & company culture
Alpha-Person,1,s,(en)?,-,-
belegte Erfolgsgeschichte,1,s,n?,-,-
bestens etabliert,1,a,,-,-
mehr erreich,1,v,(st|t|en),umsetzungsorientiert | pragmatisch in der Verwirklichung einer Vision,umsetzungsorientiert | pragmatisch in der Verwirklichung einer Vision
go getter,1,s,s?,-,-
goal getter,1,s,s?,-,-
heller Geist,1,s,,-,-
hohes Verantwortungsbewusstsein,1,a,,Verantwortung übernehmen,-
hohe Ziele,1,s,,-,-
kluge Köpfe,1,s,,"Menschen, die mitdenken | Menschen, die Erfahrung haben | Menschen mit verschiedenen Perspektiven","Menschen, die mitdenken | Menschen, die Erfahrung haben | Menschen mit verschiedenen Perspektiven"
must have,1,s,s?,-,-
must-have,1,s,s?,-,-
nach den Sternen greifen,1,v,,-,-
Nummer 1,1,s,,-,-
Nummer eins,1,s,,-,-
ohne Problem,1,s,e?,-,-
kein Problem,1,s,,-,-
schlauer Kopf,1,s,,-,-
schlaue Köpfe,1,s,,"Menschen, die mitdenken | die Erfahrung haben | Menschen mit verschiedenen Perspektiven","Menschen, die mitdenken | die Erfahrung haben; Menschen mit verschiedenen Perspektiven"
über dem Durchschnitt,1,a,,-,-
Winner Typ,1,s,(in|en|innen|s)?,-,-
Winner-Typ,1,s,(in|en|innen|s)?,-,-
