Boasting-German,Is active,Wordtype,Forms,Alternatives-German,Alternatives-German in company & company culture,Lemma_spacy
absolut,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,"['durch und durch', 'ganz', 'real', 'alle', 'umfassend', 'uneingeschränkt', 'geradezu', 'natürlich', 'freilich', 'gründlich', 'zweifelsohne', 'sicher', 'zuverlässig']",-,absolut
Alphatier,1.0,s,e?,['du nimmst dein Team gerne auf eurem gemeinsamen Weg mit'],du nimmst dein Team gerne auf eurem gemeinsamen Weg mit,Alphatier
Aufsteiger,1.0,s,(in|n|innen|s)?,['du bist aufmerksam und kommst mit dem neu gewonnen Wissen weiter'],du bist aufmerksam und kommst mit dem neu gewonnen Wissen weiter,Aufsteiger
ausgeprägt,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,"['auffallend', 'intensiv', 'wahrnehmbar', 'gründlich', 'spürbar', 'merklich', 'klar und deutlich', 'klar umrissen', 'prägnant', 'überdurchschnittlich', 'klar ersichtlich']",-,ausprägen
ausgezeichnet,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,"['überdurchschnittlich', 'sehr gut', 'bemerkenswert', 'auf der/die/das/den man ruhig stolz sein darf', 'mit einem Preis gewürdigt', 'öffentlich geehrt']",-,auszeichnen
außergewöhnlich,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,"['ungewöhnlich', 'sehr gut', 'überdurchschnitllich', 'komplex', 'groß', 'stark', 'massiv', 'auffällig', 'hebt sich positiv ab']",-,außergewöhnlich
ausserordentlich,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,"['sehr', 'viel', 'ungewöhnlich', 'sehr gut', 'mehr als nötig', 'überdurchschnittlich']",-,ausserordentlich
außerordentlich,,,,[''],,außerordentlich
äußerst ,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,"['sehr', 'viel', 'ausgesprochen', 'überduchschnittlich', 'hochgradig', 'mehr als', 'zutiefst', 'ganz', 'mit Feuereifer']",-,äußern
beeindruck,1.0,v,(st|t|en),"['einen guten Eindruck hinterlassen', 'einen guten Eindruck machen', 'wirken', 'überzeugen', 'bewegen', 'sich hervortun', 'auffallen']",-,beeindruck
