Denominations-German,is active,Wordtype,Forms,Alternative_Singular,Alternative_Plural,Lemma_spacy,Alternative_Singular_split,Alternative_Plural_split
Arbeitskollege,1.0,s,n?,,Arbeitskolleginnen und Arbeitskollegen | Teammitglieder,Arbeitskollege,[''],"['Arbeitskolleginnen und Arbeitskollegen', 'Teammitglieder']"
Chef,1.0,s,s?,die vorgesetzte Person | Vorgesetzte,,Chef,"['die vorgesetzte Person', 'Vorgesetzte']",['']
Boss,1.0,s,,die vorgesetzte Person | Vorgesetzte,,Boss,"['die vorgesetzte Person', 'Vorgesetzte']",['']
Generalist,1.0,s,(en)?,,Generalistinnen und Generalisten | fachlich breit ausgerichtet,Generalist,[''],"['Generalistinnen und Generalisten', 'fachlich breit ausgerichtet']"
guy,1.0,s,s?,,Team,guy,[''],['Team']
Mann,1.0,s,,Person,Personen | Leute,Mann,['Person'],"['Personen', 'Leute']"
Herr,1.0,s,(en)?,,Personen | Leute,Herr,[''],"['Personen', 'Leute']"
manpower,1.0,s,,,die Arbeit unserer Angestellten,manpower,[''],['die Arbeit unserer Angestellten']
männlich,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,bezüglich einer Person,,männlich,['bezüglich einer Person'],['']
Großkunde,1.0,s,n?,,Großkundinnen und Großkunden | Kundschaft,Großkunde,[''],"['Großkundinnen und Großkunden', 'Kundschaft']"
Kollege,1.0,s,n?,,Kolleginnen und Kollegen | Teammitglied,Kollege,[''],"['Kolleginnen und Kollegen', 'Teammitglied']"
Entwickler,1.0,s,n?,,Entwicklerinnen und Entwickler | Entwicklungsteam,Entwickler,[''],"['Entwicklerinnen und Entwickler', 'Entwicklungsteam']"
Designer,1.0,s,n?,,Designerinnen und Designer | Designteam,Designer,[''],"['Designerinnen und Designer', 'Designteam']"
Partner,1.0,s,n?,,Partnerinnen und Partner | Partnerschaften,Partner,[''],"['Partnerinnen und Partner', 'Partnerschaften']"
Researcher,1.0,s,n?,,Researchteam,Researcher,[''],['Researchteam']
Analyst,1.0,s,(en)?,,Analystinnen und Analysten,Analyst,[''],['Analystinnen und Analysten']
Geschäftsleiter,1.0,s,n?,,Geschäftsleitung | Geschäftsleiterinnen und Geschäftsleiter,Geschäftsleiter,[''],"['Geschäftsleitung', 'Geschäftsleiterinnen und Geschäftsleiter']"
