Lemma,Word_Type,Priority,Category,Primary_subcategory,Secondary_subcategory,Sg_all_clean,Pl_all_clean
Einkäufer,s,,gendered,function,,"['Einkauf', 'Einkäufer~in~/~Einkäufer', 'Einkaufende']","['Einkaufende', 'Einkäufer~innen~ und ~Einkäufer', 'Einkauf']"
Fachmann,s,,gendered,function,,"['Fachperson', 'Fachkraft', 'Fachfrau/Fachmann', 'Fachpersonal', 'Fachkräfte']","['Fachkräfte', 'Fachfrauen und Fachmänner', 'Fachpersonal']"
Fachspezialist,s,,gendered,function,,"['Fachperson', 'Fachspezialist~in~/~Fachspezialist', 'in einem Fach spezialisierte Person', 'Person, die sich (auf ...) spezialisiert hat']","['Fachspezialist~innen~ und ~Fachspezialisten', 'in einem Fach spezialisierte Personen', 'Personen, die sich (auf ...) spezialisiert haben']"
Forstwart,s,,gendered,function,,"['Forstwartung', 'Forstwart~in~/~Forstwart', 'Forstwartende', 'Fachkraft in der Waldbewirtschaftung']","['Forstwartende', 'Forstwart~innen~ und ~Forstwarte', 'Forstwartung', 'Fachkräfte in der Waldbewirtschaftung']"
Guy,s,,gendered,function,americanism,"['Kamerad~in~/~Kamerad', 'Freund~in~/~Freund', 'Kolleg~in~/~Kollege', 'Team', 'Leute', 'alle miteinander', 'alle zusammen']","['Leute', 'alle miteinander', 'alle zusammen', 'Kolleg~innen~ und ~Kollge', 'Freund~innen~ und ~Freunde', 'Kamerad~innen~ und ~Kameraden', 'Team']"
Kaufmann,s,,gendered,function,,"['Kauffrau~/~Kaufmann', 'Kaufleute', 'Handeltreibende', 'Person im kaufmännischen Bereich']","['Handeltreibende', 'Kaufleute', 'Personen im kaufmännischen Bereich']"
Lehrling,s,,gendered,function,,"['Nachwuchskraft', 'Azubi', 'Ausbildung', 'Lehre', 'Auszubildende~/~Auszubildende~r', 'Lernende', 'Auszubildende', 'Person in Ausbildung', 'auszubildende Person', 'lernende Person']","['Lernende', 'Auszubildende', 'Ausbildung', 'Lehre', 'Personen in Ausbildung', 'auszubildende Personen', 'lernende Person']"
Macher,s,,gendered,function,,['Macher~in~/~Macher'],['Macher~innen~ und ~Macher']
Manager,s,,gendered,function,,"['Management', 'Manager~in~/~Manager']","['Manager~innen~ und ~Manager', 'Management']"
Matrose,s,,gendered,function,,"['Matros~in~/~Matrose', 'zur See Fahrende']","['zur See Fahrende', 'Matrosinnen~ und ~Matrosen', 'Seemänn~innen~ und ~Seemänner']"
