Lemma,Is active,Wordtype,Forms,subcategory,Lemma_spacy,Lemma_spacy_revised,Lemma_spacy_revised2
abhängig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,caring,abhängig,abhängig,abhängig
Abhängigkeit,1,s,(en)?,caring,Abhängigkeit,Abhängigkeit,Abhängigkeit
Achtsamkeit,1,s,,diligence,Achtsamkeit,Achtsamkeit,Achtsamkeit
angenehm,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,caring,angenehm,angenehm,angenehm
angewiesen,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,caring,anweisen,anweisen,anweisen
Anliegen,1,s,,caring,Anliegen,Anliegen,Anliegen
Anstand,1,s,,cooperative,Anstand,Anstand,Anstand
aufmerksam,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,cooperative,aufmerksam,aufmerksam,aufmerksam
aufzieh,1,v,(st|t|en|end),caring,aufzieh,aufzieh,aufzieh
Austausch,1,s,,cooperative,Austausch,Austausch,Austausch
austausch,1,v,(st|t|en|end),cooperative,austausch,austausch,austausch
Bedacht,1,s,,caring,Bedacht,Bedacht,Bedacht
bedächtig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,caring,bedächtig,bedächtig,bedächtig
Bedürfnis,1,s,(se|sen)?,caring,Bedürfnis,Bedürfnis,Bedürfnis
begeister,1,v,(st|t|n|nd),cultural,begeister,begeister,begeister
Begeisterung,1,s,,cultural,Begeisterung,Begeisterung,Begeisterung
Begeisterungsfähigkeit,1,s,,cultural,Begeisterungsfähigkeit,Begeisterungsfähigkeit,Begeisterungsfähigkeit
begleiten,1,v,(st|t|n|nd),caring,begleiten,begleiten,begleiten
behilflich,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,cooperative,behilflich,behilflich,behilflich
berührt,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,caring,berühren,berühren,berühren
bescheiden,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,diligence,bescheiden,bescheiden,bescheiden
Bescheidenheit,1,s,,diligence,Bescheidenheit,Bescheidenheit,Bescheidenheit
besonnen,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,diligence,besinnen,besinnen,besinnen
betreut,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,caring,betreuen,betreuen,betreuen
Betreuung,1,s,,caring,Betreuung,Betreuung,Betreuung
betreu,1,v,(st|t|en|end),caring,betreu,betreu,betreu
bewegt,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,cultural,bewegen,bewegen,bewegen
bewirk,1,v,(st|t|en|end),cultural,bewirk,bewirk,bewirk
diskutier,1,v,(st|t|en|end),cooperative,diskutier,diskutier,diskutier
Diskussion,1,s,en?,cooperative,Diskussion,Diskussion,Diskussion
ehrlich,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,diligence,ehrlich,ehrlich,ehrlich
einfühlend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,caring,einfühlen,einfühlen,einfühlen
einfühlsam,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,caring,einfühlsam,einfühlsam,einfühlsam
Einfühlung,1,s,,caring,Einfühlung,Einfühlung,Einfühlung
Einfühlungsvermögen,1,s,,caring,Einfühlungsvermögen,Einfühlungsvermögen,Einfühlungsvermögen
Elan,1,s,,cultural,Elan,Elan,Elan
emotional,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,caring,emotional,emotional,emotional
Empathie,1,s,,cooperative,Empathie,Empathie,Empathie
empathisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,cooperative,empathisch,empathisch,empathisch
empfindlich,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,caring,empfindlich,empfindlich,empfindlich
Engagement,1,s,s?,cultural,Engagement,Engagement,Engagement
engagieren,1,v,(st|t|en|end),cultural,engagieren,engagieren,engagieren
engagiert,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,cultural,engagieren,engagieren,engagieren
entgegenkommend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,cooperative,entgegenkommen,entgegenkommen,entgegenkommen
Enthusiasmus,1,s,,cultural,Enthusiasmus,Enthusiasmus,Enthusiasmus
enthusiastisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,cultural,enthusiastisch,enthusiastisch,enthusiastisch
