Lemma,Word_Type,Category,Primary_subcategory,Alt_split
ACCT,abbr,style,abbreviation,"['Account', 'Konto']"
ASD,abbr,style,abbreviation,"['Autism Spectrum Disorder', 'Autism Spectrum Disorder (ASD)', 'Autismus-Spektrum-Störung| Neurodiversität']"
ASS,abbr,style,abbreviation,"['Autismus-Spektrum-Störung', 'Autismus-Spektrum-Störung (ASS)', 'Neurodiversität']"
CSD,abbr,style,abbreviation,"['Christopher Street Day', 'Christopher Street Day (CSD)']"
D&O Versicherung,abbr,style,abbreviation,"['Directors-and-Officers-Versicherung', 'Organ-Haftpflichtversicherung', 'Management-Haftpflichtversicherung', 'Führungskräfte-Versicherung']"
D&O-Versicherung,abbr,style,abbreviation,"['Directors-and-Officers-Versicherung', 'Organ-Haftpflichtversicherung', 'Management-Haftpflichtversicherung', 'Führungskräfte-Versicherung']"
D&Oversicherung,abbr,style,abbreviation,"['Directors-and-Officers-Versicherung', 'Organ-Haftpflichtversicherung', 'Management-Haftpflichtversicherung', 'Führungskräfte-Versicherung']"
DALYs,abbr,style,abbreviation,"['Disability-adjusted Life Years (DALYs)', 'Behinderungsbereinigte Lebensjahre']"
DFLY,abbr,style,abbreviation,"['Dependency-free Life-Year (DFLY)', 'krankheitsfreies Lebensjahr', 'behinderungsfreies Lebensjahr']"
DFLYs,abbr,style,abbreviation,"['Dependency-free Life-Years (DFLYs)', 'krankheitsfreie Lebensjahre', 'behinderungsfreie Lebensjahre']"
DM me,abbr,style,abbreviation,"['Direct message me', 'Direct mail me', ""Schick' mir eine Privatnachricht"", ""Schreib' mir privat""]"
FLINT,abbr,style,abbreviation,"['Frauen, Lesben, intersexuelle Personen, nicht-binäre-Personen, Trans~gender', 'Frauen, Lesben, intersexuelle Personen, nicht-binäre-Personen, Trans~gender (FLINT)', 'alle, die aufgrund ihrer Geschlechtsidentität und sexuellen Orientierung im Patriarchat diskriminiert werden']"
FLINTA,abbr,style,abbreviation,"['Frauen, Lesben, intersexuelle Personen, nicht-binäre-Personen, Trans~gender, Agender', 'Frauen, Lesben, intersexuelle Personen, nicht-binäre-Personen, Trans~gender, Agender (FLINTA)', 'alle, die aufgrund ihrer Geschlechtsidentität und sexuellen Orientierung im Patriarchat diskriminiert werden']"
H1,abbr,style,abbreviation,"['First-Half-of-the-Year (H1)', 'erste Jahreshälfte']"
H2,abbr,style,abbreviation,"['Second-Half-of-the-year (H2)', 'zweite Jahreshälfte']"
OCD,abbr,style,abbreviation,"['Obsessive-Compulsive Disorder (OCD)', 'Zwangsstörung', 'Zwangserkrankung']"
OTB,abbr,style,abbreviation,"['outside the box', 'um die Ecke (denken)', 'über den eigenen Tellerrand schauen', 'unkonventionell']"
P card,abbr,style,abbreviation,"['Purchasing-Card (P-card)', 'Procurement-Card (P-card)', 'Einkaufskarte', 'Geschäftskreditkarte', 'Kundenkarte']"
P-card,abbr,style,abbreviation,"['Purchasing-Card (P-card)', 'Procurement-Card (P-card)', 'Einkaufskarte', 'Geschäftskreditkarte', 'Kundenkarte']"
Pcard,abbr,style,abbreviation,"['Purchasing-Card (P-card)', 'Procurement-Card (P-card)', 'Einkaufskarte', 'Geschäftskreditkarte', 'Kundenkarte']"
Q1,abbr,style,abbreviation,"['erstes Quartal', 'erstes Quartal (Q1)']"
Q2,abbr,style,abbreviation,"['zweites Quartal', 'zweites Quartal (Q2)']"
Q3,abbr,style,abbreviation,"['drittes Quartal', 'drittes Quartal (Q3)']"
Q4,abbr,style,abbreviation,"['viertes Quartal', 'viertes Quartal (Q4)', 'letztes Quartal']"
SMB,abbr,style,abbreviation,"['Small and Medium-sized Businesses (SMB)', 'kleine und mittlere Unternehmen (KMU)', 'kleine und mittlere Unternehmen']"
SME,abbr,style,abbreviation,"['Subject Matter Expert (SME)', 'Small and Medium-sized Enterprises (SME)', 'Fachexpertin~Fachexperte', 'kleine und mittlere Unternehmen', 'kleine und mittlere Unternehmen (KMU)']"
cap table,abbr,style,abbreviation,"['Capitalization Table', 'Capitalization Table (CT)', 'tabellarische Aufstellung der Besitzverhältnisse im Unternehmen', 'Liste aller Beteiligungen am Unternehmen', 'Darstellung der Eigentümerstruktur']"
etc,abbr,style,filler,['-']
etc.,abbr,style,filler,['-']
o.Ä.,abbr,style,filler,['-']
o.ä.,abbr,style,filler,['-']
u.a.,abbr,style,filler,"['-', 'unter Anderem']"
u.Ä.,abbr,style,filler,"['-', 'und Ähnliche', 'und Ähnliches']"
u.ä.,abbr,style,filler,"['-', 'und ähnlich']"
