Lemma,Word_Type,Priority,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Angriff,s,,unconscious_bias,agentic,competitive,"['Aufforderung', 'Hinterfragen', 'Infragestellen', 'Austesten', 'Ermahnung', 'Diskriminierung', 'Verletzung', 'Kränkung', 'Prüfen auf auf Glaubwürdigkeit (Intention, Gründe)']",[''],"['Aufforderung', 'Hinterfragen', 'Infragestellen', 'Austesten', 'Ermahnung', 'Diskriminierung', 'Verletzung', 'Kränkung', 'Prüfen auf auf Glaubwürdigkeit (Intention, Gründe)']"
Ausdauer,s,,unconscious_bias,agentic,competitive,"['Ruhe', 'Geduld', 'Besonnenheit', 'einen langen Atem haben', 'Fähigkeit, an Dingen dranzubleiben,', 'langfristiges Planen/Denken']",[''],"['Ruhe', 'Geduld', 'Besonnenheit', 'einen langen Atem haben', 'Fähigkeit, an Dingen dranzubleiben,', 'langfristiges Planen/Denken']"
Auseinandersetzung,s,,unconscious_bias,agentic,hard-hearted,"['Meinungsaustausch', 'Gedankenaustausch', 'Diskussion', 'Austausch', 'Austausch als Lernchance ']",[''],"['Meinungsaustausch', 'Gedankenaustausch', 'Diskussion', 'Austausch', 'Austausch als Lernchance ']"
Autonomität,s,,unconscious_bias,agentic,competitive,"['Verantwortungsbereitschaft', 'Einsatz der eigenen Kompetenz', 'Fokus auf eigene Aufgaben']",[''],"['Verantwortungsbereitschaft', 'Einsatz der eigenen Kompetenz', 'Fokus auf eigene Aufgaben']"
Autorität,s,,unconscious_bias,agentic,rough,"['Kompetenz', 'Erfahrung', 'Entscheidungsbefugnis', 'Verantwortung', 'Sachkenntnis', 'Person, die Verantwortung trägt', 'Person, die als Vorbild wirkt', 'jemand mit Überblick', 'jemand, dessen Meinung (Wort) du vertraust', 'jemand, der einen Vertrauensvorschuss genießt']",[''],"['Kompetenz', 'Erfahrung', 'Entscheidungsbefugnis', 'Verantwortung', 'Sachkenntnis', 'Person, die Verantwortung trägt', 'Person, die als Vorbild wirkt', 'jemand mit Überblick', 'jemand, dessen Meinung (Wort) du vertraust', 'jemand, der einen Vertrauensvorschuss genießt']"
Beharrlichkeit,s,,unconscious_bias,agentic,competitive,"['Ruhe und Besonnenheit', 'Geduld', 'Umsetzungsfreude', 'Fokus']",[''],"['Ruhe und Besonnenheit', 'Geduld', 'Umsetzungsfreude', 'Fokus']"
Bestimmtheit,s,,unconscious_bias,agentic,hard-hearted,"['Klarheit', 'Offenheit', 'Nachdruck']",[''],"['Klarheit', 'Offenheit', 'Nachdruck']"
Dienstleistungsorientierung,s,,unconscious_bias,agentic,cultural,"['Serviceorientierung', 'Einfühlsamkeit im Umgang mit Kundschaft', 'Motivation, Kundschaft zu deren Zufriedenheit zu betreuen', 'Engagement im Erfüllen der Erwartungen der Kundschaft']",[''],"['Serviceorientierung', 'Einfühlsamkeit im Umgang mit Kundschaft', 'Motivation, Kundschaft zu deren Zufriedenheit zu betreuen', 'Engagement im Erfüllen der Erwartungen der Kundschaft']"
Direktheit,s,,unconscious_bias,agentic,rough,"['Offenherzigkeit', 'Offenheit', 'Geradlinigkeit', 'Aufrichtigkeit', 'von Mensch zu Mensch', 'nicht hinterm Berg halten', 'das Herz auf der Zunge tragen', 'offene Worte schätzen', 'Offenheit im Äußern von Besorgnis']",[''],"['Offenherzigkeit', 'Offenheit', 'Geradlinigkeit', 'Aufrichtigkeit', 'von Mensch zu Mensch', 'nicht hinterm Berg halten', 'das Herz auf der Zunge tragen', 'offene Worte schätzen', 'Offenheit im Äußern von Besorgnis']"
Drive,s,,unconscious_bias,agentic,hard-hearted,"['Engagement', 'Freude an der Sache', 'Begeisterung']",[''],"['Engagement', 'Freude an der Sache', 'Begeisterung']"
