Masculine,Feminine,Neuter,Plural,Alternative
der,die,das,die,die~der
den,die,das,die,den~die
des,der,des,der,des~der
dem,der,dem,den,dem~der
ein,eine,ein,einzelne,ein~e
einen,eine,ein,einzelne,eine~n
eines,einer,eines,einzelne,einer~eines
einem,einer,einem,einzelne,einer~einem
jeder,jede,jedes,alle,jede~r
jedes,jeder,jedes,alle,jeder~jedes
jedem,jeder,jedem,alle,jeder~jedem
jeden,jede,jedes,alle,jede~n
unserer,unsere,unseres,unsere,unsere~r
unsrer,unsre,unsers,unsre,unsre~r
unseres,unserer,unseres,unserer,unserer~unseres
unsres,unsrer,unsres,unsrer,unsrer~unsres
unserem,unserer,unserem,unseren,unserer~unserem
unsrem,unsrer,unsrem,unsren,unsrer~unsrem
unser,unsere,unser,unsere,unser~e
unseres,unserer,unseres,unserer,unserer~unseres
unsres,unsrer,unsres,unsrer,unsrer~unsres
unserem,unserer,unserem,unseren,unserer~unserem
unseren,unsere,unser,unsere,unsere~n
unsern,unsre,unser,unsre,unsre~unsern
unsren,unsre,unser,unsre,unsre~n
sein,seine,sein,seine,sein~e
seines,seiner,seines,seiner,seiner~seines
seinem,seiner,seinem,seinen,seiner~seinem
seinen,seine,sein,seine,seine~n
mein,meine,mein,meine,mein~e
meines,meiner,meines,meiner,meiner~meines
meinem,meiner,meinem,meinen,meiner~meinem
meinen,meine,mein,meine,meine~n
dein,deine,dein,deine,dein~e
deines,deiner,deines,deiner,deiner~deines
deinem,deiner,deinem,deinen,deiner~deinem
deinen,deine,dein,deine,deine~n
ihr,ihre,ihr,ihre,ihr~e
ihres,ihrer,ihres,ihrer,ihrer~ihres
ihrem,ihrer,ihrem,ihren,ihrer~ihrem
ihren,ihre,ihr,ihre,ihre~n
euer,euere,euer,euere,euer~e
eueres,euerer,eures,euerer,euerer~eueres
eures,eurer,eures,eurer,euerer~eures
euerm,euerer,euerem,eueren,euerer~euerm
eurem,euerer,euerm,euern,euerer~eurem
eurem,eurer,eurem,euren,eurer~eurem
eueren,euere,euer,euere,euere~n
euern,eure,euer,eure,eure~n
euren,eure,euer,eure,eure~n
