Lemma,Word_Type,Category,Primary_subcategory
Abhängigkeit,s,inclusive,communal
Achtsamkeit,s,inclusive,communal
Anerkennung,s,inclusive,communal
Anliegen,s,inclusive,communal
Anstand,s,inclusive,communal
Austausch,s,inclusive,communal
Bedacht,s,inclusive,communal
Bedürfnis,s,inclusive,communal
Begeisterung,s,inclusive,communal
Begeisterungsfähigkeit,s,inclusive,communal
Bescheidenheit,s,inclusive,communal
Betreuung,s,inclusive,communal
Diskussion,s,inclusive,communal
Einfühlung,s,inclusive,communal
Einfühlungsvermögen,s,inclusive,communal
Elan,s,inclusive,communal
Empathie,s,inclusive,communal
Engagement,s,inclusive,communal
Enthusiasmus,s,inclusive,communal
Ermutigung,s,inclusive,communal
Freude,s,inclusive,communal
Gefühl,s,inclusive,communal
Gemeinschaft,s,inclusive,communal
Gemeinschaftsprojekt,s,inclusive,communal
Identifikation,s,inclusive,communal
Impakt,s,inclusive,communal
Integrität,s,inclusive,communal
Interesse,s,inclusive,communal
Jobsharing,s,inclusive,communal
Jubel,s,inclusive,communal
Kommunikation,s,inclusive,communal
Konstruktivität,s,inclusive,communal
Kooperation,s,inclusive,communal
Kreation,s,inclusive,communal
Kreativität,s,inclusive,communal
Mentorat,s,inclusive,communal
Mitarbeit,s,inclusive,communal
Mitgefühl,s,inclusive,communal
Mitgestaltung,s,inclusive,communal
Mitwirkung,s,inclusive,communal
Motivation,s,inclusive,communal
Neugier,s,inclusive,communal
Perspektive,s,inclusive,communal
Pflege,s,inclusive,communal
Präzision,s,inclusive,communal
Resilienz,s,inclusive,communal
Respekt,s,inclusive,communal
Schaffensfreude,s,inclusive,communal
Schulterschluss,s,inclusive,communal
Sorge,s,inclusive,communal
Sorgfalt,s,inclusive,communal
Sorgsamkeit,s,inclusive,communal
Sympathie,s,inclusive,communal
Team,s,inclusive,communal
Teilzeit,s,inclusive,communal
Umsicht,s,inclusive,communal
Unterstützung,s,inclusive,communal
Verantwortung,s,inclusive,communal
Verbindung,s,inclusive,communal
Vermittlung,s,inclusive,communal
Verpflichtung,s,inclusive,communal
Verständnis,s,inclusive,communal
Vertrauen,s,inclusive,communal
Wertschätzung,s,inclusive,communal
Widerstandsfähigkeit,s,inclusive,communal
Wirkung,s,inclusive,communal
Zusammenarbeit,s,inclusive,communal
Zusammenhang,s,inclusive,communal
Zuverlässigkeit,s,inclusive,communal
abhängig,a,inclusive,communal
angenehm,a,inclusive,communal
angewiesen,a,inclusive,communal
aufmerksam,a,inclusive,communal
aufziehen,v,inclusive,communal
austauschen,v,inclusive,communal
autoritativ,a,inclusive,communal
bedächtig,a,inclusive,communal
begeistern,v,inclusive,communal
begleiten,v,inclusive,communal
behilflich,a,inclusive,communal
berührt,a,inclusive,communal
bescheiden,a,inclusive,communal
besonnen,a,inclusive,communal
betreuen,v,inclusive,communal
betreut,a,inclusive,communal
bewegt,a,inclusive,communal
bewirken,v,inclusive,communal
diskutieren,v,inclusive,communal
ehrlich,a,inclusive,communal
einfühlen,v,inclusive,communal
einfühlend,a,inclusive,communal
einfühlsam,a,inclusive,communal
emotional,a,inclusive,communal
empathisch,a,inclusive,communal
empfindlich,a,inclusive,communal
engagieren,v,inclusive,communal
engagiert,a,inclusive,communal
entgegenkommend,a,inclusive,communal
enthusiastisch,a,inclusive,communal
entspannt,=a,inclusive,communal
erfinderisch,a,inclusive,communal
erfindungsreich,a,inclusive,communal
erfüllend,a,inclusive,communal
ergreifend,a,inclusive,communal
ermutigen,v,inclusive,communal
ermutigend,a,inclusive,communal
freuen,v,inclusive,communal
freundlich,a,inclusive,communal
fröhlich,a,inclusive,communal
fördernd,a,inclusive,communal
fühlen,v,inclusive,communal
fürsorglich,a,inclusive,communal
gefühlsbetont,a,inclusive,communal
gefühlsmässig,a,inclusive,communal
gemeinsam,a,inclusive,communal
gemeinschaftlich,a,inclusive,communal
gerührt,a,inclusive,communal
gestalterisch,a,inclusive,communal
glücklich,a,inclusive,communal
gütig,a,inclusive,communal
heiter,a,inclusive,communal
helfen,v,inclusive,communal
hilfsbereit,a,inclusive,communal
höflich,a,inclusive,communal
identifizieren,a,inclusive,communal
impact,s,inclusive,communal
initiativ,a,inclusive,communal
integer,a,inclusive,communal
interessieren,v,inclusive,communal
kollegial,a,inclusive,communal
kommunikativ,a,inclusive,communal
kommunizieren,v,inclusive,communal
konstruktiv,a,inclusive,communal
kooperativ,a,inclusive,communal
kooperieren,v,inclusive,communal
kreativ,a,inclusive,communal
kreieren,v,inclusive,communal
kümmern,v,inclusive,communal
langfristig,a,inclusive,communal
lieb,a,inclusive,communal
liebevoll,a,inclusive,communal
lieblich,a,inclusive,communal
loyal,a,inclusive,communal
mitarbeiten,v,inclusive,communal
miteinander,a,inclusive,communal
mitfühlen,v,inclusive,communal
mitfühlend,a,inclusive,communal
mitgestalten,v,inclusive,communal
mitwirken,v,inclusive,communal
mitwirkend,a,inclusive,communal
motivieren,v,inclusive,communal
motiviert,a,inclusive,communal
nachdenklich,a,inclusive,communal
nachfühlen,v,inclusive,communal
nachgeben,v,inclusive,communal
nachgiebig,a,inclusive,communal
nachhaltig,a,inclusive,communal
nett,a,inclusive,communal
neugierig,a,inclusive,communal
nähren,v,inclusive,communal
nährend,a,inclusive,communal
offenherzig,a,inclusive,communal
partnerschaftlich,a,inclusive,communal
pflegen,v,inclusive,communal
präzise,a,inclusive,communal
präzisieren,v,inclusive,communal
resilient,a,inclusive,communal
respektvoll,a,inclusive,communal
ruhig,a,inclusive,communal
rücksichtsvoll,a,inclusive,communal
sanft,a,inclusive,communal
schöpferisch,a,inclusive,communal
seelisch,a,inclusive,communal
sensibel,a,inclusive,communal
sinnvoll,a,inclusive,communal
sorgen,v,inclusive,communal
sorgfältig,a,inclusive,communal
sorgsam,a,inclusive,communal
sympathisch,a,inclusive,communal
taktvoll,a,inclusive,communal
teamorientiert,a,inclusive,communal
teilen,v,inclusive,communal
teilnehmend,a,inclusive,communal
treu,a,inclusive,communal
umsichtig,a,inclusive,communal
unternehmungsfreudig,a,inclusive,communal
unterstützen,v,inclusive,communal
unterstützend,a,inclusive,communal
unterwürfig,a,inclusive,communal
verantwort,v,inclusive,communal
verantwortlich,a,inclusive,communal
verantwortungsvoll,a,inclusive,communal
verbindend,a,inclusive,communal
verlässlich,a,inclusive,communal
vermitteln,v,inclusive,communal
vermittelnd,a,inclusive,communal
verpflichten,v,inclusive,communal
verstehen,v,inclusive,communal
verständnisvoll,a,inclusive,communal
vertrauen,v,inclusive,communal
vertrauensvoll,a,inclusive,communal
vertrauenswürdig,a,inclusive,communal
vertraut,a,inclusive,communal
voneinander,a,inclusive,communal
warm,a,inclusive,communal
weich,a,inclusive,communal
widerstandsfähig,a,inclusive,communal
wohlfühlen,v,inclusive,communal
wärmen,v,inclusive,communal
zart,a,inclusive,communal
zugetan,a,inclusive,communal
zusammen,a,inclusive,communal
zusammenarbeiten,v,inclusive,communal
zusammenhängend,a,inclusive,communal
zusammenwirkend,a,inclusive,communal
zustimmen,v,inclusive,communal
zustimmend,a,inclusive,communal
