Lemma,Word_Type,Category,Primary_subcategory
Ballroom Community,s,inclusive,d_and_i
Coming out,a,inclusive,d_and_i
Drag King,s,inclusive,d_and_i
Drag Queen,s,inclusive,d_and_i
Gender Bending,s,inclusive,d_and_i
Gender Dysphorie,s,inclusive,d_and_i
Gender Euphorie,s,inclusive,d_and_i
Gender Mainstreaming,s,inclusive,d_and_i
Queer Feminist~in,s,inclusive,d_and_i
Regenbogen Familie,s,inclusive,d_and_i
diverser Hintergrund,s,inclusive,d_and_i
geschlechtsneutrale Pronomen,a+s,inclusive,d_and_i
internalisierte Homophobie,a+s,inclusive,d_and_i
keine Diskriminierung,s,inclusive,d_and_i
sexuelle Orientierung,s,inclusive,d_and_i
straight acting,a,inclusive,d_and_i
unterschiedlicher Hintergrund,s,inclusive,d_and_i
