Lemma,Word_Type,Category,Primary_subcategory
Allies,s,inclusive,d_and_i
Allonormativität,s,inclusive,d_and_i
Ally,s,inclusive,d_and_i
Asexualität,s,inclusive,d_and_i
Ballroom,s,inclusive,d_and_i
Binder,s,inclusive,d_and_i
Biphobie,s,inclusive,d_and_i
Bisexualität,s,inclusive,d_and_i
Bisexuelle~r,s,inclusive,d_and_i
Cissexismus,s,inclusive,d_and_i
Deadname,s,inclusive,d_and_i
Diversität,s,inclusive,d_and_i
Drag-King,s,inclusive,d_and_i
Drag-Queen,s,inclusive,d_and_i
Dragking,s,inclusive,d_and_i
Dragqueen,s,inclusive,d_and_i
Enby,s,inclusive,d_and_i
Femboy,s,inclusive,d_and_i
Gender-Dysphorie,s,inclusive,d_and_i
Gender-Euphorie,s,inclusive,d_and_i
Gender-Mainstreaming,s,inclusive,d_and_i
Genderdysphorie,s,inclusive,d_and_i
Gendereuphorie,s,inclusive,d_and_i
Gendermainstreaming,s,inclusive,d_and_i
Geschlechtsausdruck,s,inclusive,d_and_i
Gleichstellung,s,inclusive,d_and_i
Heteronormativität,s,inclusive,d_and_i
Heterosexismus,s,inclusive,d_and_i
Homofeindlichkeit,s,inclusive,d_and_i
Homonationalismus,s,inclusive,d_and_i
Identität,s,inclusive,d_and_i
Inklusion,s,inclusive,d_and_i
Intergeschlechtlichkeit,s,inclusive,d_and_i
Interphobie,s,inclusive,d_and_i
Intersektionalität,s,inclusive,d_and_i
Intersexualität,s,inclusive,d_and_i
Kultur,s,inclusive,d_and_i
LGBTQIA+,acr,inclusive,d_and_i
Latinx,s,inclusive,d_and_i
Lesbe,s,inclusive,d_and_i
Mentorin,s,inclusive,d_and_i
Mikroagression,s,inclusive,d_and_i
Neurodiversität,s,inclusive,d_and_i
Neutrois,s,inclusive,d_and_i
Outing,s,inclusive,d_and_i
Pansexualität,s,inclusive,d_and_i
Pansexuelle~r,s,inclusive,d_and_i
Polyamorie,s,inclusive,d_and_i
Queer-Feminist~in,s,inclusive,d_and_i
Queerfeminist~in,s,inclusive,d_and_i
Regenbogen-Familie,s,inclusive,d_and_i
Regenbogenfamilie,s,inclusive,d_and_i
Religion,s,inclusive,d_and_i
Sicherheit,s,inclusive,d_and_i
Sinnhaftigkeit,s,inclusive,d_and_i
Token,s,inclusive,d_and_i
Transition,s,inclusive,d_and_i
Unterstützer~in,s,inclusive,d_and_i
Verbündete~r,s,inclusive,d_and_i
Vielfalt,s,inclusive,d_and_i
Voguing,v+s,inclusive,d_and_i
androsexuell,a,inclusive,d_and_i
asexuell,a,inclusive,d_and_i
bigender,s,inclusive,d_and_i
bisexuell,a,inclusive,d_and_i
cis,a,inclusive,d_and_i
cisgender,a,inclusive,d_and_i
divers,a,inclusive,d_and_i
fair,a,inclusive,d_and_i
gay,a,inclusive,d_and_i
genderqueer,a,inclusive,d_and_i
heteronormativ,a,inclusive,d_and_i
heterosexistisch,a,inclusive,d_and_i
homofeindlich,a,inclusive,d_and_i
homonormativ,a,inclusive,d_and_i
inklusiv,a,inclusive,d_and_i
inter,a,inclusive,d_and_i
intersektional,a,inclusive,d_and_i
lesbisch,a,inclusive,d_and_i
neurodivergent,a,inclusive,d_and_i
pansexuell,a,inclusive,d_and_i
polyamor,a,inclusive,d_and_i
queerfeministisch,a,inclusive,d_and_i
questioning,a,inclusive,d_and_i
sicher,a,inclusive,d_and_i
straight-acting,a,inclusive,d_and_i
straightacting,a,inclusive,d_and_i
unterrepräsentiert,a,inclusive,d_and_i
vielfältig,a,inclusive,d_and_i
