Lemma,Word_Type,Priority,Category,Primary_subcategory,Sg_all_split,Pl_all,Pl_all_split,Alt_split
Alpha Chef,s,,gendered,function,"['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt']","Leute, die ihre Teams inspirieren | Menschen mit Freude an Verantwortung | Leute, die ihrem Team mit Rat und Tat zur Seite stehen | Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken","['Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']","['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt', 'Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']"
Alpha Führungskraft,s,,gendered,function,"['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt']","Leute, die ihre Teams inspirieren | Menschen mit Freude an Verantwortung | Leute, die ihrem Team mit Rat und Tat zur Seite stehen | Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken","['Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']","['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt', 'Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']"
Alpha Person,s,,gendered,function,"['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt']","Leute, die ihre Teams inspirieren | Menschen mit Freude an Verantwortung | Leute, die ihrem Team mit Rat und Tat zur Seite stehen | Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken","['Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']","['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt', 'Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']"
Alpha Persönlichkeit,s,,gendered,function,"['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt']","Leute, die ihre Teams inspirieren | Menschen mit Freude an Verantwortung | Leute, die ihrem Team mit Rat und Tat zur Seite stehen | Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken","['Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']","['Person, die ihr Team inspiriert', 'Mensch mit Freude an Verantwortung', 'Person, die ihrem Team mit Rat und Tat zur Seite steht', 'Person, die das Team beim Erreichen von gemeinsamen Zielen unterstützt', 'Leute, die ihre Teams inspirieren', 'Menschen mit Freude an Verantwortung', 'Leute, die ihrem Team mit Rat und Tat zur Seite stehen', 'Leute, die das Team beim Erreichen von gemeinsamen Zielen unterstützen und lenken']"
Boden Parkettleger,s,,gendered,titles,"['Parkettlegung', 'Parkettverlegung', 'Boden-Parkettleger~in~/~Boden-Parkettleger']",Boden-Parkettleger~innen~ und ~Boden-Parkettleger | Parkettlegung | Parkettverlegung,"['Boden-Parkettleger~innen~ und ~Boden-Parkettleger', 'Parkettlegung', 'Parkettverlegung']","['Parkettlegung', 'Parkettverlegung', 'Boden-Parkettleger~in~/~Boden-Parkettleger', 'Boden-Parkettleger~innen~ und ~Boden-Parkettleger']"
Corporate Influencer,s,02-05-2022,gendered,function,"['Corporate Influencing', 'Corporate-Influencer~in~/~Corporate-Influencer', 'Markenbotschafter~in~/~Markenbotschafter', 'Person, die ihre Marke mit Energie und Ideen anderen im Netz näherbringt', 'kommunikationsfreudiger Mensch, der im Netz rund um Themen seines Unternehmens kommuniziert']","Corporate-Influencer~innen~ und ~Corporate-Influencer | Markenbotschafter~innen ~und~ Markenbotschafter | Corporate Influencing | Mitarbeitende, die im Netz rund um Themen ihres Unternehmens kommunizieren | Leute, die ihre Marke mit Energie und Ideen anderen im Netz näherbringen","['Corporate-Influencer~innen~ und ~Corporate-Influencer', 'Markenbotschafter~innen ~und~ Markenbotschafter', 'Corporate Influencing', 'Mitarbeitende, die im Netz rund um Themen ihres Unternehmens kommunizieren', 'Leute, die ihre Marke mit Energie und Ideen anderen im Netz näherbringen']","['Corporate Influencing', 'Corporate-Influencer~in~/~Corporate-Influencer', 'Markenbotschafter~in~/~Markenbotschafter', 'Person, die ihre Marke mit Energie und Ideen anderen im Netz näherbringt', 'kommunikationsfreudiger Mensch, der im Netz rund um Themen seines Unternehmens kommuniziert', 'Corporate-Influencer~innen~ und ~Corporate-Influencer', 'Markenbotschafter~innen ~und~ Markenbotschafter', 'Mitarbeitende, die im Netz rund um Themen ihres Unternehmens kommunizieren', 'Leute, die ihre Marke mit Energie und Ideen anderen im Netz näherbringen']"
Customer supporter,s,,gendered,titles,"['Kundenbetreuung', 'Kundenbetreuer~in~/~Kundenbetreuer', 'Kundenbetreuende', 'Person, die Kundschaft betreut']","Kundenbetreuende | Kundenbetreuer~innen~ und ~Kundenbetreuer | Kundenbetreuung | Personen, die Kundschaft betreuen","['Kundenbetreuende', 'Kundenbetreuer~innen~ und ~Kundenbetreuer', 'Kundenbetreuung', 'Personen, die Kundschaft betreuen']","['Kundenbetreuung', 'Kundenbetreuer~in~/~Kundenbetreuer', 'Person, die Kundschaft betreut', 'Kundenbetreuende', 'Kundenbetreuer~innen~ und ~Kundenbetreuer', 'Personen, die Kundschaft betreuen']"
Go getter,s,,gendered,function,"['tatkräftige Person', 'Tatmensch', 'umsetzungsfreudiger Mensch', 'tatkräftige Leute', 'Tatmenschen', 'umsetzungsfreudige Menschen', 'jemand, der unternehmerisch denkt', 'jemand, der mit Elan auf Ziele hinarbeitet']","tatkräftige Leute | Tatmenschen | umsetzungsfreudige Menschen | Leute, die unternehmerisch denken | Menschen, die mit Elan auf Ziele hinarbeiten","['tatkräftige Leute', 'Tatmenschen', 'umsetzungsfreudige Menschen', 'Leute, die unternehmerisch denken', 'Menschen, die mit Elan auf Ziele hinarbeiten']","['tatkräftige Person', 'Tatmensch', 'umsetzungsfreudiger Mensch', 'jemand, der unternehmerisch denkt', 'jemand, der mit Elan auf Ziele hinarbeitet', 'tatkräftige Leute', 'Tatmenschen', 'umsetzungsfreudige Menschen', 'Leute, die unternehmerisch denken', 'Menschen, die mit Elan auf Ziele hinarbeiten']"
Goal getter,s,,gendered,function,"['tatkräftige Person', 'Tatmensch', 'umsetzungsfreudiger Mensch', 'tatkräftige Leute', 'Tatmenschen', 'umsetzungsfreudige Menschen', 'Mensch, der sich kontinuierlich Ziele setzt und erreicht', 'Mensch, der bereit ist, sich neuen oder komplexen Situationen zu stellen, um gemeinsame Ziele zu verwirklichen']","tatkräftige Leute | Tatmenschen | umsetzungsfreudige Menschen | Menschen, die sich kontinuierlich Ziele setzen und erreichen | Leute, der bereit sind, sich neuen oder komplexen Situationen zu stellen, um gemeinsame Ziele zu verwirklichen","['tatkräftige Leute', 'Tatmenschen', 'umsetzungsfreudige Menschen', 'Menschen, die sich kontinuierlich Ziele setzen und erreichen', 'Leute, der bereit sind, sich neuen oder komplexen Situationen zu stellen, um gemeinsame Ziele zu verwirklichen']","['tatkräftige Person', 'Tatmensch', 'umsetzungsfreudiger Mensch', 'Mensch, der sich kontinuierlich Ziele setzt und erreicht', 'Mensch, der bereit ist, sich neuen oder komplexen Situationen zu stellen, um gemeinsame Ziele zu verwirklichen', 'tatkräftige Leute', 'Tatmenschen', 'umsetzungsfreudige Menschen', 'Menschen, die sich kontinuierlich Ziele setzen und erreichen', 'Leute, der bereit sind, sich neuen oder komplexen Situationen zu stellen, um gemeinsame Ziele zu verwirklichen']"
Growth Hacker,s,,gendered,titles,"['Wachstumsmarketing', 'Growth-Manager~in~/~Growth-Manager', 'Growth-Marketing-Spezialist~in~/~Growth-Marketing-Spezialist', 'Person, die kreative, kostengünstige Strategien einsetzt, um Unternehmen bei der Gewinnung und Bindung von Kunden zu unterstützen']","Growth-Manager~innen~ und ~Growth-Manager | Growth-Marketing-Spezialist~innen~ und ~Growth-Marketing-Spezialist | Wachstumsmarketing | Leute, die kreative, kostengünstige Strategien einsetzen, um Unternehmen bei der Gewinnung und Bindung von Kunden zu unterstützen","['Growth-Manager~innen~ und ~Growth-Manager', 'Growth-Marketing-Spezialist~innen~ und ~Growth-Marketing-Spezialist', 'Wachstumsmarketing', 'Leute, die kreative, kostengünstige Strategien einsetzen, um Unternehmen bei der Gewinnung und Bindung von Kunden zu unterstützen']","['Wachstumsmarketing', 'Growth-Manager~in~/~Growth-Manager', 'Growth-Marketing-Spezialist~in~/~Growth-Marketing-Spezialist', 'Person, die kreative, kostengünstige Strategien einsetzt, um Unternehmen bei der Gewinnung und Bindung von Kunden zu unterstützen', 'Growth-Manager~innen~ und ~Growth-Manager', 'Growth-Marketing-Spezialist~innen~ und ~Growth-Marketing-Spezialist', 'Leute, die kreative, kostengünstige Strategien einsetzen, um Unternehmen bei der Gewinnung und Bindung von Kunden zu unterstützen']"
