Lemma,Word_Type,Category,Primary_subcategory,Alt_split
Abwichshure,s,openly_discriminating,sexism,['-']
Affenfotze,s,openly_discriminating,sexism,['-']
Albino,s,openly_discriminating,ableism,['-']
Allerweltshure,s,openly_discriminating,sexism,['-']
Allmannshure,s,openly_discriminating,sexism,['-']
Altenheimnutte,s,openly_discriminating,sexism,['-']
Altenheimschlampe,s,openly_discriminating,sexism,['-']
Altweiberficker,s,openly_discriminating,sexism,['-']
Analakrobat,s,openly_discriminating,homophobia,['-']
Analarbeiter,s,openly_discriminating,homophobia,['-']
Analbaron,s,openly_discriminating,homophobia,['-']
Analbergsteiger,s,openly_discriminating,homophobia,['-']
Analbesamer,s,openly_discriminating,homophobia,['-']
Analbohrer,s,openly_discriminating,homophobia,['-']
Analerotiker,s,openly_discriminating,homophobia,['-']
Analfetischist,s,openly_discriminating,homophobia,['-']
Analficker,s,openly_discriminating,homophobia,['-']
Analfisch,s,openly_discriminating,homophobia,['-']
Analfotze,s,openly_discriminating,homophobia,['-']
Analfürst,s,openly_discriminating,homophobia,['-']
Analgeneral,s,openly_discriminating,homophobia,['-']
Analgurke,s,openly_discriminating,homophobia,['-']
Analhengst,s,openly_discriminating,homophobia,['-']
Analkopf,s,openly_discriminating,homophobia,['-']
Analkröte,s,openly_discriminating,homophobia,['-']
Analphabet,s,openly_discriminating,homophobia,['-']
Analpilot,s,openly_discriminating,homophobia,['-']
Analpirat,s,openly_discriminating,homophobia,['-']
Analrakete,s,openly_discriminating,homophobia,['-']
Analratte,s,openly_discriminating,homophobia,['-']
Analreiniger,s,openly_discriminating,homophobia,['-']
Analreiter,s,openly_discriminating,homophobia,['-']
Analritter,s,openly_discriminating,homophobia,['-']
Analrosine,s,openly_discriminating,homophobia,['-']
Analruine,s,openly_discriminating,homophobia,['-']
Analtieftaucher,s,openly_discriminating,homophobia,['-']
Analtranse,s,openly_discriminating,transphobia,['-']
Analtrompete,s,openly_discriminating,homophobia,['-']
Armleuchter,s,openly_discriminating,offensive_language,['-']
Arschbackenjäger,s,openly_discriminating,homophobia,['-']
Arschbohrer,s,openly_discriminating,homophobia,['-']
Arschbumser,s,openly_discriminating,homophobia,['-']
Arschficker,s,openly_discriminating,homophobia,['-']
Arschfickerlehrling,s,openly_discriminating,homophobia,['-']
Arschfotze,s,openly_discriminating,homophobia,['-']
Arschfresse,s,openly_discriminating,homophobia,['-']
Arschgeige,s,openly_discriminating,offensive_language,['-']
Arschlecker,s,openly_discriminating,homophobia,['-']
Arschloch,s,openly_discriminating,offensive_language,['-']
Arschlocher,s,openly_discriminating,homophobia,['-']
Arschlochficker,s,openly_discriminating,homophobia,['-']
Arschlochlecker,s,openly_discriminating,homophobia,['-']
Arschpirat,s,openly_discriminating,homophobia,['-']
Arschratte,s,openly_discriminating,homophobia,['-']
Arschsau,s,openly_discriminating,homophobia,['-']
Arschvotze,s,openly_discriminating,homophobia,['-']
Arschwichser,s,openly_discriminating,homophobia,['-']
Astlochficker,s,openly_discriminating,homophobia,['-']
Bauerndirne,s,openly_discriminating,sexism,['-']
Bauernhure,s,openly_discriminating,sexism,['-']
Beißzange,s,openly_discriminating,sexism,['-']
Berufslesbe,s,openly_discriminating,homophobia,['-']
Berufsschwuchtel,s,openly_discriminating,homophobia,['-']
Berufsschwuler,s,openly_discriminating,homophobia,['-']
Bierschlampe,s,openly_discriminating,sexism,['-']
Bildungsnutte,s,openly_discriminating,sexism,['-']
Blödian,s,openly_discriminating,offensive_language,['-']
Blödmann,s,openly_discriminating,offensive_language,['-']
Bordsteinschwalbe,s,openly_discriminating,sexism,['-']
Boxenluder,s,openly_discriminating,sexism,['-']
Bubenhure,s,openly_discriminating,sexism,['-']
Bumskarnickel,s,openly_discriminating,sexism,['-']
Bumskuh,s,openly_discriminating,sexism,['-']
Buschnutte,s,openly_discriminating,sexism,['-']
Busengrabscher,s,openly_discriminating,sexism,['-']
Chromosomenfasching,s,openly_discriminating,transphobia,['-']
Cisse,s,openly_discriminating,sexism,"['-', 'cis Mann', 'cis Frau', 'heterosexuelle Person']"
Crackbitch,s,openly_discriminating,sexism,['-']
Crackhure,s,openly_discriminating,sexism,['-']
Cracknutte,s,openly_discriminating,sexism,['-']
Crackschlampe,s,openly_discriminating,sexism,['-']
Cyberschlampe,s,openly_discriminating,sexism,['-']
Dildolutscher,s,openly_discriminating,sexism,['-']
Dirne,s,openly_discriminating,sexism,['-']
Disconutte,s,openly_discriminating,sexism,['-']
Donnerfotze,s,openly_discriminating,sexism,['-']
Dorfmatratze,s,openly_discriminating,sexism,['-']
Dorfnutte,s,openly_discriminating,sexism,['-']
Dorfschlampe,s,openly_discriminating,sexism,['-']
Dorftrampel,s,openly_discriminating,sexism,['-']
Drachen,=s,openly_discriminating,sexism,['-']
Dreckhure,s,openly_discriminating,sexism,['-']
Dreckluder,s,openly_discriminating,sexism,['-']
Drecksau,s,openly_discriminating,sexism,['-']
Drecksfotze,s,openly_discriminating,sexism,['-']
Drecksmuschi,s,openly_discriminating,sexism,['-']
Drecksnutte,s,openly_discriminating,sexism,['-']
Dreckstück,s,openly_discriminating,sexism,['-']
Dreilochhure,s,openly_discriminating,sexism,['-']
Dreilochnutte,s,openly_discriminating,sexism,['-']
Dreilochschlampe,s,openly_discriminating,sexism,['-']
Dreilochstute,s,openly_discriminating,sexism,['-']
Dummfotze,s,openly_discriminating,sexism,['-']
Dussel,s,openly_discriminating,offensive_language,['-']
Edelhure,s,openly_discriminating,sexism,['-']
Einfaltspinsel,s,openly_discriminating,offensive_language,['-']
Emanze,s,openly_discriminating,sexism,['-']
Erzhure,s,openly_discriminating,sexism,['-']
Eselarschficker,s,openly_discriminating,homophobia,['-']
Eselficker,s,openly_discriminating,homophobia,['-']
Faulpelz,s,openly_discriminating,offensive_language,['-']
Feldhure,s,openly_discriminating,sexism,['-']
Feminazi,s,openly_discriminating,sexism,"['-', 'Feminist~in']"
Fetzenschädel,s,openly_discriminating,offensive_language,['-']
Ficknudel,s,openly_discriminating,sexism,['-']
Ficksau,s,openly_discriminating,sexism,['-']
Fickschlitten,s,openly_discriminating,sexism,['-']
Fickschnitzel,s,openly_discriminating,sexism,['-']
Fickschwein,s,openly_discriminating,sexism,['-']
Fickstück,s,openly_discriminating,sexism,['-']
