Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Alter,s,unconscious_bias,age,"['Erfahrung', 'Vorbildung', 'Routine', 'Überblick', 'Hintergrundwissen', 'Einblick', '--- nur erwähnen, wenn relevant', 'Vorkenntnisse', 'Kompetenzen']","['Vorkenntnisse', 'Kompetenzen', '--- nur erwähnen, wenn relevant']","['--- nur erwähnen, wenn relevant', 'Erfahrung', 'Vorbildung', 'Routine', 'Überblick', 'Hintergrundwissen', 'Einblick', 'Vorkenntnisse', 'Kompetenzen']"
Altergenosse,s,unconscious_bias,age,"['Mensch gleichen Alters', 'Gleichaltrig~e~/~Gleichaltriger', 'Gleichaltrige']",['Gleichaltrige'],"['Mensch gleichen Alters', 'Gleichaltrig~e~/~Gleichaltriger', 'Gleichaltrige']"
Asylant,s,unconscious_bias,migration,"['Asylantrag', 'Asylsuchende~r', 'Asylberechtigte~r', 'politisch Verfolgte~r', 'Asylbewerber~in', 'Asylwerber~in', 'Asylsuchende', 'Asylberechtigte', 'politisch Verfolgte', 'sich um Asyl Bewerbende', 'Asylwerbende']","['Asylsuchende', 'Asylberechtigte', 'politisch Verfolgte', 'sich um Asyl Bewerbende', 'Asylwerbende', 'Asylantrag']","['Asylantrag', 'Asylsuchende~r', 'Asylberechtigte~r', 'politisch Verfolgte~r', 'Asylbewerber~in', 'Asylwerber~in', 'Asylsuchende', 'Asylberechtigte', 'politisch Verfolgte', 'sich um Asyl Bewerbende', 'Asylwerbende']"
Asylantenheim,s,unconscious_bias,migration,"['Geflüchteten-Unterkunft', '-', 'Geflüchteten-Unterkünfte']","['Geflüchteten-Unterkünfte', '-']","['-', 'Geflüchteten-Unterkunft', 'Geflüchteten-Unterkünfte']"
Asylantenstrom,s,unconscious_bias,migration,"['Zahl asylsuchender Menschen', 'Zahl der Geflüchteten', '-', 'Zahlen asylsuchender Menschen', 'Zahlen Geflüchteter']","['Zahlen asylsuchender Menschen', 'Zahlen Geflüchteter', '-']","['-', 'Zahl asylsuchender Menschen', 'Zahl der Geflüchteten', 'Zahlen asylsuchender Menschen', 'Zahlen Geflüchteter']"
Asylantin,s,unconscious_bias,migration,"['Asylsuchende~r', 'Asylberechtigte~r', 'politisch Verfolgte~r', 'Asylbewerber~in', 'Asylwerber~in --- Österreich', 'Asylsuchende', 'Asylberechtigte', 'politisch Verfolgte', 'sich um Asyl Bewerbende', 'Asylwerbende']","['Asylsuchende', 'Asylberechtigte', 'politisch Verfolgte', 'sich um Asyl Bewerbende', 'Asylwerbende']","['Asylsuchende~r', 'Asylberechtigte~r', 'politisch Verfolgte~r', 'Asylbewerber~in', 'Asylwerber~in --- Österreich', 'Asylsuchende', 'Asylberechtigte', 'politisch Verfolgte', 'sich um Asyl Bewerbende', 'Asylwerbende']"
Asyltourist,s,unconscious_bias,migration,"['Asyl suchender Mensch', '-', 'Asylsuchende~r', 'Asylberechtigte~r', 'politisch Verfolgte~r', 'Asylbewerber~in', 'Asylwerber~in', 'Asylsuchende', 'Asylberechtigte', 'politisch Verfolgte', 'sich um Asyl Bewerbende', 'Asylwerbende']","['Asylsuchende', 'Asylberechtigte', 'politisch Verfolgte', 'sich um Asyl Bewerbende', 'Asylwerbende', '-']","['-', 'Asyl suchender Mensch', 'Asylsuchende~r', 'Asylberechtigte~r', 'politisch Verfolgte~r', 'Asylbewerber~in', 'Asylwerber~in', 'Asylsuchende', 'Asylberechtigte', 'politisch Verfolgte', 'sich um Asyl Bewerbende', 'Asylwerbende']"
Athlet,s,unconscious_bias,sports_terms,"['Energiebündel', 'Tatmensch', 'Athlet~in~/~Athlet', 'Person, die sich Ziele setzt und sie umsetzt(...)', 'disziplinierter Mensch(...)', 'geduldiger Mensch(...)']",['Athlet~innen~ und ~Athleten'],"['Energiebündel', 'Tatmensch', 'Athlet~in~/~Athlet', 'Person, die sich Ziele setzt und sie umsetzt(...)', 'disziplinierter Mensch(...)', 'geduldiger Mensch(...)', 'Athlet~innen~ und ~Athleten']"
Behinderte,s,unconscious_bias,ability,"['Mensch mit Behinderungen(...)', 'Mensch, der in seiner Teilhabe durch Barrieren behindert wird(...)', 'jemand mit Behindertenausweis(...)', 'Person mit Behindertenpass --- Österreich(...)', 'Person mit Schwerbehindertenausweis --- Deutschland(...)', 'Person mit IV-Ausweis --- Schweiz(...)']","['Menschen mit Behinderungen(...)', 'Menschen, die in ihrer Teilhabe durch Barrieren behindert werden(...)', 'Personen mit Behindertenausweis(...)', 'Personen mit Behindertenpass --- Österreich(...)', 'Personen mit Schwerbehindertenausweis --- Deutschland(...)']","['Mensch mit Behinderungen(...)', 'Mensch, der in seiner Teilhabe durch Barrieren behindert wird(...)', 'jemand mit Behindertenausweis(...)', 'Person mit Behindertenpass --- Österreich(...)', 'Person mit Schwerbehindertenausweis --- Deutschland(...)', 'Person mit IV-Ausweis --- Schweiz(...)', 'Menschen mit Behinderungen(...)', 'Menschen, die in ihrer Teilhabe durch Barrieren behindert werden(...)', 'Personen mit Behindertenausweis(...)', 'Personen mit Behindertenpass --- Österreich(...)', 'Personen mit Schwerbehindertenausweis --- Deutschland(...)']"
Behinderter,s,unconscious_bias,ability,"['Mensch mit Behinderungen(...)', 'Mensch, der in seiner Teilhabe durch Barrieren behindert wird(...)', 'jemand mit Behindertenausweis(...)', 'Person mit Behindertenpass --- Österreich(...)', 'Person mit Schwerbehindertenausweis --- Deutschland(...)', 'Person mit IV-Ausweis --- Schweiz(...)']","['Menschen mit Behinderungen(...)', 'Menschen, die in ihrer Teilhabe durch Barrieren behindert werden(...)', 'Personen mit Behindertenausweis(...)', 'Personen mit Behindertenpass --- Österreich(...)', 'Personen mit Schwerbehindertenausweis --- Deutschland(...)']","['Mensch mit Behinderungen(...)', 'Mensch, der in seiner Teilhabe durch Barrieren behindert wird(...)', 'jemand mit Behindertenausweis(...)', 'Person mit Behindertenpass --- Österreich(...)', 'Person mit Schwerbehindertenausweis --- Deutschland(...)', 'Person mit IV-Ausweis --- Schweiz(...)', 'Menschen mit Behinderungen(...)', 'Menschen, die in ihrer Teilhabe durch Barrieren behindert werden(...)', 'Personen mit Behindertenausweis(...)', 'Personen mit Behindertenpass --- Österreich(...)', 'Personen mit Schwerbehindertenausweis --- Deutschland(...)']"
