Lemma,Word_Type,Category,Primary_subcategory,Alt_split
(x)aaS,|||,style,advanced_abbreviation,"['something as a service ((x)aaS)', 'etwas als Dienstleistung', 'etwas als Dienstleistung ((x)aaS)']"
ACCT,~,style,advanced_abbreviation,"['Account', 'Konto']"
ADD,=,style,advanced_abbreviation,"['Attention Deficit Disorder', 'Attention Deficit Disorder (ADD)', 'Aufmerksamkeitsdefizitstörung', 'Aufmerksamkeitsdefizitstörung (ADS)']"
ADHD,~,style,advanced_abbreviation,"['Attention Deficit Hyperactivity Disorder', 'Attention Deficit Hyperactivity Disorder (ADHD)', 'Aufmerksamkeitsdefizit-Hyperaktivitätsstörung', 'Aufmerksamkeitsdefizit-Hyperaktivitätsstörung (ADHS)']"
ADHS,~,style,advanced_abbreviation,"['Aufmerksamkeitsdefizit-Hyperaktivitätsstörung', 'Aufmerksamkeitsdefizit-Hyperaktivitätsstörung (ADHS)']"
ADS,~,style,advanced_abbreviation,"['Aufmerksamkeitsdefizitstörung', 'Aufmerksamkeitsdefizitstörung (ADS)']"
AIDA,~,style,advanced_abbreviation,"['Attention, Interest, Desire, Action', 'Attention, Interest, Desire, Action (AIDA)', 'AIDA-Modell (übersetzt Aufmerksamkeit, Interesse, Verlangen, Handeln)']"
AJAX,~,style,advanced_abbreviation,"['Asynchrones JavaScript und XML', 'Asynchrones JavaScript und eXtensible Markup Language (AJAX)']"
AKA,~,style,advanced_abbreviation,"['also known as', 'auch bekannt als']"
AMP,~,style,advanced_abbreviation,"['Accelerated Mobile Pages', 'Accelerated Mobile Pages (AMP)', 'beschleunigte Mobilseiten']"
AP,~,style,advanced_abbreviation,"['Accounts Payable', 'Accounts Payable (AP)', 'Kreditorenbuchhaltung']"
AP/AR,||,style,advanced_abbreviation,"['Accounts Payable/Receivable', 'Accounts Payable/Receivable (AP/AR)', 'Kreditoren- und Debitorenbuchhaltung']"
API,~,style,advanced_abbreviation,"['Application Program Interface (API)', 'Anwendungsprogrammschnittstelle', 'Application Programming Interface (API)', 'Anwendungsprogrammierschnittstelle']"
AR,~,style,advanced_abbreviation,"['Accounts Receivable', 'Accounts Receivable (AR)', 'Debitorenbuchhaltung']"
ARIA,~,style,advanced_abbreviation,"['Accessible Rich Internet Applications', 'Accessible Rich Internet Applications (ARIA)', 'ARIA-Initiative zur Verbesserung der Zugänglichkeit von Webseiten und Webanwendungen für Menschen mit Behinderungen']"
ARR,~,style,advanced_abbreviation,"['Annual Recurring Revenue', 'Annual Recurring Revenue (ARR)', 'jährlich wiederkehrender Umsatz']"
ASD,~,style,advanced_abbreviation,"['Autism Spectrum Disorder', 'Autism Spectrum Disorder (ASD)', 'Autismus-Spektrum-Störung', 'Neurodiversität']"
ASS,~,style,advanced_abbreviation,"['Autismus-Spektrum-Störung', 'Autismus-Spektrum-Störung (ASS)', 'Neurodiversität']"
