Form,Masculine,Feminine,Neuter,Plural,Alternative,Inklusivum
nominativ,der,die,das,die,die~der,de
genitiv,des,der,des,der,der~des,ders
dativ,dem,der,dem,den,der~dem,derm
akkusativ,den,die,das,die,den~die,de
nominativ,ein,eine,ein,einzelne,ein~e,ein
genitiv,eines,einer,eines,einzelne,einer~eines,einers
dativ,einem,einer,einem,einzelne,einer~einem,einerm
akkusativ,einen,eine,ein,einzelne,eine~n,ein
nominativ,jeder,jede,jedes,alle,jede~r,jedey
genitiv,jedes,jeder,jedes,alle,jeder~jedes,jeders
genitiv,jeden,jeder,jeden,alle,jeder~jeden,jeders
dativ,jedem,jeder,jedem,alle,jeder~jedem,jederm
akkusativ,jeden,jede,jedes,alle,jede~n,jedey
nominativ,unser,unsre,unser,unsre,unser~unsre,unse
nominativ,unser,unsere,unser,unsere,unser~e,unse
genitiv,unsres,unsrer,unsres,unsrer,unsrer~unsres,unserers
genitiv,unseres,unserer,unseres,unserer,unserer~unseres,unserers
dativ,unserem,unserer,unserem,unseren,unserer~unserem,unsererm
dativ,unserm,unsrer,unserm,unsern,unsrer~unserm,unsererm
dativ,unsrem,unsrer,unsrem,unsren,unsrer~unsrem,unsererm
akkusativ,unseren,unsere,unser,unsere,unsere~n,unse
akkusativ,unsern,unsre,unser,unsre,unsre~n,unse
akkusativ,unsren,unsre,unser,unsre,unsre~n,unse
nominativ,sein,seine,sein,seine,sein~e,ens
genitiv,seines,seiner,seines,seiner,seiner~seines,ensers
dativ,seinem,seiner,seinem,seinen,seiner~seinem,enserm
akkusativ,seinen,seine,sein,seine,seine~n,ens
nominativ,mein,meine,mein,meine,mein~e,mein
genitiv,meines,meiner,meines,meiner,meiner~meines,meiners
dativ,meinem,meiner,meinem,meinen,meiner~meinem,meinerm
akkusativ,meinen,meine,mein,meine,meine~n,mein
nominativ,dein,deine,dein,deine,dein~e,dein
genitiv,deines,deiner,deines,deiner,deiner~deines,deiners
dativ,deinem,deiner,deinem,deinen,deiner~deinem,deinerm
akkusativ,deinen,deine,dein,deine,deine~n,dein
nominativ,ihr,ihre,ihr,ihre,ihr~e,ens
genitiv,ihres,ihrer,ihres,ihrer,ihrer~ihres,ensers
dativ,ihrem,ihrer,ihrem,ihren,ihrer~ihrem,enserm
akkusativ,ihren,ihre,ihr,ihre,ihre~n,ens
nominativ,euer,euere,euer,euere,euer~e,eue
nominativ,euer,eure,euer,eure,eure~euer,eue
genitiv,eueres,euerer,eueres,euerer,euerer~eueres,eurers
genitiv,eures,eurer,eures,eurer,euerer~eures,eurers
dativ,euerem,euerer,euerem,eueren,euerer~euerem,eurerm
dativ,euerm,eurer,euerm,euern,eurer~euerm,eurerm
dativ,eurem,eurer,eurem,euren,eurer~eurem,eurerm
akkusativ,eueren,euere,euer,euere,euere~n,eue
akkusativ,euern,eure,euer,eure,eure~n,eue
akkusativ,euren,eure,euer,eure,eure~n,eue
nominativ,zum,zur,,,zur~zum,zurm
genitiv,zum,zur,,,zur~zum,zurm
dativ,zum,zur,,,zur~zum,zurm
akkusativ,zum,zur,,,zur~zum,zurm
nominativ,jemand,jemand,jemand,,jemand,jemand
genitiv,jemandes,jemandes,jemandes,,jemandes,jemanders
genitiv,jemands,jemands,jemands,,jemands,jemanders
dativ,jemandem,jemandem,jemandem,,jemandem,jemanderm
dativ,jemand,jemand,jemand,,jemand,jemanderm
akkusativ,jemanden,jemanden,jemanden,,jemanden,jemand
akkusativ,jemand,jemand,jemand,,jemand,jemand
nominativ,er,sie,es,sie,sie~er,en
genitiv,seiner,ihrer,seiner,ihrer,ihrer~seiner,enser
genitiv,seine,ihre,seine,ihre,ihre~seine,ens
genitiv,sein,ihr,sein,ihr,ihr~sein,ens
dativ,ihm,ihr,ihm,ihnen,ihr~ihm,em
akkusativ,ihn,sie,es,sie,sie~ihn,en
