Lemma,Word_Type,Category,Primary_subcategory
lieben,v,inclusive,communal
abhängig,a,inclusive,communal
Abhängigkeit,s,inclusive,communal
Achtsamkeit,s,inclusive,communal
Anerkennung,s,inclusive,communal
angenehm,a,inclusive,communal
angewiesen,a,inclusive,communal
Anliegen,s,inclusive,communal
Anstand,s,inclusive,communal
aufmerksam,a,inclusive,communal
aufziehen,v,inclusive,communal
Austausch,s,inclusive,communal
austauschen,v,inclusive,communal
autoritativ,a,inclusive,communal
Bedacht,s,inclusive,communal
bedächtig,a,inclusive,communal
Bedürfnis,s,inclusive,communal
begeistern,v,inclusive,communal
Begeisterung,s,inclusive,communal
Begeisterungsfähigkeit,s,inclusive,communal
begleiten,v,inclusive,communal
behilflich,a,inclusive,communal
berührt,a,inclusive,communal
bescheiden,a,inclusive,communal
Bescheidenheit,s,inclusive,communal
besonnen,a,inclusive,communal
betreuen,v,inclusive,communal
betreut,a,inclusive,communal
Betreuung,s,inclusive,communal
bewegt,a,inclusive,communal
bewirken,v,inclusive,communal
Diskussion,s,inclusive,communal
diskutieren,v,inclusive,communal
ehrlich,a,inclusive,communal
einfühlen,v,inclusive,communal
einfühlend,a,inclusive,communal
einfühlsam,a,inclusive,communal
Einfühlung,s,inclusive,communal
Einfühlungsvermögen,s,inclusive,communal
Elan,s,inclusive,communal
emotional,a,inclusive,communal
Empathie,s,inclusive,communal
empathisch,a,inclusive,communal
empfindlich,a,inclusive,communal
Engagement,s,inclusive,communal
engagieren,v,inclusive,communal
engagiert,a,inclusive,communal
entgegenkommend,a,inclusive,communal
Enthusiasmus,s,inclusive,communal
enthusiastisch,a,inclusive,communal
entspannt,=a,inclusive,communal
erfinderisch,a,inclusive,communal
erfindungsreich,a,inclusive,communal
erfüllend,a,inclusive,communal
ergreifend,a,inclusive,communal
ermutigen,v,inclusive,communal
ermutigend,a,inclusive,communal
Ermutigung,s,inclusive,communal
fördernd,a,inclusive,communal
Freude,s,inclusive,communal
freuen,v,inclusive,communal
freundlich,a,inclusive,communal
fröhlich,a,inclusive,communal
fühlen,v,inclusive,communal
fürsorglich,a,inclusive,communal
Gefühl,s,inclusive,communal
gefühlsbetont,a,inclusive,communal
gefühlsmässig,a,inclusive,communal
gemeinsam,a,inclusive,communal
Gemeinschaft,s,inclusive,communal
gemeinschaftlich,a,inclusive,communal
Gemeinschaftsprojekt,s,inclusive,communal
gerührt,a,inclusive,communal
gestalterisch,a,inclusive,communal
glücklich,a,inclusive,communal
gütig,a,inclusive,communal
heiter,a,inclusive,communal
helfen,v,inclusive,communal
hilfsbereit,a,inclusive,communal
höflich,a,inclusive,communal
Identifikation,s,inclusive,communal
identifizieren,a,inclusive,communal
impact,s,inclusive,communal
Impakt,s,inclusive,communal
initiativ,a,inclusive,communal
integer,a,inclusive,communal
Integrität,s,inclusive,communal
Interesse,s,inclusive,communal
interessieren,v,inclusive,communal
Jobsharing,s,inclusive,communal
Jubel,s,inclusive,communal
kollegial,a,inclusive,communal
Kommunikation,s,inclusive,communal
kommunikativ,a,inclusive,communal
kommunizieren,v,inclusive,communal
konstruktiv,a,inclusive,communal
Konstruktivität,s,inclusive,communal
Kooperation,s,inclusive,communal
kooperativ,a,inclusive,communal
kooperieren,v,inclusive,communal
Kreation,s,inclusive,communal
kreativ,a,inclusive,communal
Kreativität,s,inclusive,communal
kreieren,v,inclusive,communal
kümmern,v,inclusive,communal
langfristig,a,inclusive,communal
lieb,a,inclusive,communal
liebevoll,a,inclusive,communal
lieblich,a,inclusive,communal
loyal,a,inclusive,communal
Mentorat,s,inclusive,communal
Mitarbeit,s,inclusive,communal
mitarbeiten,v,inclusive,communal
miteinander,a,inclusive,communal
mitfühlen,v,inclusive,communal
mitfühlend,a,inclusive,communal
Mitgefühl,s,inclusive,communal
mitgestalten,v,inclusive,communal
Mitgestaltung,s,inclusive,communal
mitwirken,v,inclusive,communal
mitwirkend,a,inclusive,communal
Mitwirkung,s,inclusive,communal
Motivation,s,inclusive,communal
motivieren,v,inclusive,communal
motiviert,a,inclusive,communal
nachdenklich,a,inclusive,communal
nachfühlen,v,inclusive,communal
nachgeben,v,inclusive,communal
