Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Konfirmandenunterricht,s,gendered,advanced_hidden_image,['Konfirmationsunterricht'],[],['Konfirmationsunterricht']
Social Media Manager,||s,gendered,titles,['Social-Media-Manager~in~/~Social-Media-Manager'],['Social-Media-Manager~innen~ und ~Social-Media-Manager'],"['Social-Media-Manager~in~/~Social-Media-Manager', 'Social-Media-Manager~innen~ und ~Social-Media-Manager']"
Corporate-Influencer,s,gendered,function,"['Corporate-Influencer~in~/~Corporate-Influencer', 'Markenbotschafter~in~/~Markenbotschafter', 'Person, die ihre Marke mit Energie und Ideen anderen im Netz näherbringt(...)', 'kommunikationsfreudiger Mensch, der im Netz rund um Themen seines Unternehmens kommuniziert(...)', 'Corporate Influencing(...)']","['Corporate-Influencer~innen~ und ~Corporate-Influencer', 'Markenbotschafter~innen~ und ~Markenbotschafter', 'Mitarbeitende, die im Netz rund um Themen ihres Unternehmens kommunizieren(...)', 'Leute, die ihre Marke mit Energie und Ideen anderen im Netz näherbringen(...)']","['Corporate-Influencer~in~/~Corporate-Influencer', 'Markenbotschafter~in~/~Markenbotschafter', 'Person, die ihre Marke mit Energie und Ideen anderen im Netz näherbringt(...)', 'kommunikationsfreudiger Mensch, der im Netz rund um Themen seines Unternehmens kommuniziert(...)', 'Corporate Influencing(...)', 'Corporate-Influencer~innen~ und ~Corporate-Influencer', 'Markenbotschafter~innen~ und ~Markenbotschafter', 'Mitarbeitende, die im Netz rund um Themen ihres Unternehmens kommunizieren(...)', 'Leute, die ihre Marke mit Energie und Ideen anderen im Netz näherbringen(...)']"
Entscheidungsträger,s,gendered,function,"['Entscheidungsträger~in~/~Entscheidungsträger', 'Person mit Entscheidungsbefugnis(...)', 'entscheidungsbefugte Person(...)']","['Entscheidungstragende', 'Entscheidungsträger~innen~ und ~Entscheidungsträger', 'Personen mit Entscheidungsbefugnis(...)', 'entscheidungsbefugte Personen(...)']","['Entscheidungsträger~in~/~Entscheidungsträger', 'Person mit Entscheidungsbefugnis(...)', 'entscheidungsbefugte Person(...)', 'Entscheidungstragende', 'Entscheidungsträger~innen~ und ~Entscheidungsträger', 'Personen mit Entscheidungsbefugnis(...)', 'entscheidungsbefugte Personen(...)']"
Systemadministrator,s,gendered,titles,['Systemadministrator~in~/~Systemadministrator'],['Systemadministrator~innen~ und ~Systemadministratoren'],"['Systemadministrator~in~/~Systemadministrator', 'Systemadministrator~innen~ und ~Systemadministratoren']"
Oberflächenveredler,s,gendered,titles,"['Oberflächenveredler~in~/~Oberflächenveredler', 'Oberflächenveredlung(...)']",['Oberflächenveredler~innen~ und ~Oberflächenveredler'],"['Oberflächenveredler~in~/~Oberflächenveredler', 'Oberflächenveredlung(...)', 'Oberflächenveredler~innen~ und ~Oberflächenveredler']"
Tochtergesellschaft,s,gendered,advanced_hidden_image,"['Niederlassung', 'Geschäftsstelle', 'Filiale', 'Untergesellschaft', 'eigenständiges, aber wirtschaftlich unselbständiges Unternehmen']","['Niederlassungen', 'Geschäftsstellen', 'Filialen', 'Untergesellschaften', 'eigenständige, aber wirtschaftlich unselbständige Unternehmen']","['Niederlassung', 'Geschäftsstelle', 'Filiale', 'Untergesellschaft', 'eigenständiges, aber wirtschaftlich unselbständiges Unternehmen', 'Niederlassungen', 'Geschäftsstellen', 'Filialen', 'Untergesellschaften', 'eigenständige, aber wirtschaftlich unselbständige Unternehmen']"
Ingenieurstradition,s,gendered,advanced_hidden_image,['Techniktradition'],[],['Techniktradition']
Marketing-Assistent,s,gendered,titles,['Marketing-Assistent~in~/~Marketing-Assistent'],['Marketing-Assistent~innen~ und ~Marketing-Assistenten'],"['Marketing-Assistent~in~/~Marketing-Assistent', 'Marketing-Assistent~innen~ und ~Marketing-Assistenten']"
Mitarbeitergespräch,s,gendered,advanced_hidden_image,['Jahresgespräch'],['Jahresgespräche'],"['Jahresgespräch', 'Jahresgespräche']"
