Word,Note
Mitglied,neuter and already neutral
Opfer,neuter and already neutral
Gegenüber,neuter and already neutral
Individuum,neuter and already neutral
Kind,neuter and already neutral
Enkelkind,neuter and already neutral
Geschwisterkind,neuter and already neutral
Baby,neuter and already neutral
Elternteil,neuter and already neutral
Elter,neuter and already neutral
Geschwister,neuter and already neutral
Gast,masculine but generic; only the article changes
Vormund,masculine but generic; only the article changes
Engel,masculine but generic; only the article changes
Anarcho,masculine but generic; only the article changes
Hetero,masculine but generic; only the article changes
Homo,masculine but generic; only the article changes
Normalo,masculine but generic; only the article changes
Realo,masculine but generic; only the article changes
Mensch,masculine but generic; only the article changes
Person,feminine but generic
Waise,feminine but generic
Geisel,feminine but generic
Koryphäe,feminine but generic
Charakter,not exclusively a person word
Wache,not exclusively a person word
Begleitung,not exclusively a person word
Genie,not exclusively a person word
Idol,not exclusively a person word
Ikone,not exclusively a person word
Majestät,not exclusively a person word
Besuch,not exclusively a person word
Autorität,not exclusively a person word
Persönlichkeit,not exclusively a person word
Kauz,not exclusively a person word
Unikum,not exclusively a person word
Unikat,not exclusively a person word
Original,not exclusively a person word
Oberhaupt,compound whose second element is not a person
Schöngeist,compound whose second element is not a person
Leseratte,compound whose second element is not a person
Bücherwurm,compound whose second element is not a person
Vorbild,compound whose second element is not a person
Fotomodell,compound whose second element is not a person
Paradiesvogel,compound whose second element is not a person
Lehrkraft,compound whose second element is not a person
Hilfskraft,compound whose second element is not a person
Putzkraft,compound whose second element is not a person
Fan,English loan
Star,English loan
Boss,English loan
Clown,English loan
Punk,English loan
Hippie,English loan
Freak,English loan
Nerd,English loan
Hooligan,English loan
Model,English loan
Profi,clipped form
Studi,clipped form
Schiri,clipped form
Ami,clipped form
Azubi,clipped form
Admin,clipped form
Judoka,same form for any gender
Aikidoka,same form for any gender
Karateka,same form for any gender
Barista,same form for any gender
Prota,same form for any gender
Jedi,same form for any gender
Sith,same form for any gender
Ex,same form for any gender
Bevölkerung,group noun
Clan,group noun
Ethnie,group noun
Familie,group noun
Gemeinde,group noun
Gemeinschaft,group noun
Gesellschaft,group noun
Gruppe,group noun
Gruppierung,group noun
Kollektiv,group noun
Kongress,group noun
Publikum,group noun
Pulk,group noun
Senat,group noun
Stamm,group noun
Team,group noun
Versammlung,group noun
Volk,group noun
Leute,group noun
Abkömmling,person word in -ling; the suffix alone also forms Frühling
Ankömmling,person word in -ling; the suffix alone also forms Frühling
Eindringling,person word in -ling; the suffix alone also forms Frühling
Erdling,person word in -ling; the suffix alone also forms Frühling
Flüchtling,person word in -ling; the suffix alone also forms Frühling
Fremdling,person word in -ling; the suffix alone also forms Frühling
Günstling,person word in -ling; the suffix alone also forms Frühling
Häftling,person word in -ling; the suffix alone also forms Frühling
Häuptling,person word in -ling; the suffix alone also forms Frühling
Jüngling,person word in -ling; the suffix alone also forms Frühling
Lehrling,person word in -ling; the suffix alone also forms Frühling
Liebling,person word in -ling; the suffix alone also forms Frühling
Neuling,person word in -ling; the suffix alone also forms Frühling
Pflegling,person word in -ling; the suffix alone also forms Frühling
Prüfling,person word in -ling; the suffix alone also forms Frühling
Säugling,person word in -ling; the suffix alone also forms Frühling
Schützling,person word in -ling; the suffix alone also forms Frühling
Sträfling,person word in -ling; the suffix alone also forms Frühling
Täufling,person word in -ling; the suffix alone also forms Frühling
Zögling,person word in -ling; the suffix alone also forms Frühling
Zwilling,person word in -ling; the suffix alone also forms Frühling
