Masculine,Singular,Plural,Note
Wanderer,Wandere,Wanderne,second -er is replaced by -in rather than suffixed
Zauberer,Zaubere,Zauberne,second -er is replaced by -in rather than suffixed
Prinz,Prinze,Prinzerne,derived from the shorter masculine stem not from Prinzessin
Hexer,Hexere,Hexerne,derived from the shorter feminine stem Hexe
Witwer,Witwere,Witwerne,the feminine Witwe is the base stem
Bräutigam,Braute,Bräuterne,Braut and Bräutigam are unrelated roots
Enkel,Enkele,Enkelerne,plain -rne would give the unpronounceable Enkelne
Kumpel,Kumpele,Kumpelerne,plain -rne would give the unpronounceable Kumpelne
Alumnus,Alumne,Alumnerne,Romance -us/-a replaced by -e
Ballerino,Ballerine,Ballerinerne,Romance -o/-a replaced by -e
Emeritus,Emerite,Emeriterne,Romance -us/-a replaced by -e
Mafioso,Mafiose,Mafioserne,Romance -o/-a replaced by -e
Torero,Torere,Torererne,Romance -o/-a replaced by -e
Signore,Signorere,Signorerne,masculine already ends in -e
Kaufmann,Kaufperson,Kaufleute,-mann/-frau compounds are replaced not suffixed
Fachmann,Fachperson,Fachleute,-mann/-frau compounds are replaced not suffixed
Geschäftsmann,Geschäftsperson,Geschäftsleute,-mann/-frau compounds are replaced not suffixed
Landsmann,Landsperson,Landsleute,-mann/-frau compounds are replaced not suffixed
Bergmann,Bergperson,Bergleute,-mann/-frau compounds are replaced not suffixed
Ehemann,Eheperson,Eheleute,-mann/-frau compounds are replaced not suffixed
Feuerwehrmann,Feuerwehrperson,Feuerwehrleute,-mann/-frau compounds are replaced not suffixed
Putzmann,Putzperson,Putzpersonen,-mann/-frau compounds are replaced not suffixed
