Lemma,Word_Type,Category,Primary_subcategory,Alt_split,False_Positives
Albino,s,openly_discriminating,ableism,['-'],[]
Analakrobat,s,openly_discriminating,homophobia,['-'],[]
Analarbeiter,s,openly_discriminating,homophobia,['-'],[]
Analbaron,s,openly_discriminating,homophobia,['-'],[]
Analbergsteiger,s,openly_discriminating,homophobia,['-'],[]
Analbesamer,s,openly_discriminating,homophobia,['-'],[]
Analbohrer,s,openly_discriminating,homophobia,['-'],[]
Analerotiker,s,openly_discriminating,homophobia,['-'],[]
Analfetischist,s,openly_discriminating,homophobia,['-'],[]
Analfisch,s,openly_discriminating,homophobia,['-'],[]
Analfürst,s,openly_discriminating,homophobia,['-'],[]
Analgeneral,s,openly_discriminating,homophobia,['-'],[]
Analgurke,s,openly_discriminating,homophobia,['-'],[]
Analhengst,s,openly_discriminating,homophobia,['-'],[]
Analkopf,s,openly_discriminating,homophobia,['-'],[]
Analkröte,s,openly_discriminating,homophobia,['-'],[]
Analphabet,s,openly_discriminating,homophobia,['-'],[]
Analpilot,s,openly_discriminating,homophobia,['-'],[]
Analpirat,s,openly_discriminating,homophobia,['-'],[]
Analrakete,s,openly_discriminating,homophobia,['-'],[]
Analratte,s,openly_discriminating,homophobia,['-'],[]
Analreiniger,s,openly_discriminating,homophobia,['-'],[]
Analreiter,s,openly_discriminating,homophobia,['-'],[]
Analritter,s,openly_discriminating,homophobia,['-'],[]
Analrosine,s,openly_discriminating,homophobia,['-'],[]
Analruine,s,openly_discriminating,homophobia,['-'],[]
Analtieftaucher,s,openly_discriminating,homophobia,['-'],[]
Analtranse,s,openly_discriminating,transphobia,['-'],[]
Analtrompete,s,openly_discriminating,homophobia,['-'],[]
Armleuchter,s,openly_discriminating,offensive_language,['-'],[]
Arschbackenjäger,s,openly_discriminating,homophobia,['-'],[]
Arschbohrer,s,openly_discriminating,homophobia,['-'],[]
Arschfickerlehrling,s,openly_discriminating,homophobia,['-'],[]
Arschgeige,s,openly_discriminating,offensive_language,['-'],[]
Arschlecker,s,openly_discriminating,homophobia,['-'],[]
Arschloch,s,openly_discriminating,offensive_language,['-'],[]
Arschlocher,s,openly_discriminating,homophobia,['-'],[]
Arschlochlecker,s,openly_discriminating,homophobia,['-'],[]
Arschpirat,s,openly_discriminating,homophobia,['-'],[]
Arschratte,s,openly_discriminating,homophobia,['-'],[]
Arschsau,s,openly_discriminating,homophobia,['-'],[]
Barbar,s,openly_discriminating,xenophobia,['-'],[]
Bastard,s,openly_discriminating,offensive_language,['-'],[]
Beißzange,s,openly_discriminating,sexism,['-'],[]
Berufsschwuler,s,openly_discriminating,homophobia,['-'],[]
Bitch,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Blödian,s,openly_discriminating,offensive_language,['-'],[]
Blödmann,s,openly_discriminating,offensive_language,['-'],[]
Bordsteinschwalbe,s,openly_discriminating,sexism,['-'],[]
Bumser,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Bumskarnickel,s,openly_discriminating,sexism,['-'],[]
Bumskuh,s,openly_discriminating,sexism,['-'],[]
Busengrabscher,s,openly_discriminating,sexism,['-'],[]
Chromosomenfasching,s,openly_discriminating,transphobia,['-'],[]
Cisse,s,openly_discriminating,sexism,"['-', 'cis Mann', 'cis Frau', 'heterosexuelle Person']",[]
Dirne,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Dorfmatratze,s,openly_discriminating,sexism,['-'],[]
Drache,s,openly_discriminating,sexism,['-'],[]
Drecksau,s,openly_discriminating,sexism,['-'],[]
Dreckstück,s,openly_discriminating,sexism,['-'],[]
Dreilochstute,s,openly_discriminating,sexism,['-'],[]
Dussel,s,openly_discriminating,offensive_language,['-'],[]
Einfaltspinsel,s,openly_discriminating,offensive_language,['-'],[]
Emanze,s,openly_discriminating,sexism,['-'],[]
Eselficker,s,openly_discriminating,homophobia,['-'],[]
Faulpelz,s,openly_discriminating,offensive_language,['-'],[]
Fetzenschädel,s,openly_discriminating,offensive_language,['-'],[]
Ficker,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Ficknudel,s,openly_discriminating,sexism,['-'],[]
Ficksau,s,openly_discriminating,sexism,['-'],[]
Fickschlitten,s,openly_discriminating,sexism,['-'],[]
Fickschnitzel,s,openly_discriminating,sexism,['-'],[]
Fickschwein,s,openly_discriminating,sexism,['-'],[]
Fickstück,s,openly_discriminating,sexism,['-'],[]
Fischkopf,s,openly_discriminating,xenophobia,['-'],[]
Fischkopp,s,openly_discriminating,xenophobia,['-'],[]
Flittchen,s,openly_discriminating,sexism,['-'],[]
Fotze,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Fotzengesicht,s,openly_discriminating,sexism,['-'],[]
Fotzenkind,s,openly_discriminating,sexism,['-'],[]
Fotzenkopf,s,openly_discriminating,sexism,['-'],[]
Fotzensau,s,openly_discriminating,sexism,['-'],[]
Frauenversteher,s,openly_discriminating,sexism,['-'],[]
Frauenzimmer,s,openly_discriminating,offensive_language,['-'],[]
Fresse,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Freudenmädchen,s,openly_discriminating,sexism,['-'],[]
Furie,s,openly_discriminating,sexism,['-'],[]
Gay-Lobby,s,openly_discriminating,homophobia,['-'],[]
Gaylobby,s,openly_discriminating,homophobia,['-'],[]
Genderlobby,s,openly_discriminating,homophobia,['-'],[]
Gewitterziege,s,openly_discriminating,sexism,['-'],[]
Giftspritze,s,openly_discriminating,sexism,['-'],[]
Hartgeldstricher,s,openly_discriminating,homophobia,['-'],[]
Hermaphrodit,s,openly_discriminating,transphobia,['-'],[]
Hete,s,openly_discriminating,advanced_openly_discriminating_base,"['-', 'heterosexuelle Person', 'cis Mann', 'cis Frau']","['Kathete', 'Machete', 'Brachete', 'löthete', 'Ankathete', 'Gegenkathete']"
Heulboje,s,openly_discriminating,sexism,['-'],[]
Heulsuse,s,openly_discriminating,sexism,['-'],[]
Hexe,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Homobär,s,openly_discriminating,homophobia,['-'],[]
Homopimmelpirat,s,openly_discriminating,homophobia,['-'],[]
Homoschwein,s,openly_discriminating,homophobia,['-'],[]
Hornochse,s,openly_discriminating,offensive_language,['-'],[]
Hottentotte,s,openly_discriminating,racism,['chaotisch'],[]
Hottentottin,s,openly_discriminating,racism,['chaotisch'],[]
Hungerhaken,s,openly_discriminating,ableism,['-'],[]
Hupfdohle,s,openly_discriminating,sexism,['-'],[]
Hure,s,openly_discriminating,advanced_openly_discriminating_base,['-'],"['Mandschure', 'Embouchure', 'Thure']"
Hurengeburt,s,openly_discriminating,sexism,['-'],[]
Hurenkind,s,openly_discriminating,sexism,['-'],[]
Hurensohn,s,openly_discriminating,offensive_language,['-'],[]
Hurentochter,s,openly_discriminating,sexism,['-'],[]
Idiot,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Inselaffe,s,openly_discriminating,xenophobia,['-'],[]
Ische,s,openly_discriminating,yiddish_pejorative,"['-', 'jüngere Person', 'Partner~in~/~Partner', 'bessere Hälfte']",[]
Itacker,s,openly_discriminating,xenophobia,['-'],[]
Iwan,s,openly_discriminating,xenophobia,['-'],[]
Jammersuse,s,openly_discriminating,sexism,['-'],[]
Jodelschnepfe,s,openly_discriminating,sexism,['-'],[]
Judenei,s,openly_discriminating,antisemitism,"['-', 'Taschenuhr']",[]
Judensau,s,openly_discriminating,antisemitism,['-'],[]
Judenstern,s,openly_discriminating,antisemitism,['Davidstern'],[]
Jugo,s,openly_discriminating,xenophobia,['-'],[]
Kackbratze,s,openly_discriminating,sexism,['-'],[]
Kacker,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Kaffer,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Kameltreiber,s,openly_discriminating,antimuslim,['-'],[]
Kanacke,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Kanacker,s,openly_discriminating,xenophobia,['-'],[]
Kanake,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Kannibale,s,openly_discriminating,racism,['-'],[]
Kannibalin,s,openly_discriminating,racism,['-'],[]
Klemmschwester,s,openly_discriminating,sexism,['-'],[]
Klofrau,s,openly_discriminating,sexism,['-'],[]
Kotstecher,s,openly_discriminating,homophobia,['-'],[]
Kotstulle,s,openly_discriminating,sexism,['-'],[]
Krampfhenne,s,openly_discriminating,sexism,['-'],[]
Kratzbürste,s,openly_discriminating,sexism,['-'],[]
Krisperl,s,openly_discriminating,ableism,['-'],[]
Krüppel,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Kuh,s,openly_discriminating,sexism,['-'],[]
LGBT-Lobby,s,openly_discriminating,homophobia,['-'],[]
LGBT-Mafia,s,openly_discriminating,homophobia,['-'],[]
LGBTIQ-Lobby,s,openly_discriminating,homophobia,['-'],[]
LGBTIQlobby,s,openly_discriminating,homophobia,['-'],[]
LGBTlobby,s,openly_discriminating,homophobia,['-'],[]
LGBTmafia,s,openly_discriminating,homophobia,['-'],[]
Ladyboy,s,openly_discriminating,transphobia,"['-', 'trans Frau']",[]
Lallkopf,s,openly_discriminating,ableism,['-'],[]
Landpomeranze,s,openly_discriminating,sexism,['-'],[]
Lesbenehe,s,openly_discriminating,homophobia,"['-', 'Ehe für alle']",[]
Lesbenlobby,s,openly_discriminating,homophobia,['-'],[]
Luder,s,openly_discriminating,advanced_openly_discriminating_base,['-'],"['Schindluder', 'Okkluder', 'Fluder', 'Pluder', 'Anluder', 'Luderplatz']"
Lutscher,s,openly_discriminating,advanced_openly_discriminating_base,['-'],"['Dauerlutscher', 'Eislutscher', 'Daumenlutscher']"
Mannschaftsmatratze,s,openly_discriminating,sexism,['-'],[]
Mannweib,s,openly_discriminating,sexism,['-'],[]
Mauerblümchen,s,openly_discriminating,sexism,['-'],[]
Mauschelei,s,openly_discriminating,yiddish_pejorative,"['-', 'Täuschung', 'Übervorteilung', 'Schwindel', 'interne Absprache', 'Nepotismus', 'Täuschungen', 'Übervorteilungen', 'Schwindeleien', 'interne Absprachen', 'Begünstigungen']",[]
Meckerliese,s,openly_discriminating,sexism,['-'],[]
Metze,s,openly_discriminating,sexism,['-'],[]
Milchmädchen,s,openly_discriminating,sexism,['-'],[]
Mischpoke,a,openly_discriminating,yiddish_pejorative,"['-', 'Familie', 'Gruppe', 'eingeschworene Gemeinschaft', 'liebe Verwandtschaft', 'Bande']",[]
Mistvieh,s,openly_discriminating,offensive_language,['-'],[]
Mongo,s,openly_discriminating,advanced_openly_discriminating_base,"['-', 'Mensch mit Down-Syndrom(...)', 'Mensch mit Trisomie 21(...)', 'Mensch mit veränderter Chromosomenzahl(...)', 'Mensch mit Lernschwierigkeiten(...)']",[]
Mulatte,s,openly_discriminating,racism,['-'],[]
Mulattin,s,openly_discriminating,racism,['-'],[]
Muschi,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Möse,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Neger,s,openly_discriminating,advanced_openly_discriminating_base,"['-', 'Schwarz~e~/~Schwarzer', 'Afrikaner~in~/~Afrikaner', 'Afroamerikaner~in~/~Afroamerikaner', 'Schwarze', 'Afrikaner~innen~ und ~Afrikaner', 'Afroamerikaner~innen~ und ~Afroamerikaner']",[]
Negerin,s,openly_discriminating,advanced_openly_discriminating_base,"['-', 'Schwarz~e~/~Schwarzer', 'Afrikaner~in~/~Afrikaner', 'Afroamerikaner~in~/~Afroamerikaner', 'Schwarze', 'Afrikaner~innen~ und ~Afrikaner', 'Afroamerikaner~innen~ und ~Afroamerikaner']",[]
Negerordnung,s,openly_discriminating,racism,['-'],[]
Nervensäge,s,openly_discriminating,sexism,['-'],[]
Nigger,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Niggerin,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Nutte,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Nuttenarsch,s,openly_discriminating,sexism,['-'],[]
Nuttensau,s,openly_discriminating,sexism,['-'],[]
Ober-Diva,s,openly_discriminating,sexism,['-'],[]
Oberdiva,s,openly_discriminating,sexism,['-'],[]
Orgasmusbremse,s,openly_discriminating,sexism,['-'],[]
Penisfrau,s,openly_discriminating,transphobia,"['-', 'trans Frau']",[]
Penismädchen,s,openly_discriminating,transphobia,"['-', 'trans Frau']",[]
Piefke,s,openly_discriminating,xenophobia,['-'],[]
Pimmelfrau,s,openly_discriminating,homophobia,['-'],[]
Pimmellecker,s,openly_discriminating,homophobia,['-'],[]
Pimmelsauger,s,openly_discriminating,homophobia,['-'],[]
Pissflitsche,s,openly_discriminating,sexism,['-'],[]
Pissgurke,s,openly_discriminating,sexism,['-'],[]
Pissnelke,s,openly_discriminating,sexism,['-'],[]
Polack,s,openly_discriminating,xenophobia,['-'],[]
Polacke,s,openly_discriminating,xenophobia,['-'],[]
Popolecker,s,openly_discriminating,homophobia,['-'],[]
Popopirat,s,openly_discriminating,homophobia,['-'],[]
Prostituierte,s,openly_discriminating,sexism,['-'],[]
Prostitutionslobby,s,openly_discriminating,sexism,['-'],[]
Puffmutter,s,openly_discriminating,sexism,['-'],[]
Pussy,s,openly_discriminating,sexism,['-'],[]
Quadratratschn,s,openly_discriminating,sexism,['-'],[]
Quasselstrippe,s,openly_discriminating,sexism,['-'],[]
Reisfresser,s,openly_discriminating,racism,['-'],[]
Remigration,s,openly_discriminating,racism,[],[]
Rindvieh,s,openly_discriminating,offensive_language,['-'],[]
Rosettenfetischist,s,openly_discriminating,homophobia,['-'],[]
Rosettenhengst,s,openly_discriminating,homophobia,['-'],[]
Rosettenlecker,s,openly_discriminating,homophobia,['-'],[]
Rosettenschlecker,s,openly_discriminating,homophobia,['-'],[]
Rothaut,s,openly_discriminating,racism,['-'],[]
Saftsack,s,openly_discriminating,offensive_language,['-'],[]
Schabracke,s,openly_discriminating,sexism,['-'],[]
Schacher,s,openly_discriminating,yiddish_pejorative,"['-', 'Handel', 'unlautere Preisabsprache', 'Absprache unter der Hand', 'gewinnsüchtige Treiben']",[]
Schacherei,s,openly_discriminating,yiddish_pejorative,"['-', 'Feilscherei', 'harte Verhandlungen', 'Geschäftemacherei', 'Gezerre', 'Gefeilsche', 'Feilschereien', 'harte Verhandlungen', 'Geschäftemacherei', 'Gezerre', 'Gefeilsche']",[]
Scheiße,s,openly_discriminating,offensive_language,['-'],[]
Scheißer,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Schickse,s,openly_discriminating,sexism,['-'],[]
Schielauge,s,openly_discriminating,ableism,"['-', 'Person mit Gleichgewichtsstörung des Augenmuskels(...)']",[]
Schlammsau,s,openly_discriminating,sexism,['-'],[]
Schlampe,s,openly_discriminating,advanced_openly_discriminating_base,"['-', 'Mensch, der unordentlich ist(...)']",[]
Schlampenkuh,s,openly_discriminating,sexism,['-'],[]
Schlampensau,s,openly_discriminating,sexism,['-'],[]
Schlampentochter,s,openly_discriminating,sexism,['-'],[]
Schlitzauge,s,openly_discriminating,racism,['-'],[]
Schmierfink,s,openly_discriminating,offensive_language,['-'],[]
Schnalle,s,openly_discriminating,sexism,['-'],[]
Schnepfe,s,openly_discriminating,sexism,['-'],[]
Schrapnelle,s,openly_discriminating,sexism,['-'],[]
Schrappnelle,s,openly_discriminating,sexism,['-'],[]
Schreckschraube,s,openly_discriminating,sexism,['-'],[]
Schrulle,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Schwachmat,s,openly_discriminating,ableism,['-'],[]
Schwachsinniger,s,openly_discriminating,ableism,['-'],[]
Schwein,s,openly_discriminating,offensive_language,['-'],[]
Schweinebacke,s,openly_discriminating,offensive_language,['-'],[]
Schwuchtel,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Schwulenehe,s,openly_discriminating,homophobia,"['-', 'Ehe für alle']",[]
Schwulette,s,openly_discriminating,homophobia,['-'],[]
Schwuli,s,openly_discriminating,homophobia,['-'],[]
Sodomit,s,openly_discriminating,homophobia,['-'],[]
Spacken,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Spacko,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Spagmat,s,openly_discriminating,ableism,['-'],[]
Spargeltarzan,s,openly_discriminating,ableism,"['-', 'schlanke Person']",[]
Spast,s,openly_discriminating,ableism,"['-', 'Spastiker', 'Person, die mit Spasmen lebt(...)', 'Person mit einer motorischen Erkrankung(...)', 'Person mit Willkürbewegungen(...)', 'Mensch mit Cerebralparese(...)', 'Person, die sich ungeschickt anstellt(...)']",[]
Spasti,s,openly_discriminating,ableism,"['-', 'Spastiker', 'Person, die mit Spasmen lebt(...)', 'Person mit einer motorischen Erkrankung(...)', 'Person mit Willkürbewegungen(...)', 'Mensch mit Cerebralparese(...)', 'Person, die sich ungeschickt anstellt(...)']",[]
Spermarutsche,s,openly_discriminating,sexism,['-'],[]
Spinatwachtel,s,openly_discriminating,sexism,['-'],[]
Stinkmorchel,s,openly_discriminating,sexism,['-'],[]
Stinknudel,s,openly_discriminating,sexism,['-'],[]
Stinksau,s,openly_discriminating,sexism,['-'],[]
Straßenmädchen,s,openly_discriminating,sexism,['-'],[]
Stricher,s,openly_discriminating,homophobia,['-'],[]
Strichjunge,s,openly_discriminating,homophobia,['-'],[]
Strichmädchen,s,openly_discriminating,sexism,['-'],[]
Sumpfhuhn,s,openly_discriminating,sexism,['-'],[]
Sumpfkuh,s,openly_discriminating,sexism,['-'],[]
Suppenhuhn,s,openly_discriminating,sexism,['-'],[]
Suppenkasper,s,openly_discriminating,ableism,['-'],[]
Toilettengeburt,s,openly_discriminating,ableism,['-'],[]
Trampel,s,openly_discriminating,advanced_openly_discriminating_base,['-'],[]
Trans-Lobby,s,openly_discriminating,transphobia,['-'],[]
Transe,s,openly_discriminating,transphobia,['-'],[]
Transenkopf,s,openly_discriminating,transphobia,['-'],[]
Translobby,s,openly_discriminating,transphobia,['-'],[]
Transvestit,s,openly_discriminating,transphobia,['-'],[]
