Lemma,Word_Type,Category,Primary_subcategory,Alt_split
Account Manager,s,style,advanced_anglicism,"['Kundenbetreuung', 'Kundenbetreuer~in~/~Kundenbetreuer', 'Kundenbetreuer~innen~ und ~Kundenbetreuer']"
across the board,i,style,advanced_anglicism,"['mit allen', 'für alle', 'mit allen Abteilungen', 'mit allen Teams', 'für alle Beteiligten']"
Art Director,s,style,advanced_anglicism,"['Werbegestaltung', 'Werbegestalter~in~/~Werbegestalter', 'Werbegestalter~innen~ und ~Werbegestalter']"
auf dem Screen,i,style,advanced_anglicism,"['zu erledigen', 'auf dem Tagesplan', 'auf dem Schirm']"
beyond words,i,style,advanced_anglicism,['ohne Worte']
Case Study,s,style,advanced_anglicism,['Fallstudie']
Cash Flow,s,style,advanced_anglicism,['Kapitalfluss']
Content Manager,s,style,advanced_anglicism,"['Online-Redaktion', 'Internetredaktion', 'Online-Redakteur~in~/~Online-Redakteur', 'Online-Redakteur~innen~ und ~Online-Redakteur']"
Convenience Goods,s,style,advanced_anglicism,['Klein- und Bequemlichkeitsbedarf']
Cover your ass,i,style,advanced_anglicism,"['Halt dich bedeckt', ""Sicher' dich ab"", ""Sicher' dich rechtlich ab"", ""Beug' mal für den Fall der Fälle vor"", 'Geh auf Nummer Sicher']"
Customer Relationship Manager,s,style,advanced_anglicism,"['Kundenbetreuung', 'Kundenbetreuer~in~/~Kundenbetreuer', 'Kundenbetreuer~innen~ und ~Kundenbetreuer']"
Data Base,s,style,advanced_anglicism,['Datenbank']
due diligence,s,style,advanced_anglicism,"['Sorgfaltsprüfung', 'Risikoprüfung', 'Nachhaltigkeitsprüfung', 'Rechtsprüfung', 'Prüfung unter aller gebotenen Sorgfalt(...)']"
Field Operator,s,style,advanced_anglicism,"['Außendienst', 'Außendienstmitarbeiter~in~/~Außendienstmitarbeiter', 'Außendienstmitarbeiter~innen~ und ~Außendienstmitarbeiter']"
Financial Plan,s,style,advanced_anglicism,['Finanzplan']
hard sell,i,style,advanced_anglicism,['schwer zu verkaufen']
Human Resources,s,style,advanced_anglicism,['Personalverwaltung']
in a Nutshell,i,style,advanced_anglicism,"['kurz gesagt', 'kurz und bündig', 'in einem Wort', 'auf eine einfache Formel gebracht', 'auf den Punkt gebracht']"
in den Loop nehmen,i,style,advanced_anglicism,"['auf den Verteiler nehmen', 'einbinden', 'auf dem Laufenden halten']"
Industrial Design,s,style,advanced_anglicism,"['Industriedesign', 'industrielle Formgebung']"
Industrial Marketing,s,style,advanced_anglicism,['Industriemarketing']
Joint Venture,s,style,advanced_anglicism,['Gemeinschaftsunternehmen']
Key Account Manager,s,style,advanced_anglicism,"['Großkundenbetreuung', 'Großkundenbetreuer~in~/~Großkundenbetreuer', 'Großkundenbetreuer~innen~ und ~Großkundenbetreuer']"
Key learnings,i,style,advanced_anglicism,"['wichtigsten Erkenntnisse', 'Schlüsselerfahrungen', 'wichtigsten Lehren', 'Schlüsselqualifikationen']"
Life Cycle,s,style,advanced_anglicism,['Lebenszyklus']
Life Style,s,style,advanced_anglicism,['Lebensstil']
low-hanging Fruit,a+s,style,advanced_anglicism,"['schneller, einfacher Erfolg', 'unaufwändige Optimierung, die schnell Wirkung zeigt,', 'unaufwändige, aber umsatzträchtige Maßnahme', 'Aufgabe, die bei minimalem Aufwand maximalen Ertrag bringt,']"
low-hanging Fruits,a+s,style,advanced_anglicism,"['schnelle, einfache Erfolge', 'unaufwändige Optimierungen, die schnell Wirkung zeigen,', 'unaufwändige, aber umsatzträchtige Maßnahmen', 'Aufgaben, die bei minimalem Aufwand maximalen Ertrag bringen,']"
Major Subject,s,style,advanced_anglicism,['Hauptfach']
Media Monitoring,s,style,advanced_anglicism,['Medienbeobachtung']
Minimum Viable Product,s,style,advanced_anglicism,"['minimal funktionsfähiges Produkt', 'Startversion mit Grundfunktionen', 'erste Iteration der Dienstleistung mit minimalem Funktionsumfang', 'erste vermarktbare Fassung des Produkts mit Kernfunktionen', 'erste Marktversion, die Feedback zur Weiterentwicklung nutzt']"
on the beach,i,style,advanced_anglicism,"['im Strandurlaub', 'ohne Auftrag', 'zum Zusehen verurteilt']"
on the same Page,i,style,advanced_anglicism,"['einer Meinung', 'auf dem gleichen Kenntnisstand', 'einhelliger Meinung']"
Profit Center,s,style,advanced_anglicism,['Ertragszentrum']
Public Marketing,s,style,advanced_anglicism,['Öffentlichkeitsmarketing']
Public Relations,s,style,advanced_anglicism,['Öffentlichkeitsarbeit']
Reference Group,s,style,advanced_anglicism,['Referenzgruppe']
Sales Portfolio,s,style,advanced_anglicism,['Vetrieb']
Sales Promotion,s,style,advanced_anglicism,['Verkaufsförderung']
Save my ass,i,style,advanced_anglicism,"[""Halt' mir den Rücken frei""]"
SEO Manager,s,style,advanced_anglicism,"['Suchmaschinenoptimierung', 'Spezialist~in~/~Spezialist in der Suchmaschinenoptimierung', 'Spezialist~innen~ und ~Spezialisten in der Suchmaschinenoptimierung']"
Shopping Center,s,style,advanced_anglicism,['Einkaufszentrum']
Supply Chain Manager,s,style,advanced_anglicism,"['Lieferkette', 'Mitarbeiter~in~/~Mitarbeiter in der Lieferkette', 'Mitarbeiter~innen~ und ~Mitarbeiter in der Lieferkette']"
tight getaktet,i,style,advanced_anglicism,"['eng getaktet', 'beschäftigt', 'ausgebucht', 'habe einen engen Terminplan', 'hat einen Termin nach dem anderen']"
too barebone,i,style,advanced_anglicism,"['zu dünn', 'zu wenig schlüssig', 'zu unentwickelt', 'zu mager']"
Trade Mart,s,style,advanced_anglicism,['Großhandelszentrum']
Work Experience,s,style,advanced_anglicism,['Arbeitserfahrung']
belegte Erfolgsgeschichte,a+s,style,exaggerating,"['belegte Gelingen', 'Beweis für den positiven Verlauf', 'Geschichte der positiven Entwicklung', 'positive Unternehmungsentwicklung', 'Beispiele, die belegen, wie wir gesetzte Ziele erreichen(...)', 'Meilensteine, die dokumentieren, was wir (...) können']"
bestens etabliert,a,style,exaggerating,"['anerkannt', 'akzeptiert', 'verwurzelt', 'eingeführt', 'bekannt', 'bewährt', 'aufgebaut', 'einen Ruf (als ...) erworben haben', 'eingerichtet(...)', 'eine stabile Grundlage geschaffen(...)', 'sich einen Namen gemacht haben (für ...)']"
"Erst die Arbeit, dann das Vergnügen",i,style,exaggerating,['Zusammen und mit Freude an der Sache geht alles leichter und besser.']
Extrameile gehen,s+v,style,exaggerating,"['Spaß am Mit- und Weiterdenken haben', 'sich für Kundenzufriedenheit engagieren', 'über den eigenen Tellerrand blicken', 'Spaß haben, Kundschaft durch unerwartete und kreative Lösungen zu begeistern']"
