Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
verzwergeln,v,unconscious_bias,advanced_ability,"['verkleinern', 'verkümmern', 'vermindern', 'klein bleiben(...)', 'klein (wirken, bleiben, erscheinen) lassen(...)']",[],"['verkleinern', 'verkümmern', 'vermindern', 'klein bleiben(...)', 'klein (wirken, bleiben, erscheinen) lassen(...)']"
verzwergen,v,unconscious_bias,advanced_ability,"['verkleinern', 'verkümmern', 'vermindern', 'klein bleiben(...)', 'klein (wirken, bleiben, erscheinen) lassen(...)']",[],"['verkleinern', 'verkümmern', 'vermindern', 'klein bleiben(...)', 'klein (wirken, bleiben, erscheinen) lassen(...)']"
zwei linke Hände haben,|a|s|v,unconscious_bias,advanced_ability,['sich ungeschickt anstellen(...)'],[],['sich ungeschickt anstellen(...)']
Bist du behindert?,||=a,unconscious_bias,advanced_ability,"['Hast du Erfahrung mit dem Thema Behinderungen?', 'Hast du eine Einstufung?', 'Was machst du denn da?(...)', ""Verstehst du's nicht?(...)"", 'Was soll das denn?(...)']",[],"['Hast du Erfahrung mit dem Thema Behinderungen?', 'Hast du eine Einstufung?', 'Was machst du denn da?(...)', ""Verstehst du's nicht?(...)"", 'Was soll das denn?(...)']"
beeinträchtigt,a,unconscious_bias,advanced_ability,"['als behindert eingestuft', 'in der Teilhabe durch Barrieren behindert', 'als schwerbehindert eingestuft --- Deutschland', 'als invalid eingestuft --- Schweiz', '--- nicht für Menschen mit Behinderungen']",['--- nicht für Menschen mit Behinderungen'],"['--- nicht für Menschen mit Behinderungen', 'als behindert eingestuft', 'in der Teilhabe durch Barrieren behindert', 'als schwerbehindert eingestuft --- Deutschland', 'als invalid eingestuft --- Schweiz']"
behindert,a,unconscious_bias,advanced_ability,['mit Behinderung'],[],['mit Behinderung']
behindert sein,a|v,unconscious_bias,advanced_ability,['eine Behinderung haben'],[],['eine Behinderung haben']
behinderte Menschen,=a|s,unconscious_bias,advanced_ability,"['Menschen mit Behinderungen(...)', 'Menschen, die in ihrer Teilhabe durch Barrieren behindert werden(...)', 'Personen mit Behindertenausweis(...)', 'Personen mit Behindertenpass --- Österreich(...)', 'Personen mit Schwerbehindertenausweis --- Deutschland(...)']",[],"['Menschen mit Behinderungen(...)', 'Menschen, die in ihrer Teilhabe durch Barrieren behindert werden(...)', 'Personen mit Behindertenausweis(...)', 'Personen mit Behindertenpass --- Österreich(...)', 'Personen mit Schwerbehindertenausweis --- Deutschland(...)']"
behindertengerecht,a,unconscious_bias,advanced_ability,"['barrierefrei', 'für alle zugänglich']",[],"['barrierefrei', 'für alle zugänglich']"
behinderter Mensch,=a|s,unconscious_bias,advanced_ability,"['Mensch mit Behinderungen(...)', 'Mensch, der in seiner Teilhabe durch Barrieren behindert wird(...)', 'jemand mit Behindertenausweis(...)', 'Person mit Behindertenpass --- Österreich(...)', 'Person mit Schwerbehindertenausweis --- Deutschland(...)', 'Person mit IV-Ausweis --- Schweiz(...)']",[],"['Mensch mit Behinderungen(...)', 'Mensch, der in seiner Teilhabe durch Barrieren behindert wird(...)', 'jemand mit Behindertenausweis(...)', 'Person mit Behindertenpass --- Österreich(...)', 'Person mit Schwerbehindertenausweis --- Deutschland(...)', 'Person mit IV-Ausweis --- Schweiz(...)']"
Behinderung ist normal,s|v|a,unconscious_bias,advanced_ability,['-'],['-'],['-']
Behinderung meistern,s|v,unconscious_bias,advanced_ability,"['Leben mit Behinderung organisieren', 'Barrieren meistern', 'Barrieren, die an der Teilhabe hindern, meistern', 'mit Behinderung leben', '--- nur erwähnen, wenn relevant']","['--- nur erwähnen, wenn relevant']","['--- nur erwähnen, wenn relevant', 'Leben mit Behinderung organisieren', 'Barrieren meistern', 'Barrieren, die an der Teilhabe hindern, meistern', 'mit Behinderung leben']"
meistern Behinderung,v|s,unconscious_bias,advanced_ability,"['Leben mit Behinderung organisieren', 'Barrieren meistern', 'Barrieren, die an der Teilhabe hindern, meistern', 'mit Behinderung leben', '--- nur erwähnen, wenn relevant']","['--- nur erwähnen, wenn relevant']","['--- nur erwähnen, wenn relevant', 'Leben mit Behinderung organisieren', 'Barrieren meistern', 'Barrieren, die an der Teilhabe hindern, meistern', 'mit Behinderung leben']"
bucklige Verwandschaft,a|s,unconscious_bias,advanced_ability,"['ungeliebte Verwandschaft', 'schwierige Verwandte']",[],"['ungeliebte Verwandschaft', 'schwierige Verwandte']"
Leben mit Behinderung meistern,s||s|v,unconscious_bias,advanced_ability,"['Leben mit Behinderung organisieren', 'mit Barrieren leben', 'Barrieren meistern', 'Barrieren, die an der Teilhabe hindern, meistern', '--- nur erwähnen, wenn relevant']","['--- nur erwähnen, wenn relevant']","['--- nur erwähnen, wenn relevant', 'Leben mit Behinderung organisieren', 'mit Barrieren leben', 'Barrieren meistern', 'Barrieren, die an der Teilhabe hindern, meistern']"
meistern ein Leben mit Behinderung,v||s||s,unconscious_bias,advanced_ability,"['Leben mit Behinderung organisieren', 'mit Barrieren leben', 'Barrieren meistern', 'Barrieren, die an der Teilhabe hindern, meistern', '--- nur erwähnen, wenn relevant']","['--- nur erwähnen, wenn relevant']","['--- nur erwähnen, wenn relevant', 'Leben mit Behinderung organisieren', 'mit Barrieren leben', 'Barrieren meistern', 'Barrieren, die an der Teilhabe hindern, meistern']"
gehandicapiert,a,unconscious_bias,advanced_ability,"['als behindert eingestuft', 'in der Teilhabe durch Barrieren behindert', 'als schwerbehindert eingestuft --- Deutschland', 'als invalid eingestuft --- Schweiz', '--- nicht für Mensch mit Behinderungen']",['--- nicht für Mensch mit Behinderungen'],"['--- nicht für Mensch mit Behinderungen', 'als behindert eingestuft', 'in der Teilhabe durch Barrieren behindert', 'als schwerbehindert eingestuft --- Deutschland', 'als invalid eingestuft --- Schweiz']"
gehandicapt,a,unconscious_bias,advanced_ability,"['als behindert eingestuft', 'in der Teilhabe durch Barrieren behindert', 'als schwerbehindert eingestuft --- Deutschland', 'als invalid eingestuft --- Schweiz', '--- nicht für Mensch mit Behinderungen']",['--- nicht für Mensch mit Behinderungen'],"['--- nicht für Mensch mit Behinderungen', 'als behindert eingestuft', 'in der Teilhabe durch Barrieren behindert', 'als schwerbehindert eingestuft --- Deutschland', 'als invalid eingestuft --- Schweiz']"
geschädigt,a,unconscious_bias,advanced_ability,"['lebt mit Behinderungen', 'wird behindert', 'hat eine Behinderung', 'ist von Behinderungen betroffen', '--- nicht auf Menschen beziehen']",['--- nicht auf Menschen beziehen'],"['--- nicht auf Menschen beziehen', 'lebt mit Behinderungen', 'wird behindert', 'hat eine Behinderung', 'ist von Behinderungen betroffen']"
handicapiert,a,unconscious_bias,advanced_ability,"['als behindert eingestuft', 'in der Teilhabe durch Barrieren behindert', 'als schwerbehindert eingestuft --- Deutschland', 'als invalid eingestuft --- Schweiz', '--- nicht für Mensch mit Behinderungen']",['--- nicht für Mensch mit Behinderungen'],"['--- nicht für Mensch mit Behinderungen', 'als behindert eingestuft', 'in der Teilhabe durch Barrieren behindert', 'als schwerbehindert eingestuft --- Deutschland', 'als invalid eingestuft --- Schweiz']"
haben besondere Bedürfnisse,v|a|s,unconscious_bias,advanced_ability,"['hat eine Behinderung', '--- nur erwähnen, wenn relevant']","['--- nur erwähnen, wenn relevant']","['--- nur erwähnen, wenn relevant', 'hat eine Behinderung']"
besondere Bedürfnisse haben,a|s|v,unconscious_bias,advanced_ability,"['hat eine Behinderung', '--- nur erwähnen, wenn relevant']","['--- nur erwähnen, wenn relevant']","['--- nur erwähnen, wenn relevant', 'hat eine Behinderung']"
Integration,s,unconscious_bias,advanced_ability,"['Teilhabe', 'Zugang zu Arbeit und Bildung', 'Schritt zur Chancengerechtigkeit', 'Inklusion', 'Engagement für Inklusion']",[],"['Teilhabe', 'Zugang zu Arbeit und Bildung', 'Schritt zur Chancengerechtigkeit', 'Inklusion', 'Engagement für Inklusion']"
invalid,a,unconscious_bias,advanced_ability,"['lebt mit Behinderungen', 'wird behindert', 'hat eine Behinderung', 'ist von Behinderungen betroffen', 'als behindert eingestuft', '--- nicht auf Menschen beziehen']",['--- nicht auf Menschen beziehen'],"['--- nicht auf Menschen beziehen', 'lebt mit Behinderungen', 'wird behindert', 'hat eine Behinderung', 'ist von Behinderungen betroffen', 'als behindert eingestuft']"
