infinitiv,present_ich,present_du,present_pronoun,past_tense_ich,past_participle,conjunctive_ich,imperativ_singular,imperativ_plural,helping_verb,infinitiv_zu
lieben,liebe,liebst,liebt,liebte,geliebt,liebte,liebe,liebt,haben,zu lieben
klieben,kliebe,kliebst,kliebt,klob,gekloben,klöbe,kliebe,kliebt,haben,zu klieben
belfern,belfere,belferst,belfert,belferte,gebelfert,belferte,belfere,belfert,haben,zu belfern
chatten,chatte,chattest,chattet,chattete,gechattet,chattete,chatte,chattet,haben,zu chatten
wissen,weiß,weißt,weiß,wusste,gewusst,wüsste,wisse,wisset,haben,zu wissen
schnabulieren,schnabuliere,schnabulierst,schnabuliert,schnabulierte,schnabuliert,schnabulierte,schnabulier,schnabuliert,haben,zu schnabulieren
brechen,breche,brichst,bricht,brach,gebrochen,bräche,brich,brecht,haben,zu brechen
abbrechen,breche ab,brichst ab,bricht ab,brach ab,abgebrochen,bräche ab,brich ab,brecht ab,haben,abzubrechen
anbrechen,breche an,brichst an,bricht an,brach an,angebrochen,bräche an,brich an,brecht an,haben,anzubrechen
aufbrechen,breche auf,brichst auf,bricht auf,brach auf,aufgebrochen,bräche auf,brich auf,brecht auf,sein,aufzubrechen
ausbrechen,breche aus,brichst aus,bricht aus,brach aus,ausgebrochen,bräche aus,brich aus,brecht aus,haben,auszubrechen
einbrechen,breche ein,brichst ein,bricht ein,brach ein,eingebrochen,bräche ein,brich ein,brecht ein,sein,einzubrechen
verbrechen,verbreche,verbrichst,verbricht,verbrach,verbrochen,verbräche,verbrich,verbrecht,haben,zu verbrechen
zerbrechen,zerbreche,zerbrichst,zerbricht,zerbrach,zerbrochen,zerbräche,zerbrich,zerbrecht,haben,zu zerbrechen
büffeln,büffele,büffelst,büffelt,büffelte,gebüffelt,büffelte,büffele,büffelt,haben,zu büffeln
oktroyieren,oktroyiere,oktroyierst,oktroyiert,oktroyierte,oktroyiert,oktroyierte,oktroyier,oktroyiert,haben,zu oktroyieren
winken,winke,winkst,winkt,winkte,gewinkt,winkte,winke,winkt,haben,zu winken
machen,mache,machst,macht,machte,gemacht,machte,mache,macht,haben,zu machen
schmeißen,schmeiße,schmeißt,schmeißt,schmiss,geschmissen,schmisse,schmeiß,schmeißt,haben,zu schmeißen
besinnen,besinne,besinnst,besinnt,besann,besonnen,besänne,besinn,besinnt,haben,zu besinnen
untersuchen,untersuche,untersuchst,untersucht,untersuchte,untersucht,untersuchte,untersuche,untersucht,haben,zu untersuchen
kaufen,kaufe,kaufst,kauft,kaufte,gekauft,kaufte,kauf,kauft,haben,zu kaufen
wohnen,wohne,wohnst,wohnt,wohnte,gewohnt,wohnte,wohne,wohnt,haben,zu wohnen
sehen,sehe,siehst,sieht,sah,gesehen,sähe,siehe,seht,haben,zu sehen
aalen,aale,aalst,aalt,aalte,geaalt,aalte,aal,aalt,haben,zu aalen
essen,esse,isst,isst,aß,gegessen,äße,iss,esst,haben,zu essen
trinken,trinke,trinkst,trinkt,trank,getrunken,tränke,trink,trinkt,haben,zu trinken
gehen,gehe,gehst,geht,ging,gegangen,ginge,geh,geht,sein,zu gehen
wandeln,wandle,wandelst,wandelt,wandelte,gewandelt,wandelte,wandle,wandelt,sein,zu wandeln
lecken,lecke,leckst,leckt,leckte,geleckt,leckte,lecke,leckt,haben,zu lecken
ficken,ficke,fickst,fickt,fickte,gefickt,fickte,ficke,fickt,haben,zu ficken
intendieren,intendiere,intendierst,intendiert,intendierte,intendiert,intendierte,intendiere,intendiert,haben,zu intendieren
kochen,koche,kochst,kocht,kochte,gekocht,kochte,koch,kocht,haben,zu kochen
kiffen,kiffe,kiffst,kifft,kiffte,gekifft,kiffte,kiffe,kifft,haben,zu kiffen
sprechen,spreche,sprichst,spricht,sprach,gesprochen,spräche,sprich,sprecht,haben,zu sprechen
delegieren,delegiere,delegierst,delegiert,delegierte,delegiert,delegierte,delegiere,delegiert,haben,zu delegieren
akzeptieren,akzeptiere,akzeptierst,akzeptiert,akzeptierte,akzeptiert,akzeptierte,akzeptier,akzeptiert,haben,zu akzeptieren
stipulieren,stipuliere,stipulierst,stipuliert,stipulierte,stipuliert,stipulierte,stipuliere,stipuliert,haben,zu stipulieren
liegen,liege,liegst,liegt,lag,gelegen,läge,lieg,liegt,haben,zu liegen
ausscheiden,scheide aus,scheidest aus,scheidet aus,schied aus,ausgeschieden,schiede aus,scheide aus,scheidet aus,haben,auszuscheiden
zocken,zocke,zockst,zockt,zockte,gezockt,zockte,zocke,zockt,haben,zu zocken
googeln,googel,googelst,googelt,googelte,gegoogelt,googelte,googele,googelt,haben,zu googeln
abbaumen,baume ab,baumst ab,baumt ab,baumte ab,abgebaumt,baumte ab,baum ab,baumt ab,haben,abzubaumen
abschmieren,schmiere ab,schmierst ab,schmiert ab,schmierte ab,abgeschmiert,schmierte ab,schmier ab,schmiert ab,sein,abzuschmieren
