EmptyWords-German,subcategory,Lemma,is_active,Wordtype,Forms,Alternative_Singular,Alternative_Plural,Lemma_spacy,Alternative_Singular_split,Alternative_Plural_split
Arbeitskraft,vague_ambiguous,,1,,(aft|äfte),Mitarbeiterin : Mitarbeiter | Mitarbeiter:in | Personal | menschliche Kraft zu geistiger/körperlicher Arbeit,Angestellte | Mitarbeitende | Mitarbeiterinnen : Mitarbeiter | Mitarbeiter:innen | Mitarbeiterinnen und Mitarbeiter | Personal,Arbeitskraft,"['Mitarbeiterin : Mitarbeiter', 'Mitarbeiter:in', 'Personal', 'menschliche Kraft zu geistiger/körperlicher Arbeit']","['Angestellte', 'Mitarbeitende', 'Mitarbeiterinnen : Mitarbeiter', 'Mitarbeiter:innen', 'Mitarbeiterinnen und Mitarbeiter', 'Personal']"
Familienvater,vague_ambiguous,Familienvater,1,s,(ater|äter)?,"Vater | Elternteil | (primäre) Bezugsperson | Person, die die Elternrolle hat","Eltern | Väter | Elternteile | (primäre) Bezugspersonen | Personen, die die Elternrolle haben",Familienvater,"['Vater', 'Elternteil', '(primäre) Bezugsperson', 'Person, die die Elternrolle hat']","['Eltern', 'Väter', 'Elternteile', '(primäre) Bezugspersonen', 'Personen, die die Elternrolle haben']"
Flexibilität,vague_ambiguous,,1,s,,Anpassungsfähigkeit | Aufgeschlossenheit gegenüber Wandel | Bereitschaft für Veränderung | Mobilität | Fähigkeit sich schnell auf Neues umzustellen,Anpassungsfähigkeit | Aufgeschlossenheit gegenüber Wandel | Bereitschaft für Veränderung | Mobilität | Fähigkeit sich schnell auf Neues umzustellen,Flexibilität,"['Anpassungsfähigkeit', 'Aufgeschlossenheit gegenüber Wandel', 'Bereitschaft für Veränderung', 'Mobilität', 'Fähigkeit sich schnell auf Neues umzustellen']","['Anpassungsfähigkeit', 'Aufgeschlossenheit gegenüber Wandel', 'Bereitschaft für Veränderung', 'Mobilität', 'Fähigkeit sich schnell auf Neues umzustellen']"
flexibel,vague_ambiguous,,1,a,,anpassungsfähig | bei Entscheidungen wendig | pragmatisch | offen | beweglich | agil | variabel | mobil | durch nutzende Personen definiert  ,anpassungsfähig | bei Entscheidungen wendig | pragmatisch | offen | beweglich | agil | variabel | mobil | durch nutzende Personen definiert  ,flexibel,"['anpassungsfähig', 'bei Entscheidungen wendig', 'pragmatisch', 'offen', 'beweglich', 'agil', 'variabel', 'mobil', 'durch nutzende Personen definiert  ']","['anpassungsfähig', 'bei Entscheidungen wendig', 'pragmatisch', 'offen', 'beweglich', 'agil', 'variabel', 'mobil', 'durch nutzende Personen definiert  ']"
flexibl,vague_ambiguous,flexibel,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,anpassungsfähig | bei Entscheidungen wendig | pragmatisch | offen | beweglich | agil | variabel | mobil | durch nutzende Personen definiert  ,anpassungsfähig | bei Entscheidungen wendig | pragmatisch | offen | beweglich | agil | variabel | mobil | durch nutzende Personen definiert  ,flexibl,"['anpassungsfähig', 'bei Entscheidungen wendig', 'pragmatisch', 'offen', 'beweglich', 'agil', 'variabel', 'mobil', 'durch nutzende Personen definiert  ']","['anpassungsfähig', 'bei Entscheidungen wendig', 'pragmatisch', 'offen', 'beweglich', 'agil', 'variabel', 'mobil', 'durch nutzende Personen definiert  ']"
global,vague_ambiguous,,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,in vielen Ländern Europas/Asiens/Afrikas/Nord- und Südamerikas | auf allen Kontinenten,in vielen Ländern Europas/Asiens/Afrikas/Nord- und Südamerikas | auf allen Kontinenten,global,"['in vielen Ländern Europas/Asiens/Afrikas/Nord- und Südamerikas', 'auf allen Kontinenten']","['in vielen Ländern Europas/Asiens/Afrikas/Nord- und Südamerikas', 'auf allen Kontinenten']"
hochwertig,vague_ambiguous,,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,von guter Qualität | selten | stabil | dauerhaft | robust | wertbeständig,von guter Qualität | selten | stabil | dauerhaft | robust | wertbeständig,hochwertig,"['von guter Qualität', 'selten', 'stabil', 'dauerhaft', 'robust', 'wertbeständig']","['von guter Qualität', 'selten', 'stabil', 'dauerhaft', 'robust', 'wertbeständig']"
Innovation,vague_ambiguous,,1,s,(en)?,Neugestaltung | Erfindung | technischer Fortschritt | Neuerung | Neuschöpfung | Neuentwicklung,Neugestaltungen | Erfindungen | technische Fortschritte | Neuerungen | Neuschöpfungen | Neuentwicklungen,Innovation,"['Neugestaltung', 'Erfindung', 'technischer Fortschritt', 'Neuerung', 'Neuschöpfung', 'Neuentwicklung']","['Neugestaltungen', 'Erfindungen', 'technische Fortschritte', 'Neuerungen', 'Neuschöpfungen', 'Neuentwicklungen']"
Innovationskraft,vague_ambiguous,,1,s,,"Erfindungsreichtum | Kreativität | Fähigkeit, Ideen in Lösungen umzusetzen | Umsetzungskraft",-,Innovationskraft,"['Erfindungsreichtum', 'Kreativität', 'Fähigkeit, Ideen in Lösungen umzusetzen', 'Umsetzungskraft']",['-']
innovativ,vague_ambiguous,,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,einfallsreich | neuartig | kreativ | schöpferisch | erfindungsreich | zukunftsweisend | bahnbrechend | ideenreich | fortschrittlich,einfallsreich | neuartig | kreativ | schöpferisch | erfindungsreich | zukunftsweisend | bahnbrechend | ideenreich | fortschrittlich,innovativ,"['einfallsreich', 'neuartig', 'kreativ', 'schöpferisch', 'erfindungsreich', 'zukunftsweisend', 'bahnbrechend', 'ideenreich', 'fortschrittlich']","['einfallsreich', 'neuartig', 'kreativ', 'schöpferisch', 'erfindungsreich', 'zukunftsweisend', 'bahnbrechend', 'ideenreich', 'fortschrittlich']"
