Lemma,Word_Type,Priority,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Congressman,s,,gendered,titles,"['Members of the House', 'Members of the House of Representatives', 'representatives', 'Senators', 'they', 'House of Representatives', 'the Senat', 'the House', 'Congress', 'Members of the House', 'Members of the House of Representatives', 'Senators', 'representatives']","['Members of the House', 'Members of the House of Representatives', 'Senators', 'representatives', 'House of Representatives', 'the Senat', 'the House', 'Congress']","['Members of the House', 'Members of the House of Representatives', 'representatives', 'Senators', 'they', 'House of Representatives', 'the Senat', 'the House', 'Congress', 'Members of the House', 'Members of the House of Representatives', 'Senators', 'representatives']"
Ninja,s,,gendered,male_stereotype,"['skilled person', 'very proficient person', 'curageous person', 'they', 'skilled people', 'very proficient people', 'curageous people']","['skilled people', 'very proficient people', 'curageous people']","['skilled person', 'very proficient person', 'curageous person', 'they', 'skilled people', 'very proficient people', 'curageous people']"
actress,s,,gendered,titles,"['actor', 'they', 'actors']",['actors'],"['actor', 'they', 'actors']"
administrator,s,1,gendered,titles,"['they', 'administration', 'administrative team', 'administrators']","['administrators', 'administrative team', 'administration']","['administration', 'they', 'administrative team', 'administrators']"
agent,s,1,gendered,titles,"['representative', 'they', 'agency', 'management', 'representation', 'agents']","['agents', 'agency', 'management', 'representation']","['agency', 'management', 'representation', 'representative', 'they', 'agents']"
analyst,s,1,gendered,titles,"['they', 'analysis', 'analysis team', 'analysts']","['analysts', 'analysis team', 'analysis']","['analysis', 'they', 'analysis team', 'analysts']"
anchorman,s,,gendered,titles,"['anchor', 'they', 'anchor']",['anchor'],"['anchor', 'they', 'anchor']"
anchorwoman,s,,gendered,titles,"['anchor', 'they', 'anchor']",['anchor'],"['anchor', 'they', 'anchor']"
architect,s,1,gendered,titles,"['they', 'architecture', 'architects']","['architects', 'architecture']","['architecture', 'they', 'architects']"
auditor,s,1,gendered,titles,"['they', 'audit', 'auditing', 'auditors']","['auditors', 'audit', 'auditing']","['audit', 'auditing', 'they', 'auditors']"
authoress,s,,gendered,titles,"['author', 'they', 'authors']",['authors'],"['author', 'they', 'authors']"
bachelorette,s,,gendered,titles,"['unmarried woman', 'person at the heart of a pre-wedding party', 'they']",[''],"['unmarried woman', 'person at the heart of a pre-wedding party', 'they']"
bachlorette,s,,gendered,titles,"['unmarried woman', 'person at the heart of a pre-wedding party', 'they']",[''],"['unmarried woman', 'person at the heart of a pre-wedding party', 'they']"
barmaid,s,,gendered,titles,"['bartender', 'mixologist', 'they', 'bar crew', 'bar staff', 'bartenders']","['bartenders', 'bar crew', 'bar staff']","['bartender', 'mixologist', 'they', 'bar crew', 'bar staff', 'bartenders']"
barman,s,,gendered,titles,"['bartender', 'mixologist', 'they', 'bar crew', 'bar staff', 'bartenders']","['bartenders', 'bar crew', 'bar staff']","['bartender', 'mixologist', 'they', 'bar crew', 'bar staff', 'bartenders']"
buddy,s,,gendered,male_stereotype,"['friend', 'you', 'they', 'friends', 'people']","['friends', 'people']","['friend', 'you', 'they', 'friends', 'people']"
businessman,s,,gendered,function,"['business person', 'they', 'business', 'business people']","['business people', 'business']","['business', 'business person', 'they', 'business people']"
cameraman,s,,gendered,titles,"['camera operator', 'videographer', 'cameraperson', 'camera woman', 'cinematographer', 'Director of Photography', 'DoP', 'they', 'camera', 'videography', 'cinematography', 'camera team', 'camera crew', 'camera staff', 'camera operators', 'cameramen', 'videographers', 'camera people', 'camera women', 'cinematographers', 'Directors of Photography', 'DoPs']","['camera operators', 'cameramen', 'videographers', 'camera people', 'camera women', 'cinematographers', 'Directors of Photography', 'DoPs', 'camera team', 'camera crew', 'camera staff', 'camera', 'videography', 'cinematography']","['camera', 'videography', 'cinematography', 'camera operator', 'videographer', 'cameraperson', 'camera woman', 'cinematographer', 'Director of Photography', 'DoP', 'they', 'camera team', 'camera crew', 'camera staff', 'camera operators', 'cameramen', 'videographers', 'camera people', 'camera women', 'cinematographers', 'Directors of Photography', 'DoPs']"
chairman,s,,gendered,function,"['chair', 'chairperson', 'they', 'chairs', 'chairpersons', 'chairpeople']","['chairs', 'chairpersons', 'chairpeople']","['chair', 'chairperson', 'they', 'chairs', 'chairpersons', 'chairpeople']"
comedienne,s,,gendered,titles,"['comedian', 'they', 'comedy', 'comedians']","['comedians', 'comedy']","['comedy', 'comedian', 'they', 'comedians']"
consultant,s,1,gendered,titles,"['they', 'consulting', 'consultancy', 'consultants']","['consultants', 'consulting', 'consultancy']","['consulting', 'consultancy', 'they', 'consultants']"
controller,s,1,gendered,titles,"['they', 'controlling', 'controllers']","['controllers', 'controlling']","['controlling', 'they', 'controllers']"
councilman,s,,gendered,function,"['councilperson', 'they', 'council', 'councilpersons', 'councilpeople']","['councilpersons', 'councilpeople', 'council']","['councilperson', 'they', 'council', 'councilpersons', 'councilpeople']"
crewman,s,,gendered,titles,"['crewperson', 'they', 'crew', 'crewpersons', 'crewpeople', 'crew members']","['crewpersons', 'crewpeople', 'crew members', 'crew']","['crewperson', 'they', 'crew', 'crewpersons', 'crewpeople', 'crew members']"
designer,s,1,gendered,titles,"['design creative', 'they', 'design', 'design team', 'designers', 'design creatives']","['designers', 'design creatives', 'design team', 'design']","['design', 'design creative', 'they', 'design team', 'designers', 'design creatives']"
developer,s,1,gendered,titles,"['development', 'development team', 'developers']","['developers', 'development team', 'development']","['development', 'development team', 'developers']"
director,s,1,gendered,leadership,"['they', 'directors', 'person who supports and motivates the team', 'someone who communicates expectations/a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals']",['directors'],"['they', 'person who supports and motivates the team', 'someone who communicates expectations/a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals', 'directors']"
dude,s,,gendered,function,"['friend', 'you', 'friends', 'people', 'you']","['friends', 'people', 'you']","['friend', 'you', 'friends', 'people', 'you']"
