Lemma,Word_Type,Category,Primary_subcategory
absorbed,a,inclusive,emotional_security
accessibility,s,inclusive,d_and_i
affectionate,a,inclusive,communal
ages,s,inclusive,d_and_i
agree,v,inclusive,communal
agreeable,a,inclusive,communal
alert,a,inclusive,emotional_security
ally,s,inclusive,d_and_i
amazed,a,inclusive,emotional_security
amplification,s,inclusive,d_and_i
amused,a,inclusive,emotional_security
animated,a,inclusive,emotional_security
appreciative,a,inclusive,emotional_security
ardent,a,inclusive,emotional_security
aroused,a,inclusive,emotional_security
astonished,a,inclusive,emotional_security
awed,a,inclusive,emotional_security
belief,s,inclusive,d_and_i
belong,v,inclusive,d_and_i
blissful,a,inclusive,emotional_security
calm,a,inclusive,emotional_security
care,s,inclusive,communal
centred,a,inclusive,emotional_security
cheer,v,inclusive,communal
cheerful,a,inclusive,communal
child,s,inclusive,communal
cis-gender,a,inclusive,d_and_i
cis-gendered,a,inclusive,d_and_i
cisgender,a,inclusive,d_and_i
cisgendered,a,inclusive,d_and_i
code-switching,s,inclusive,d_and_i
codeswitching,s,inclusive,d_and_i
collaborate,v,inclusive,communal
collaboration,s,inclusive,communal
collaborative,a,inclusive,communal
comfortable,a,inclusive,emotional_security
commit,v,inclusive,communal
communal,a,inclusive,communal
communicate,v,inclusive,communal
communication,s,inclusive,communal
communicative,a,inclusive,communal
community,s,inclusive,communal
compassion,s,inclusive,communal
compassionate,a,inclusive,communal
connect,v,inclusive,communal
connexion,s,inclusive,communal
considerate,a,inclusive,communal
content,a,inclusive,emotional_security
co-operate,v,inclusive,communal
cooperation,s,inclusive,communal
cooperative,a,inclusive,communal
create,v,inclusive,communal
creative,a,inclusive,communal
creativity,s,inclusive,communal
culture,s,inclusive,d_and_i
curious,a,inclusive,communal
dazzled,a,inclusive,emotional_security
delighted,a,inclusive,emotional_security
depend,v,inclusive,communal
dependability,s,inclusive,communal
dependable,a,inclusive,communal
discrimination,s,inclusive,d_and_i
discuss,v,inclusive,communal
discussion,s,inclusive,communal
diverse,a,inclusive,d_and_i
diversify,s,inclusive,d_and_i
diversity,s,inclusive,d_and_i
ecstatic,a,inclusive,emotional_security
elated,a,inclusive,emotional_security
emotion,s,inclusive,communal
emotional,a,inclusive,communal
empathetic,a,inclusive,communal
empathic,a,inclusive,communal
empathise,v,inclusive,communal
empathy,s,inclusive,communal
empowered,a,inclusive,emotional_security
enby,a,inclusive,d_and_i
enchanted,a,inclusive,emotional_security
encourage,v+a,inclusive,emotional_security
energetic,a,inclusive,emotional_security
engage,v,inclusive,communal
engaged,a,inclusive,emotional_security
engagement,s,inclusive,communal
engrossed,a,inclusive,emotional_security
enlivened,a,inclusive,emotional_security
enthralled,a,inclusive,emotional_security
enthuse,v,inclusive,communal
enthusiasm,s,inclusive,communal
enthusiast,s,inclusive,communal
enthusiastic,a,inclusive,communal
entranced,a,inclusive,emotional_security
equality,s,inclusive,d_and_i
equanimous,a,inclusive,emotional_security
equity,s,inclusive,d_and_i
excited,a,inclusive,emotional_security
exhilarated,a,inclusive,emotional_security
expectant,a,inclusive,emotional_security
exuberant,a,inclusive,emotional_security
fair,a,inclusive,d_and_i
faithful,a,inclusive,communal
fascinated,a,inclusive,emotional_security
feel,v,inclusive,communal
flatter,v,inclusive,communal
flattering,a,inclusive,communal
friendly,a,inclusive,d_and_i
fulfilled,a,inclusive,emotional_security
fulfilling,a,inclusive,d_and_i
gentle,a,inclusive,communal
giddy,a,inclusive,emotional_security
glad,a,inclusive,emotional_security
grateful,a,inclusive,emotional_security
grow,v,inclusive,communal
happy,a,inclusive,d_and_i
help,v,inclusive,communal
helpful,a,inclusive,communal
honest,a,inclusive,communal
honesty,s,inclusive,communal
hopeful,a,inclusive,emotional_security
identity,s,inclusive,d_and_i
impactful,a,inclusive,communal
inclusify,s,inclusive,d_and_i
inclusion,s,inclusive,d_and_i
inclusive,a,inclusive,d_and_i
initiative,s,inclusive,communal
inspired,a,inclusive,emotional_security
integrity,s,inclusive,d_and_i
inter-dependence,s,inclusive,communal
inter-dependent,a,inclusive,communal
inter-personal,a,inclusive,communal
interdependence,s,inclusive,communal
interdependent,a,inclusive,communal
interest,s,inclusive,communal
interested,a,inclusive,emotional_security
interpersonal,a,inclusive,communal
intersectionality,s,inclusive,d_and_i
intrigued,a,inclusive,emotional_security
invigorated,a,inclusive,emotional_security
involved,a,inclusive,emotional_security
job-sharing,s,inclusive,communal
jobsharing,s,inclusive,communal
joyful,a,inclusive,emotional_security
jubilant,a,inclusive,emotional_security
kind,a,inclusive,communal
kinship,s,inclusive,communal
learn,v,inclusive,communal
learner,s,inclusive,communal
lively,a,inclusive,emotional_security
loving,a,inclusive,emotional_security
loyal,a,inclusive,communal
loyalty,s,inclusive,communal
maintain,v,inclusive,communal
meaningful,a,inclusive,d_and_i
mediate,v,inclusive,communal
mediation,s,inclusive,communal
mellow,a,inclusive,emotional_security
mentoring,s,inclusive,communal
micro-aggression,s,inclusive,d_and_i
microaggression,s,inclusive,d_and_i
modest,a,inclusive,communal
modesty,s,inclusive,communal
moral,s,inclusive,communal
motivate,v,inclusive,communal
motivation,s,inclusive,communal
moved,a,inclusive,emotional_security
need,v,inclusive,communal
nurture,v,inclusive,communal
open,a,inclusive,emotional_security
optimistic,a,inclusive,emotional_security
participate,v,inclusive,communal
peaceful,a,inclusive,emotional_security
pleasant,a,inclusive,communal
please,v,inclusive,communal
pleased,a,inclusive,emotional_security
polite,a,inclusive,communal
precise,a,inclusive,communal
precision,s,inclusive,communal
proud,a,inclusive,emotional_security
quiet,a,inclusive,communal
radiant,a,inclusive,emotional_security
rapturous,a,inclusive,emotional_security
refreshed,a,inclusive,emotional_security
rejuvenated,a,inclusive,emotional_security
