Lemma,Word_Type,Category,Primary_subcategory,Alt_split
Barbie,s,openly_discriminating,racism,['-']
Beulah,s,openly_discriminating,racism,['-']
Bin-Laden,s,openly_discriminating,antimuslim,['-']
Binladen,s,openly_discriminating,antimuslim,['-']
Brownie,s,openly_discriminating,homophobia,['-']
Buckwheat,s,openly_discriminating,racism,['-']
Cochise,s,openly_discriminating,racism,['-']
Euro-weenies,s,openly_discriminating,xenophobia,['-']
Euroweenies,s,openly_discriminating,xenophobia,['-']
Jewbacca,s,openly_discriminating,antisemitism,['-']
Jewford,s,openly_discriminating,antisemitism,['-']
Jewgene,s,openly_discriminating,antisemitism,['-']
Jewop,s,openly_discriminating,antisemitism,['-']
Kikey,s,openly_discriminating,antimuslim,['-']
Melvin,s,openly_discriminating,offensive_language,['-']
PITA,s,openly_discriminating,offensive_language,['-']
Pansy,s,openly_discriminating,homophobia,['-']
Payaso,s,openly_discriminating,homophobia,['-']
Peter,s,openly_discriminating,offensive_language,['-']
SNAF,s,openly_discriminating,offensive_language,['-']
TUFU,s,openly_discriminating,offensive_language,['-']
afro-saxon,s,openly_discriminating,racism,['-']
afrosaxon,s,openly_discriminating,racism,['-']
ahole,s,openly_discriminating,offensive_language,['-']
arse,s,openly_discriminating,offensive_language,['-']
arsehole,s,openly_discriminating,offensive_language,['-']
arsewipe,s,openly_discriminating,offensive_language,['-']
ass,s,openly_discriminating,offensive_language,['-']
ass-can,s,openly_discriminating,offensive_language,['-']
ass-wipe,s,openly_discriminating,offensive_language,['-']
asscan,s,openly_discriminating,offensive_language,['-']
assclown,s,openly_discriminating,offensive_language,['-']
asshole,s,openly_discriminating,offensive_language,['-']
assholery,s,openly_discriminating,offensive_language,['-']
asslifter,s,openly_discriminating,antimuslim,['-']
asswipe,s,openly_discriminating,offensive_language,['-']
baboushka,s,openly_discriminating,xenophobia,['-']
bastard,s,openly_discriminating,offensive_language,['-']
battle-axe,s,openly_discriminating,sexism,['-']
battleaxe,s,openly_discriminating,sexism,['-']
bean-eater,s,openly_discriminating,xenophobia,['-']
bean-flicker,s,openly_discriminating,homophobia,['-']
beaneater,s,openly_discriminating,xenophobia,['-']
beaner,s,openly_discriminating,xenophobia,['-']
beanflicker,s,openly_discriminating,homophobia,['-']
beatch,s,openly_discriminating,offensive_language,['-']
beeyatch,s,openly_discriminating,offensive_language,['-']
bender,s,openly_discriminating,homophobia,['-']
bent,a,openly_discriminating,homophobia,['-']
bentshot,a,openly_discriminating,homophobia,['-']
beyotch,s,openly_discriminating,offensive_language,['-']
biatch,s,openly_discriminating,offensive_language,['-']
bimbo,s,openly_discriminating,sexism,['-']
bin-Laden,s,openly_discriminating,antimuslim,['-']
bin-laden,s,openly_discriminating,antimuslim,['-']
binch,s,openly_discriminating,offensive_language,['-']
binladen,s,openly_discriminating,antimuslim,['-']
biotch,s,openly_discriminating,offensive_language,['-']
bitch,s,openly_discriminating,sexism,['-']
boche,s,openly_discriminating,xenophobia,['-']
bogan,s,openly_discriminating,racism,['-']
bridezilla,s,openly_discriminating,offensive_language,['-']
buddhahead,s,openly_discriminating,racism,['-']
buffalo,s,openly_discriminating,offensive_language,['-']
buffoon,s,openly_discriminating,offensive_language,['-']
bufter,s,openly_discriminating,homophobia,['-']
bufty,s,openly_discriminating,homophobia,['-']
bugaboo,s,openly_discriminating,offensive_language,['-']
bugger,s,openly_discriminating,homophobia,['-']
bullshit,s,openly_discriminating,offensive_language,['-']
bum-boy,s,openly_discriminating,homophobia,['-']
bum-chum,s,openly_discriminating,homophobia,['-']
bum-driller,s,openly_discriminating,homophobia,['-']
bum-robber,s,openly_discriminating,homophobia,['-']
bumboy,s,openly_discriminating,homophobia,['-']
bumchum,s,openly_discriminating,homophobia,['-']
bumdriller,s,openly_discriminating,homophobia,['-']
bumhole-engineer,s,openly_discriminating,homophobia,['-']
bumholeengineer,s,openly_discriminating,homophobia,['-']
bumrobber,s,openly_discriminating,homophobia,['-']
butch,s,openly_discriminating,homophobia,['-']
butt-boy,s,openly_discriminating,homophobia,['-']
butt-fruit,s,openly_discriminating,homophobia,['-']
butt-head,s,openly_discriminating,offensive_language,['-']
butt-munch,s,openly_discriminating,offensive_language,['-']
butt-pilot,s,openly_discriminating,homophobia,['-']
butt-pirate,s,openly_discriminating,homophobia,['-']
butt-rider,s,openly_discriminating,homophobia,['-']
butt-rustler,s,openly_discriminating,homophobia,['-']
buttboy,s,openly_discriminating,homophobia,['-']
buttfruit,s,openly_discriminating,homophobia,['-']
butthead,s,openly_discriminating,offensive_language,['-']
buttmunch,s,openly_discriminating,offensive_language,['-']
buttpilot,s,openly_discriminating,homophobia,['-']
buttpirate,s,openly_discriminating,homophobia,['-']
buttrider,s,openly_discriminating,homophobia,['-']
buttrustler,s,openly_discriminating,homophobia,['-']
bøsser,s,openly_discriminating,homophobia,['-']
caphead,s,openly_discriminating,antisemitism,['-']
chi-chi-man,s,openly_discriminating,homophobia,['-']
chicano,s,openly_discriminating,xenophobia,['-']
chink,s,openly_discriminating,xenophobia,"['-', 'person of Asian descent', 'member of the Asian community']"
cholo,s,openly_discriminating,racism,['-']
chopperflop,s,openly_discriminating,xenophobia,['-']
chump,s,openly_discriminating,offensive_language,['-']
chuntaro,s,openly_discriminating,xenophobia,['-']
cocksucker,s,openly_discriminating,homophobia,['-']
coco,s,openly_discriminating,racism,['-']
coolie,s,openly_discriminating,xenophobia,['-']
coon,s,openly_discriminating,racism,['-']
cow,s,openly_discriminating,offensive_language,['-']
crafty-butcher,s,openly_discriminating,homophobia,['-']
craftybutcher,s,openly_discriminating,homophobia,['-']
crap,s,openly_discriminating,offensive_language,['-']
creep,s,openly_discriminating,offensive_language,['-']
crick-crick,s,openly_discriminating,xenophobia,['-']
crickcrick,s,openly_discriminating,xenophobia,['-']
crone,s,openly_discriminating,sexism,['-']
cunt,s,openly_discriminating,homophobia,['-']
cunt-boy,s,openly_discriminating,transphobia,['-']
cuntboy,s,openly_discriminating,transphobia,['-']
curley,s,openly_discriminating,antisemitism,['-']
curlie,s,openly_discriminating,antisemitism,['-']
daffodil,s,openly_discriminating,homophobia,['-']
daffy,s,openly_discriminating,homophobia,['-']
darkie,s,openly_discriminating,racism,['-']
dick,s,openly_discriminating,offensive_language,['-']
dickhead,s,openly_discriminating,offensive_language,['-']
ding-head,s,openly_discriminating,offensive_language,['-']
dinghead,s,openly_discriminating,offensive_language,['-']
dipstick,s,openly_discriminating,offensive_language,['-']
dirtwad,s,openly_discriminating,offensive_language,['-']
doughnut-muncher,s,openly_discriminating,homophobia,['-']
doughnut-puncher,s,openly_discriminating,homophobia,['-']
donutmuncher,s,openly_discriminating,homophobia,['-']
donutpuncher,s,openly_discriminating,homophobia,['-']
doosh,s,openly_discriminating,offensive_language,['-']
douche,s,openly_discriminating,offensive_language,['-']
doucher,s,openly_discriminating,offensive_language,['-']
douchey,s,openly_discriminating,offensive_language,['-']
doush,s,openly_discriminating,offensive_language,['-']
durge,s,openly_discriminating,offensive_language,['-']
dyke,s,openly_discriminating,homophobia,['-']
euroscum,s,openly_discriminating,xenophobia,['-']
eurotrash,s,openly_discriminating,xenophobia,['-']
fag,s,openly_discriminating,homophobia,['-']
faggot,s,openly_discriminating,homophobia,['-']
fairy,s,openly_discriminating,homophobia,['-']
fecker,s,openly_discriminating,offensive_language,['-']
femboy,s,openly_discriminating,transphobia,['-']
feminazi,s,openly_discriminating,sexism,['-']
finocchio,s,openly_discriminating,homophobia,['-']
flamer,s,openly_discriminating,homophobia,['-']
flat-face,s,openly_discriminating,xenophobia,['-']
flat-head,s,openly_discriminating,xenophobia,['-']
flatface,s,openly_discriminating,xenophobia,['-']
flathead,s,openly_discriminating,xenophobia,['-']
flit,s,openly_discriminating,homophobia,['-']
floozie,s,openly_discriminating,sexism,['-']
focker,s,openly_discriminating,offensive_language,['-']
fog-breather,s,openly_discriminating,xenophobia,['-']
fogbreather,s,openly_discriminating,xenophobia,['-']
freak,s,openly_discriminating,ableism,['-']
fruit-packer,s,openly_discriminating,homophobia,['-']
fruitpacker,s,openly_discriminating,homophobia,['-']
fuck,s,openly_discriminating,offensive_language,['-']
fucker,s,openly_discriminating,offensive_language,['-']
fuckhead,s,openly_discriminating,offensive_language,['-']
fuckin,a,openly_discriminating,offensive_language,['-']
fucking,a,openly_discriminating,offensive_language,['-']
fucko,s,openly_discriminating,offensive_language,['-']
fucksqueek,s,openly_discriminating,offensive_language,['-']
fucktard,s,openly_discriminating,ableism,['-']
fudge-packer,s,openly_discriminating,homophobia,['-']
fudgepacker,s,openly_discriminating,homophobia,['-']
futhermucker,s,openly_discriminating,offensive_language,['-']
gaysian,s,openly_discriminating,homophobia,['-']
