Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Sincerely,a,style,formality,"['Best regards', 'All the best', 'Thank you', 'Have a wonderful day', 'Let us know if you need anything']",[],"['Best regards', 'All the best', 'Thank you', 'Have a wonderful day', 'Let us know if you need anything']"
absolute,a,style,exaggerating,['-'],['-'],['-']
absolutely,adv,style,filler,['-'],['-'],['-']
actually,adv,style,filler,['-'],['-'],['-']
almost,adv,style,filler,['-'],['-'],['-']
basically,adv,style,filler,['-'],['-'],['-']
best,a,style,exaggerating,"['preferred', 'fitting', 'satisfying', 'quality', 'reliable', 'valuable', 'first-rate', 'magnificent']",[],"['preferred', 'fitting', 'satisfying', 'quality', 'reliable', 'valuable', 'first-rate', 'magnificent']"
brilliant,a,style,exaggerating,"['inspired', 'talented', 'inventive', 'astute', 'creative']",[],"['inspired', 'talented', 'inventive', 'astute', 'creative']"
clearly,adv,style,filler,['-'],['-'],['-']
compelling,a,style,exaggerating,"['persuasive', 'interesting', 'exciting', 'sound', 'reasonable', 'credible', 'effective', 'conclusive', 'urgent', 'crucial', 'vital']",[],"['persuasive', 'interesting', 'exciting', 'sound', 'reasonable', 'credible', 'effective', 'conclusive', 'urgent', 'crucial', 'vital']"
completely,adv,style,filler,['-'],['-'],['-']
delicious,a,style,exaggerating,"['appealing', 'tasty', 'charming', 'refreshing', 'stimulating', '-']",['-'],"['-', 'appealing', 'tasty', 'charming', 'refreshing', 'stimulating']"
dynamic,a,style,hollow,"['lively', 'energetic', 'spirited', 'enthusiastic', 'committed', 'vibrant', 'effective', 'productive', 'adaptable', ""--- don't use for people""]","[""--- don't use for people""]","[""--- don't use for people"", 'lively', 'energetic', 'spirited', 'enthusiastic', 'committed', 'vibrant', 'effective', 'productive', 'adaptable']"
even,adv,style,filler,['-'],['-'],['-']
exactly,adv,style,filler,['-'],['-'],['-']
excellent,a,style,exaggerating,"['remarkable', 'inspiring', 'very good', 'fine', 'exemplary', '-']",['-'],"['-', 'remarkable', 'inspiring', 'very good', 'fine', 'exemplary']"
exceptional,a,style,exaggerating,"['remarkable', 'inspiring', 'surprising', 'unusual', 'exemplary', '-']",['-'],"['-', 'remarkable', 'inspiring', 'surprising', 'unusual', 'exemplary']"
extra-ordinary,a,style,exaggerating,"['remarkable', 'inspiring', 'baffling', 'unusual', 'exemplary', '-']",['-'],"['-', 'remarkable', 'inspiring', 'baffling', 'unusual', 'exemplary']"
extraordinary,a,style,exaggerating,"['remarkable', 'inspiring', 'baffling', 'unusual', 'exemplary', '-']",['-'],"['-', 'remarkable', 'inspiring', 'baffling', 'unusual', 'exemplary']"
extreme,a,style,exaggerating,"['scute', 'major', 'substantial', 'severe', 'over-the-top', '-']",['-'],"['-', 'scute', 'major', 'substantial', 'severe', 'over-the-top']"
fairly,adv,style,filler,['-'],['-'],['-']
fantastic,a,style,exaggerating,"['remarkable', 'inspiring', 'amazing', 'riveting', 'stimulating', '-']",['-'],"['-', 'remarkable', 'inspiring', 'amazing', 'riveting', 'stimulating']"
first-class,a,style,exaggerating,"['premium', 'quality-focused', 'luxurious', 'stylish', 'business --- in transport', '--- use only in programming']",['--- use only in programming'],"['--- use only in programming', 'premium', 'quality-focused', 'luxurious', 'stylish', 'business --- in transport']"
firstclass,a,style,exaggerating,"['premium', 'quality-focused', 'luxurious', 'stylish', 'business --- in transport', '--- use only in programming']",['--- use only in programming'],"['--- use only in programming', 'premium', 'quality-focused', 'luxurious', 'stylish', 'business --- in transport']"
flexible,a,style,hollow,"['adaptable', 'strategically nimble', 'pragmatic', 'open', 'agile', 'variable', 'mobile', 'defined by its users', ""--- don't use for people""]","[""--- don't use for people""]","[""--- don't use for people"", 'adaptable', 'strategically nimble', 'pragmatic', 'open', 'agile', 'variable', 'mobile', 'defined by its users']"
generally,adv,style,filler,['-'],['-'],['-']
global,a,style,hollow,"['--- be specific to build trust', 'in (...) countries', '(...) offices across (...) continents']",['--- be specific to build trust'],"['--- be specific to build trust', 'in (...) countries', '(...) offices across (...) continents']"
good,a,style,hollow,"['admirable', 'acceptable', 'worthy', 'favourable', 'positive']",[],"['admirable', 'acceptable', 'worthy', 'favourable', 'positive']"
great,a,style,hollow,"['much appreciated', 'considerable', 'substantial', 'significant', 'nicely']",[],"['much appreciated', 'considerable', 'substantial', 'significant', 'nicely']"
highly,adv,style,filler,['-'],['-'],['-']
hopefully,adv,style,filler,['-'],['-'],['-']
imperative,a,style,exaggerating,"['critical', 'vital', 'essential']",[],"['critical', 'vital', 'essential']"
important,a,style,hollow,"['vital', 'urgent', 'essential', 'influential', 'substantial']",[],"['vital', 'urgent', 'essential', 'influential', 'substantial']"
impressive,a,style,exaggerating,['-'],['-'],['-']
innovative,a,style,hollow,"['imaginative', 'novel', 'creative', 'inventive', 'trend-setting', 'groundbreaking', 'inspired', 'forward-looking']",[],"['imaginative', 'novel', 'creative', 'inventive', 'trend-setting', 'groundbreaking', 'inspired', 'forward-looking']"
international,a,style,hollow,"['in ((number of)) countries', 'in ((specify countries))', 'with ((number of)) offices across ((specify countries or continents))', 'in ((rounded number of))+ countries and counting']",[],"['in ((number of)) countries', 'in ((specify countries))', 'with ((number of)) offices across ((specify countries or continents))', 'in ((rounded number of))+ countries and counting']"
irresistible,a,style,exaggerating,['-'],['-'],['-']
just,adv,style,filler,['-'],['-'],['-']
leverage,v,style,hollow,"['use', 'capitalise on']",[],"['use', 'capitalise on']"
literally,adv,style,filler,['-'],['-'],['-']
mandatory,a,style,exaggerating,"['necessary', 'legally required', 'compulsory', 'nonelective', 'required']",[],"['necessary', 'legally required', 'compulsory', 'nonelective', 'required']"
many,a,style,hollow,"['a multitude of', 'a host of', 'numerous', 'multiple', 'countless']",[],"['a multitude of', 'a host of', 'numerous', 'multiple', 'countless']"
market-leading,a,style,exaggerating,['market-influencing'],[],['market-influencing']
marketleading,a,style,exaggerating,['market-influencing'],[],['market-influencing']
maybe,adv,style,filler,['-'],['-'],['-']
normal,a,style,hollow,"['traditional', 'typical', 'common', 'routine', 'regular', 'conventional', 'customary', 'popular', 'reasonable', 'well-adjusted', 'rational', 'able to think clearly', 'able to use reason']",[],"['traditional', 'typical', 'common', 'routine', 'regular', 'conventional', 'customary', 'popular', 'reasonable', 'well-adjusted', 'rational', 'able to think clearly', 'able to use reason']"
now,adv,style,filler,['-'],['-'],['-']
okay,adv,style,filler,['-'],['-'],['-']
only,adv,style,filler,['-'],['-'],['-']
other,a,style,hollow,"['alternative', 'further', 'different']",[],"['alternative', 'further', 'different']"
outstanding,a,style,exaggerating,"['awesome', 'inspiring']",[],"['awesome', 'inspiring']"
passionate,a,style,hollow,"['enthusiastic', 'invested in', 'committed to', 'fascinated with', 'keenly interested in']",[],"['enthusiastic', 'invested in', 'committed to', 'fascinated with', 'keenly interested in']"
perfect,a,style,exaggerating,['-'],['-'],['-']
perhaps,adv,style,filler,['-'],['-'],['-']
