Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Sincerely,a,style,advanced_formality,"['Best regards', 'All the best', 'Thank you', 'Have a wonderful day', 'Let us know if you need anything']",[],"['Best regards', 'All the best', 'Thank you', 'Have a wonderful day', 'Let us know if you need anything']"
absolute,a,style,exaggerating,['-'],['-'],['-']
absolutely,adv,style,advanced_filler,['-'],['-'],['-']
actually,adv,style,advanced_filler,['-'],['-'],['-']
almost,adv,style,advanced_filler,['-'],['-'],['-']
basically,adv,style,advanced_filler,['-'],['-'],['-']
best,a,style,exaggerating,"['preferred', 'fitting', 'satisfying', 'quality', 'reliable', 'valuable', 'first-rate', 'magnificent']",[],"['preferred', 'fitting', 'satisfying', 'quality', 'reliable', 'valuable', 'first-rate', 'magnificent']"
brilliant,a,style,exaggerating,"['inspired', 'talented', 'inventive', 'astute', 'creative']",[],"['inspired', 'talented', 'inventive', 'astute', 'creative']"
clearly,adv,style,advanced_filler,['-'],['-'],['-']
compelling,a,style,exaggerating,"['persuasive', 'interesting', 'exciting', 'sound', 'reasonable', 'credible', 'effective', 'conclusive', 'urgent', 'crucial', 'vital']",[],"['persuasive', 'interesting', 'exciting', 'sound', 'reasonable', 'credible', 'effective', 'conclusive', 'urgent', 'crucial', 'vital']"
competitor,s,style,exaggerating,"['market participant', 'market participants']",['market participants'],"['market participant', 'market participants']"
completely,adv,style,advanced_filler,['-'],['-'],['-']
delicious,a,style,exaggerating,"['appealing', 'tasty', 'charming', 'refreshing', 'stimulating', '-']",['-'],"['-', 'appealing', 'tasty', 'charming', 'refreshing', 'stimulating']"
dynamic,a,style,advanced_hollow,"['lively', 'energetic', 'spirited', 'enthusiastic', 'committed', 'vibrant', 'effective', 'productive', 'adaptable', ""--- don't use for people""]","[""--- don't use for people""]","[""--- don't use for people"", 'lively', 'energetic', 'spirited', 'enthusiastic', 'committed', 'vibrant', 'effective', 'productive', 'adaptable']"
establishment,s,style,advanced_hollow,"['business', 'organization', 'place of business', 'start', 'founding', 'process of setting up', 'public institution', 'private institution', 'dominant group', 'those with influence and control', 'businesses', 'organizations', 'places of business', 'start', 'founding', 'processes of setting up', 'public institutions', 'private institutions', 'dominant groups', 'people with influence and control']","['businesses', 'organizations', 'places of business', 'start', 'founding', 'processes of setting up', 'public institutions', 'private institutions', 'dominant groups', 'people with influence and control']","['business', 'organization', 'place of business', 'start', 'founding', 'process of setting up', 'public institution', 'private institution', 'dominant group', 'those with influence and control', 'businesses', 'organizations', 'places of business', 'start', 'founding', 'processes of setting up', 'public institutions', 'private institutions', 'dominant groups', 'people with influence and control']"
even,adv,style,advanced_filler,['-'],['-'],['-']
exactly,adv,style,advanced_filler,['-'],['-'],['-']
excellence,s,style,exaggerating,['-'],['-'],['-']
excellent,a,style,exaggerating,"['remarkable', 'inspiring', 'very good', 'fine', 'exemplary', '-']",['-'],"['-', 'remarkable', 'inspiring', 'very good', 'fine', 'exemplary']"
exceptional,a,style,exaggerating,"['remarkable', 'inspiring', 'surprising', 'unusual', 'exemplary', '-']",['-'],"['-', 'remarkable', 'inspiring', 'surprising', 'unusual', 'exemplary']"
extra-ordinary,a,style,exaggerating,"['remarkable', 'inspiring', 'baffling', 'unusual', 'exemplary', '-']",['-'],"['-', 'remarkable', 'inspiring', 'baffling', 'unusual', 'exemplary']"
extraordinary,a,style,exaggerating,"['remarkable', 'inspiring', 'baffling', 'unusual', 'exemplary', '-']",['-'],"['-', 'remarkable', 'inspiring', 'baffling', 'unusual', 'exemplary']"
extreme,a,style,exaggerating,"['scute', 'major', 'substantial', 'severe', 'over-the-top', '-']",['-'],"['-', 'scute', 'major', 'substantial', 'severe', 'over-the-top']"
fairly,adv,style,advanced_filler,['-'],['-'],['-']
fantastic,a,style,exaggerating,"['remarkable', 'inspiring', 'amazing', 'riveting', 'stimulating', '-']",['-'],"['-', 'remarkable', 'inspiring', 'amazing', 'riveting', 'stimulating']"
first-class,a,style,exaggerating,"['premium', 'quality-focused', 'luxurious', 'stylish', 'business --- in transportation', '--- use only in programming']",['--- use only in programming'],"['--- use only in programming', 'premium', 'quality-focused', 'luxurious', 'stylish', 'business --- in transportation']"
first-mover,s,style,exaggerating,"['the first to market a product', 'the first to offer a service', 'the first to seize a market opportunity', 'those first to market a product', 'those first to offer a service', 'those first to seize a market opportunity']","['those first to market a product', 'those first to offer a service', 'those first to seize a market opportunity']","['the first to market a product', 'the first to offer a service', 'the first to seize a market opportunity', 'those first to market a product', 'those first to offer a service', 'those first to seize a market opportunity']"
