Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Cervix-haver,s,unconscious_bias,gender_identity,['person with a cervix'],['people with a cervix'],"['person with a cervix', 'people with a cervix']"
Cervixhaver,s,unconscious_bias,gender_identity,['person with a cervix'],['people with a cervix'],"['person with a cervix', 'people with a cervix']"
Eskimo,s,unconscious_bias,racist_source,"['Inuit', 'Aleut', 'Aleut', 'Athabascan', 'Alutiiq', 'Cup’ik', 'Haida', 'Iñupiat', 'Tlingit', 'Yup’ik', 'Inuits', 'Aleuts', 'Aleuts', 'Athabascans', 'Alutiiq', 'Cup’ik', 'Haida', 'Iñupiat', 'Tlingit', 'Yup’ik']","['Inuits', 'Aleuts', 'Aleuts', 'Athabascans', 'Alutiiq', 'Cup’ik', 'Haida', 'Iñupiat', 'Tlingit', 'Yup’ik']","['Inuit', 'Aleut', 'Aleut', 'Athabascan', 'Alutiiq', 'Cup’ik', 'Haida', 'Iñupiat', 'Tlingit', 'Yup’ik', 'Inuits', 'Aleuts', 'Aleuts', 'Athabascans', 'Alutiiq', 'Cup’ik', 'Haida', 'Iñupiat', 'Tlingit', 'Yup’ik']"
achiever,s,unconscious_bias,agentic,"['person who sees things through', 'person with an entrepreneurial mindset', 'person with enthusiasm for the implementation (of ...)', 'person keen to realise a vision', 'person who likes getting things done']","['people who see things through', 'those with an entrepreneurial mindset', 'people with enthusiasm for the implementation (of ...)', 'those keen to realise a vision', 'people who like getting things done']","['person who sees things through', 'person with an entrepreneurial mindset', 'person with enthusiasm for the implementation (of ...)', 'person keen to realise a vision', 'person who likes getting things done', 'people who see things through', 'those with an entrepreneurial mindset', 'people with enthusiasm for the implementation (of ...)', 'those keen to realise a vision', 'people who like getting things done']"
addict,s,unconscious_bias,behavior,"['substance abuser', 'substance misuser', 'substance user', 'substance abusers', 'substance misusers', 'substance users', 'a person who has become physically/psychologically dependent on a substance', 'a person with an uncontrolled compulsion to continue engaging in an activity despite suffering negative personal or professional consequences']","['substance abusers', 'substance misusers', 'substance users', 'people who have become physically/psychologically dependent on a substance', 'people with an uncontrolled compulsion to continue engaging in an activity despite suffering negative personal or professional consequences']","['substance abuser', 'substance misuser', 'substance user', 'a person who has become physically/psychologically dependent on a substance', 'a person with an uncontrolled compulsion to continue engaging in an activity despite suffering negative personal or professional consequences', 'substance abusers', 'substance misusers', 'substance users', 'people who have become physically/psychologically dependent on a substance', 'people with an uncontrolled compulsion to continue engaging in an activity despite suffering negative personal or professional consequences']"
ambition,s,unconscious_bias,agentic,"['growth mindset', 'dedication', 'willingness to go after a dream', 'enthusiasm for working toward goals', 'growth mindset', 'dedication', 'willingness to go after a dream', 'enthusiasm for working toward goals']","['growth mindset', 'dedication', 'willingness to go after a dream', 'enthusiasm for working toward goals']","['growth mindset', 'dedication', 'willingness to go after a dream', 'enthusiasm for working toward goals', 'growth mindset', 'dedication', 'willingness to go after a dream', 'enthusiasm for working toward goals']"
analysis,s,unconscious_bias,agentic,"['investigation', 'study', 'test', 'testing', 'research', 'data', '| inquiry', 'close scrutiny', 'a systematic approach to', 'interpretation of data', 'study with scientific care', 'rational thinking', 'application of diagnostic methods', 'precise and meticulous exploration', 'investigations', 'studies', 'tests', 'testings', 'researches', 'data', '| inquiries', 'close scrutinies', 'systematic approaches to', 'interpretations of data', 'studies with scientific care', 'rational thinkings', 'applications of diagnostic methods', 'precise and meticulous explorations']","['investigations', 'studies', 'tests', 'testings', 'researches', 'data', '| inquiries', 'close scrutinies', 'systematic approaches to', 'interpretations of data', 'studies with scientific care', 'rational thinkings', 'applications of diagnostic methods', 'precise and meticulous explorations']","['investigation', 'study', 'test', 'testing', 'research', 'data', '| inquiry', 'close scrutiny', 'a systematic approach to', 'interpretation of data', 'study with scientific care', 'rational thinking', 'application of diagnostic methods', 'precise and meticulous exploration', 'investigations', 'studies', 'tests', 'testings', 'researches', 'data', '| inquiries', 'close scrutinies', 'systematic approaches to', 'interpretations of data', 'studies with scientific care', 'rational thinkings', 'applications of diagnostic methods', 'precise and meticulous explorations']"
athlete,s,unconscious_bias,agentic,"['sportsperson', 'enthusiast', 'sportspeople', 'enthusiasts', 'someone who pursues goals', 'energetic person', 'someone with a sporting spirit', 'person with a sense of fair play', 'someone who works toward goals with focus and discipline']","['sportspeople', 'enthusiasts', 'people who pursue goals', 'energetic people', 'everyone with a sporting spirit', 'those with a sense of fair play', 'people who work toward goals with focus and discipline']","['sportsperson', 'enthusiast', 'someone who pursues goals', 'energetic person', 'someone with a sporting spirit', 'person with a sense of fair play', 'someone who works toward goals with focus and discipline', 'sportspeople', 'enthusiasts', 'people who pursue goals', 'energetic people', 'everyone with a sporting spirit', 'those with a sense of fair play', 'people who work toward goals with focus and discipline']"
aunt,s,unconscious_bias,gender_identity,"['pibling', 'they', 'piblings', ""parent's sibling""]",['piblings'],"['pibling', 'they', ""parent's sibling"", 'piblings']"
authority,s,unconscious_bias,agentic,"['consultant', 'clout', 'administration', 'capacity to convince', 'competence', 'influence', 'knowledge', 'skills', 'oversight', 'decision-making power', 'administrations', 'governances', 'governments', 'jurisdictions', 'someone who has the knowledge and experience they need to see the big picture', 'someone with a high level of knowledge (skills) in']","['administrations', 'governances', 'governments', 'jurisdictions', 'competence', 'influence', 'knowledge', 'skills', 'oversight', 'decision-making power', 'people with high levels of knowledge (skills) in', 'consultants', 'people who have the knowledge and experience they need to see the big picture']","['competence', 'influence', 'knowledge', 'skills', 'oversight', 'decision-making power', 'consultant', 'clout', 'administration', 'capacity to convince', 'someone who has the knowledge and experience they need to see the big picture', 'someone with a high level of knowledge (skills) in', 'administrations', 'governances', 'governments', 'jurisdictions', 'people with high levels of knowledge (skills) in', 'consultants', 'people who have the knowledge and experience they need to see the big picture']"
