Lemma,Word_Type,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split,False_Positives
boldly go where no man have go before,adv|v|||s|v|v|a,gendered,advanced_hidden_image,advanced_hidden_image,['boldly go where no one has gone before'],[],['boldly go where no one has gone before'],
common man,~a|~s,gendered,advanced_hidden_image,advanced_hidden_image,"['average person', 'average people', 'common person', 'common people']",[],"['average person', 'average people', 'common person', 'common people']",
every man for himself,|~s||,gendered,advanced_hidden_image,advanced_hidden_image,"['everyone for themself', 'everyone for themselves']",['everyone for themselves'],"['everyone for themself', 'everyone for themselves']",
guerilla marketing,~s|~s,gendered,advanced_hidden_image,advanced_hidden_image,"['low-cost, non-traditional advertising strategy', 'parasitic marketing strategy', 'unusual promotional techniques', 'advertisement strategy that uses surprise and unconventional interactions']",[],"['low-cost, non-traditional advertising strategy', 'parasitic marketing strategy', 'unusual promotional techniques', 'advertisement strategy that uses surprise and unconventional interactions']",
man up,s|,gendered,advanced_hidden_image,advanced_hidden_image,"['deal with it', 'toughen up', 'be brave', 'pull up your socks', 'pull yourself together', 'get it together', 'get a grip', 'adopt a stereotypically masculine approach(...)', 'take stereotypically masculine action(...)']",[],"['deal with it', 'toughen up', 'be brave', 'pull up your socks', 'pull yourself together', 'get it together', 'get a grip', 'adopt a stereotypically masculine approach(...)', 'take stereotypically masculine action(...)']",
man-made,a,gendered,advanced_hidden_image,advanced_hidden_image,"['synthetic', 'machine-made', 'artificial']",[],"['synthetic', 'machine-made', 'artificial']",
man-sized,~a,gendered,advanced_hidden_image,advanced_hidden_image,"['very large', 'generous', 'calling for the strength traditionally attributed to a man(...)']",[],"['very large', 'generous', 'calling for the strength traditionally attributed to a man(...)']",
manned,~a,gendered,advanced_hidden_image,advanced_hidden_image,"['crewed', 'staffed']",[],"['crewed', 'staffed']",
manward,adv,gendered,advanced_hidden_image,advanced_hidden_image,"['directed toward humankind', 'relating to humanity', 'from a human point of view']",[],"['directed toward humankind', 'relating to humanity', 'from a human point of view']",
manwards,adv,gendered,advanced_hidden_image,advanced_hidden_image,"['of humankind', 'at humanity', 'toward humankind']",[],"['of humankind', 'at humanity', 'toward humankind']",
manwise,adv,gendered,advanced_hidden_image,advanced_hidden_image,"['in the manner of a human being', 'like a human being']",[],"['in the manner of a human being', 'like a human being']",
master at,~s|,gendered,advanced_hidden_image,advanced_hidden_image,"['skilled at', 'proficient in', 'person who has a creative way of(...)', 'someone with a talent for(...)', 'someone who has a high level of knowledge in(...)']",[],"['skilled at', 'proficient in', 'person who has a creative way of(...)', 'someone with a talent for(...)', 'someone who has a high level of knowledge in(...)']",
masters at,~s|,gendered,advanced_hidden_image,advanced_hidden_image,"['skilled at', 'proficient in']","['people who have a creative way of(...)', 'people with a talent for(...)', 'people who have a high level of knowledge in(...)']","['skilled at', 'proficient in']",
