Lemma,Word_Type,Category,Primary_subcategory,Alt_split
African queen,s,openly_discriminating,homophobia,['-']
Aunt Jemima,s,openly_discriminating,racism,['-']
Beastie Boy,s,openly_discriminating,antisemitism,['-']
Bin Laden,s,openly_discriminating,antimuslim,['-']
Diesel dyke,s,openly_discriminating,homophobia,['-']
Euro weenies,s,openly_discriminating,xenophobia,['-']
Gillette blade,s,openly_discriminating,homophobia,['-']
Hop Sing,s,openly_discriminating,racism,['-']
Jew Yorker,s,openly_discriminating,antisemitism,['-']
Jewish prince,a+s,openly_discriminating,antisemitism,['-']
Jewish princess,a+s,openly_discriminating,antisemitism,['-']
Salsa queen,s,openly_discriminating,homophobia,['-']
Suzy Homemaker,s,openly_discriminating,sexism,['-']
Uncle Tom,s,openly_discriminating,racism,['-']
afro saxon,s,openly_discriminating,racism,['-']
anal assassin,s,openly_discriminating,homophobia,['-']
anal astronaut,s,openly_discriminating,homophobia,['-']
arse bandit,s,openly_discriminating,homophobia,['-']
ass bandit,s,openly_discriminating,homophobia,['-']
ass can,s,openly_discriminating,offensive_language,['-']
ass clown,s,openly_discriminating,offensive_language,['-']
ass face,s,openly_discriminating,offensive_language,['-']
ass fuck,s,openly_discriminating,offensive_language,['-']
ass monkey,s,openly_discriminating,offensive_language,['-']
ass munch,s,openly_discriminating,offensive_language,['-']
ass wipe,s,openly_discriminating,offensive_language,['-']
baby mama,s,openly_discriminating,sexism,['-']
bad egg,s,openly_discriminating,offensive_language,['-']
bag of shit,s,openly_discriminating,offensive_language,['-']
bat fastard,s,openly_discriminating,offensive_language,['-']
bathroom predator,s,openly_discriminating,homophobia,['-']
battle axe,s,openly_discriminating,sexism,['-']
batty boy,s,openly_discriminating,homophobia,['-']
bean eater,s,openly_discriminating,xenophobia,['-']
bean flicker,s,openly_discriminating,homophobia,['-']
bean queen,s,openly_discriminating,homophobia,['-']
beep face,s,openly_discriminating,offensive_language,['-']
bin Laden,s,openly_discriminating,antimuslim,['-']
bin laden,s,openly_discriminating,antimuslim,['-']
bitch ass,s,openly_discriminating,offensive_language,['-']
boat niggers,s,openly_discriminating,racism,['-']
boat people,s,openly_discriminating,xenophobia,['-']
bone smuggler,s,openly_discriminating,homophobia,['-']
booty buffer,s,openly_discriminating,homophobia,['-']
border jumper,s,openly_discriminating,xenophobia,['-']
bottom feeder,s,openly_discriminating,offensive_language,['-']
brown paper bag test,s,openly_discriminating,racism,['-']
