Lemma,Word_Type,Category,Primary_subcategory,Alt_split
freak,s,openly_discriminating,ableism,['-']
fucktard,s,openly_discriminating,ableism,['-']
herp-derp,s,openly_discriminating,ableism,['-']
libtard,s,openly_discriminating,ableism,['-']
supercrip,s,openly_discriminating,ableism,['-']
tard,s,openly_discriminating,ableism,"['-', 'person with a learning disability(...)', 'person with learning disabilities(...)', 'oblivious(...)', 'ignorant(...)', 'lacking understanding(...)', 'reckless person(...)', 'uninformed(...)', 'silly(...)']"
window licker,~s|s,openly_discriminating,ableism,['-']
asslifter,s,openly_discriminating,antimuslim,['-']
Bin-Laden,s,openly_discriminating,antimuslim,['-']
bin-laden,s,openly_discriminating,antimuslim,['-']
bin-Laden,s,openly_discriminating,antimuslim,['-']
burkha bitch,|s,openly_discriminating,antimuslim,['-']
carpet kisser,~s|s,openly_discriminating,antimuslim,['-']
diaper head,~s|s,openly_discriminating,antimuslim,['-']
dune coon,s|s,openly_discriminating,antimuslim,['-']
goat fucker,~s|s,openly_discriminating,antimuslim,['-']
hajji,s,openly_discriminating,antimuslim,['-']
Kikey,s,openly_discriminating,antimuslim,['-']
koranimal,s,openly_discriminating,antimuslim,['-']
muzzie,s,openly_discriminating,antimuslim,['-']
raghead,s,openly_discriminating,antimuslim,['-']
sand nigger,~s|s,openly_discriminating,antimuslim,['-']
towel-head,s,openly_discriminating,antimuslim,['-']
Beastie Boy,~s|s,openly_discriminating,antisemitism,['-']
caphead,s,openly_discriminating,antisemitism,['-']
curley,s,openly_discriminating,antisemitism,['-']
curlie,s,openly_discriminating,antisemitism,['-']
gig nose,~s|s,openly_discriminating,antisemitism,['-']
heeb,s,openly_discriminating,antisemitism,['-']
hymie,s,openly_discriminating,antisemitism,['-']
jew boy,~s|s,openly_discriminating,antisemitism,['-']
Jew Yorker,~s|s,openly_discriminating,antisemitism,['-']
jewbacca,s,openly_discriminating,antisemitism,['-']
jewbie,s,openly_discriminating,antisemitism,['-']
Jewford,s,openly_discriminating,antisemitism,['-']
jewgaboo,s,openly_discriminating,antisemitism,['-']
Jewgene,s,openly_discriminating,antisemitism,['-']
Jewish prince,a|s,openly_discriminating,antisemitism,['-']
Jewish princess,a|s,openly_discriminating,antisemitism,['-']
Jewop,s,openly_discriminating,antisemitism,['-']
kike,s,openly_discriminating,antisemitism,['-']
knife-nose,s,openly_discriminating,antisemitism,['-']
oven dodger,~s|s,openly_discriminating,antisemitism,['-']
shylock,s,openly_discriminating,antisemitism,['-']
yid,s,openly_discriminating,antisemitism,['-']
African queen,~s|s,openly_discriminating,homophobia,['-']
anal assassin,a|s,openly_discriminating,homophobia,['-']
anal astronaut,a|s,openly_discriminating,homophobia,['-']
arse bandit,~s|s,openly_discriminating,homophobia,['-']
ass bandit,~s|s,openly_discriminating,homophobia,['-']
bathroom predator,~s|s,openly_discriminating,homophobia,['-']
batty boy,a|s,openly_discriminating,homophobia,['-']
bean queen,~s|s,openly_discriminating,homophobia,['-']
bean-flicker,s,openly_discriminating,homophobia,['-']
bender,s,openly_discriminating,homophobia,['-']
bent,a,openly_discriminating,homophobia,['-']
bentshot,a,openly_discriminating,homophobia,['-']
bone smuggler,~s|s,openly_discriminating,homophobia,['-']
booty buffer,~s|s,openly_discriminating,homophobia,['-']
bøsser,s,openly_discriminating,homophobia,['-']
brown piper,a|s,openly_discriminating,homophobia,['-']
Brownie,s,openly_discriminating,homophobia,['-']
brownie king,~s|s,openly_discriminating,homophobia,['-']
brownie queen,~s|s,openly_discriminating,homophobia,['-']
bufter,s,openly_discriminating,homophobia,['-']
bufty,s,openly_discriminating,homophobia,['-']
bugger,s,openly_discriminating,homophobia,['-']
bum-boy,s,openly_discriminating,homophobia,['-']
bum-chum,s,openly_discriminating,homophobia,['-']
bum-driller,s,openly_discriminating,homophobia,['-']
bum-robber,s,openly_discriminating,homophobia,['-']
bumhole-engineer,s,openly_discriminating,homophobia,['-']
butch,s,openly_discriminating,homophobia,['-']
butt-boy,s,openly_discriminating,homophobia,['-']
butt-fruit,s,openly_discriminating,homophobia,['-']
butt-pilot,s,openly_discriminating,homophobia,['-']
butt-pirate,s,openly_discriminating,homophobia,['-']
butt-rider,s,openly_discriminating,homophobia,['-']
butt-rustler,s,openly_discriminating,homophobia,['-']
carpet mincher,~s|s,openly_discriminating,homophobia,['-']
chi-chi-man,s,openly_discriminating,homophobia,['-']
chicken queen,~s|s,openly_discriminating,homophobia,['-']
cockpipe cosmonaut,~s|s,openly_discriminating,homophobia,['-']
cockstruction worker,~s|s,openly_discriminating,homophobia,['-']
cocksucker,s,openly_discriminating,homophobia,['-']
crafty-butcher,s,openly_discriminating,homophobia,['-']
cunt,s,openly_discriminating,homophobia,['-']
daffodil,s,openly_discriminating,homophobia,['-']
daffy,s,openly_discriminating,homophobia,['-']
