Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Kind regards,~a|~s,style,advanced_formality,"['Cordially', 'Thank you for reading', 'Sending you the best', 'Take care', 'With appreciation']",[],"['Cordially', 'Thank you for reading', 'Sending you the best', 'Take care', 'With appreciation']"
Sincerely,~adv,style,advanced_formality,"['Best regards', 'All the best', 'Thank you', 'Have a wonderful day', 'Let us know if you need anything']",[],"['Best regards', 'All the best', 'Thank you', 'Have a wonderful day', 'Let us know if you need anything']"
sincerely yours,a|~s,style,advanced_formality,"['Best regards', 'All the best', 'Thank you', 'Have a wonderful day', 'Let us know if you need anything']",[],"['Best regards', 'All the best', 'Thank you', 'Have a wonderful day', 'Let us know if you need anything']"
able to,a|,style,advanced_hollow,"['in a position to', 'willing to', 'interested in', 'prepared to', 'ready to']",[],"['in a position to', 'willing to', 'interested in', 'prepared to', 'ready to']"
at the end of the day,||s|||s,style,advanced_hollow,"['when the results come in', 'in the end']",[],"['when the results come in', 'in the end']"
be on the same page,v|||a|~s,style,advanced_hollow,"['agree', 'are in agreement', 'understand each other', 'speak the same language']",[],"['agree', 'are in agreement', 'understand each other', 'speak the same language']"
be state of the art,v|~s|||~s,style,advanced_hollow,"['the highest point of technological achievement to date', 'the current highest level of development in the field']",[],"['the highest point of technological achievement to date', 'the current highest level of development in the field']"
core competency,~s|s,style,advanced_hollow,['what we do best'],[],['what we do best']
digital immigrant,a|s,style,advanced_hollow,"['technologically literate person', 'someone with technology literacy skills', 'someone who handles digital tools with ease', 'digitally skilled person', '--- spell out relevant skills', 'technologically literate people', 'those with technology literacy skills', 'people who handle digital tools with ease', 'digitally skilled people']","['technologically literate people', 'those with technology literacy skills', 'people who handle digital tools with ease', 'digitally skilled people', '--- spell out relevant skills']","['--- spell out relevant skills', 'technologically literate person', 'someone with technology literacy skills', 'someone who handles digital tools with ease', 'digitally skilled person', 'technologically literate people', 'those with technology literacy skills', 'people who handle digital tools with ease', 'digitally skilled people']"
drink the kool-aid,v||s,style,advanced_hollow,"['be misled', ""believe everything you're told""]",[],"['be misled', ""believe everything you're told""]"
dynamic,a,style,advanced_hollow,"['lively', 'energetic', 'spirited', 'enthusiastic', 'committed', 'vibrant', 'effective', 'productive', 'adaptable', ""--- don't use for people""]","[""--- don't use for people""]","[""--- don't use for people"", 'lively', 'energetic', 'spirited', 'enthusiastic', 'committed', 'vibrant', 'effective', 'productive', 'adaptable']"
Fine. Whatever.,~a|||,style,advanced_hollow,"[""I don't feel good about this. Can we talk about it?""]",[],"[""I don't feel good about this. Can we talk about it?""]"
flat hierarchy,~a|s,style,advanced_hollow,"['short chain of command', 'room for personal initiative', 'short chains of command', 'short lines of communication', 'responsible and self-organized ways of working(...)', 'opportunities for employees to help shape the company(...)', 'room for responsibility and freedom to organize their work at the operational level(...)']","['short chains of command', 'short lines of communication', 'responsible and self-organized ways of working(...)', 'opportunities for employees to help shape the company(...)', 'room for responsibility and freedom to organize their work at the operational level(...)']","['short chain of command', 'room for personal initiative', 'responsible and self-organized ways of working(...)', 'opportunities for employees to help shape the company(...)', 'room for responsibility and freedom to organize their work at the operational level(...)', 'short chains of command', 'short lines of communication']"
flat organization,~a|s,style,advanced_hollow,"['short chain of command', 'room for personal initiative', 'short chains of command', 'short lines of communication', 'responsible and self-organized ways of working(...)', 'opportunities for employees to help shape the company(...)', 'room for responsibility and freedom to organize their work at the operational level(...)']","['short chains of command', 'short lines of communication', 'responsible and self-organized ways of working(...)', 'opportunities for employees to help shape the company(...)', 'room for responsibility and freedom to organize their work at the operational level(...)']","['short chain of command', 'room for personal initiative', 'responsible and self-organized ways of working(...)', 'opportunities for employees to help shape the company(...)', 'room for responsibility and freedom to organize their work at the operational level(...)', 'short chains of command', 'short lines of communication']"
flexible,a,style,advanced_hollow,"['adaptable', 'strategically nimble', 'pragmatic', 'open', 'agile', 'variable', 'mobile', 'defined by its users', ""--- don't use for people""]","[""--- don't use for people""]","[""--- don't use for people"", 'adaptable', 'strategically nimble', 'pragmatic', 'open', 'agile', 'variable', 'mobile', 'defined by its users']"
for future reference,|a|~s,style,advanced_hollow,['What do you think about trying (...) instead?'],[],['What do you think about trying (...) instead?']
global,a,style,advanced_hollow,"['--- be specific to build trust', 'in (...) countries', '(...) offices across (...) continents']",['--- be specific to build trust'],"['--- be specific to build trust', 'in (...) countries', '(...) offices across (...) continents']"
go outside the box,v|a||~s,style,advanced_hollow,"['take a new approach', 'explore new business models', 'take a disruptive approach', 'jump from a maturing trend to an emerging trend(...)', 'rethink (a strategy)(...)', 'reinvent (a brand)(...)', 'redefine (a product) (...)']",[],"['take a new approach', 'explore new business models', 'take a disruptive approach', 'jump from a maturing trend to an emerging trend(...)', 'rethink (a strategy)(...)', 'reinvent (a brand)(...)', 'redefine (a product) (...)']"
going forward,~v|,style,advanced_hollow,"['from now on', 'in the future']",[],"['from now on', 'in the future']"
good,a,style,advanced_hollow,"['admirable', 'acceptable', 'worthy', 'favorable', 'positive']",[],"['admirable', 'acceptable', 'worthy', 'favorable', 'positive']"
great,a,style,advanced_hollow,"['much appreciated', 'considerable', 'substantial', 'significant', 'nicely']",[],"['much appreciated', 'considerable', 'substantial', 'significant', 'nicely']"
high quality,~a|s,style,advanced_hollow,"['adhering to rigorous standards(...)', 'using premium materials(...)', 'adhering to strict methods(...)', 'meeting exacting requirements(...)', 'dependable reliability(...)']","['adhering to rigorous standards(...)', 'using premium materials(...)', 'adhering to strict methods(...)', 'meeting exacting requirements(...)', 'dependable reliabilities(...)']","['adhering to rigorous standards(...)', 'using premium materials(...)', 'adhering to strict methods(...)', 'meeting exacting requirements(...)', 'dependable reliability(...)']"
highly motivated,a|~a,style,advanced_hollow,"['motivated', 'energetic', 'enterprising', 'spirited', 'happy to take the initiative(...)', 'willing to apply oneself(...)', 'keenly interested(...)']",[],"['motivated', 'energetic', 'enterprising', 'spirited', 'happy to take the initiative(...)', 'willing to apply oneself(...)', 'keenly interested(...)']"
I think we should,~s|v|~s|v,style,advanced_hollow,"[""Let's""]",[],"[""Let's""]"
important,a,style,advanced_hollow,"['vital', 'urgent', 'essential', 'influential', 'substantial']",[],"['vital', 'urgent', 'essential', 'influential', 'substantial']"
innovative,a,style,advanced_hollow,"['imaginative', 'novel', 'creative', 'inventive', 'trend-setting', 'groundbreaking', 'inspired', 'forward-looking']",[],"['imaginative', 'novel', 'creative', 'inventive', 'trend-setting', 'groundbreaking', 'inspired', 'forward-looking']"
international,a,style,advanced_hollow,"['in ((number of)) countries', 'in ((specify countries))', 'with ((number of)) offices across ((specify countries or continents))', 'in ((rounded number of))+ countries and counting']",[],"['in ((number of)) countries', 'in ((specify countries))', 'with ((number of)) offices across ((specify countries or continents))', 'in ((rounded number of))+ countries and counting']"
It’s not that complicated,~s|~v||a|~v,style,advanced_hollow,['Which part is confusing? I can help clarify'],[],['Which part is confusing? I can help clarify']
key learning,~s|s,style,advanced_hollow,"[""what we've learned"", 'findings']",[],"[""what we've learned"", 'findings']"
leading,~a,style,advanced_hollow,"['guiding', 'with the largest market share in (industry)(...)', 'with largest revenue share in the market(...)', 'with largest customer base in the segment(...)', 'who introduces the majority of technological advances in the market(...)']",[],"['guiding', 'with the largest market share in (industry)(...)', 'with largest revenue share in the market(...)', 'with largest customer base in the segment(...)', 'who introduces the majority of technological advances in the market(...)']"
leverage,v,style,advanced_hollow,"['use', 'capitalize on']",[],"['use', 'capitalize on']"
low-hanging fruit,~a|s,style,advanced_hollow,"['easy opportunities', 'easy pickings']",[],"['easy opportunities', 'easy pickings']"
Make sure the juice is worth the squeeze,v|adv||s|~v|a||~s,style,advanced_hollow,['Make sure this is worth the effort'],[],['Make sure this is worth the effort']
