Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
competitor,s,style,exaggerating,"['market participant', 'market participants']",['market participants'],"['market participant', 'market participants']"
excellence,s,style,exaggerating,['-'],['-'],['-']
first-mover,s,style,exaggerating,"['the first to market a product', 'the first to offer a service', 'the first to seize a market opportunity', 'those first to market a product', 'those first to offer a service', 'those first to seize a market opportunity']","['those first to market a product', 'those first to offer a service', 'those first to seize a market opportunity']","['the first to market a product', 'the first to offer a service', 'the first to seize a market opportunity', 'those first to market a product', 'those first to offer a service', 'those first to seize a market opportunity']"
front-runner,s,style,exaggerating,"['favorite', 'person who sets the pace', 'probable winner', '-', 'favorites', 'people who set the pace', 'probable winners']","['favorites', 'people who set the pace', 'probable winners', '-']","['-', 'favorite', 'person who sets the pace', 'probable winner', 'favorites', 'people who set the pace', 'probable winners']"
geek,s,style,exaggerating,"['techie', 'intellectual', 'bookworm', 'person devoted to academic pursuits', 'person with a high level of knowledge (skills) in', '-', 'techies', 'intellectuals', 'bookworms', 'people devoted to academic pursuits', 'people with a high level of knowledge (skills) in']","['techies', 'intellectuals', 'bookworms', 'people devoted to academic pursuits', 'people with a high level of knowledge (skills) in', '-']","['-', 'techie', 'intellectual', 'bookworm', 'person devoted to academic pursuits', 'person with a high level of knowledge (skills) in', 'techies', 'intellectuals', 'bookworms', 'people devoted to academic pursuits', 'people with a high level of knowledge (skills) in']"
go-getter,s,style,exaggerating,"['catalyst', 'motivated people', 'energetic and focused people', 'enterprising person(...)', 'person happy to see things through(...)', 'someone who continues despite difficulty(...)', 'person loyal to their cause(...)']","['motivated people', 'energetic and focused people', 'people happy to see things through(...)', 'individuals who continue despite difficulty(...)', 'people loyal to their cause(...)']","['catalyst', 'enterprising person(...)', 'person happy to see things through(...)', 'someone who continues despite difficulty(...)', 'person loyal to their cause(...)', 'motivated people', 'energetic and focused people']"
god,s,style,exaggerating,['-'],['-'],['-']
hacker,s,style,exaggerating,"['technophile', 'techie', 'person with a high level of coding skills', '-', 'technophiles', 'techies', 'people with a high level of coding skills']","['technophiles', 'techies', 'people with a high level of coding skills', '-']","['-', 'technophile', 'techie', 'person with a high level of coding skills', 'technophiles', 'techies', 'people with a high level of coding skills']"
hero,s,style,exaggerating,"['person of the hour', 'person making sacrifices for their team', 'role model', 'heroix', 'they', 'people of the hour', 'those making sacrifices for their team', 'role models', 'heroix']","['people of the hour', 'those making sacrifices for their team', 'role models', 'heroix']","['person of the hour', 'person making sacrifices for their team', 'role model', 'heroix', 'they', 'people of the hour', 'those making sacrifices for their team', 'role models', 'heroix']"
high-flyer,s,style,exaggerating,"['person who continues despite difficulties(...)', 'someone devoted to their purpose(...)', 'someone who sticks to their goal(...)', 'someone willing to see things through(...)']","['people who continue despite difficulties(...)', 'people devoted to their purpose(...)', 'people who stick to their goal(...)', 'people willing to see things through(...)']","['person who continues despite difficulties(...)', 'someone devoted to their purpose(...)', 'someone who sticks to their goal(...)', 'someone willing to see things through(...)']"
