Lemma,Word_Type,Category,Primary_subcategory,Alt_split
Ninja,s,style,exaggerating,"['skilled person', 'very proficient person', 'courageous person', 'they', 'person who continues despite difficulties', 'someone devoted to their purpose', 'someone who sticks to their goal', 'someone willing to see things through', 'skilled people', 'very proficient people', 'courageous people']"
Sincerely,a,style,formality,"['Best regards', 'All the best', 'Thank you', 'Have a wonderful day', 'Let us know if you need anything']"
absolute,a,style,exaggerating,['-']
actually,adv,style,filler,['-']
best,a,style,exaggerating,"['preferred', 'fitting', 'satisfying', 'top-quality', 'outstanding', 'reliable', 'valuable', 'perfect', 'first-rate', 'magnificent']"
brilliant,a,style,exaggerating,"['inspired', 'talented', 'inventive', 'astute', 'creative']"
compelling,a,style,exaggerating,"['persuasive', 'interesting', 'exciting', 'sound', 'reasonable', 'credible', 'effective', 'conclusive', 'urgent', 'crucial', 'vital']"
competitor,s,style,exaggerating,"['market participant', 'market participants']"
completely,adv,style,filler,['-']
delicious,a,style,exaggerating,"['-', 'appealing', 'tasty', 'charming', 'refreshing', 'stimulating']"
dynamic,a,style,hollow,"[""--- don't use for people"", 'lively', 'energetic', 'spirited', 'enthusiastic', 'committed', 'vibrant', 'effective', 'productive', 'adaptable']"
establishment,s,style,hollow,"['business', 'organization', 'place of business', 'start', 'founding', 'process of setting up', 'public institution', 'private institution', 'dominant group', 'people with power and influence', 'businesses', 'organizations', 'places of business', 'start', 'founding', 'processes of setting up', 'public institutions', 'private institutions', 'dominant groups', 'people with power and influence']"
excellence,s,style,exaggerating,['-']
excellent,a,style,exaggerating,"['-', 'remarkable', 'inspiring', 'very good', 'fine', 'exemplary']"
exceptional,a,style,exaggerating,"['-', 'remarkable', 'inspiring', 'surprising', 'unusual', 'exemplary']"
extra-ordinary,a,style,exaggerating,"['-', 'remarkable', 'inspiring', 'baffling', 'unusual', 'exemplary']"
extraordinary,a,style,exaggerating,"['-', 'remarkable', 'inspiring', 'baffling', 'unusual', 'exemplary']"
extreme,a,style,exaggerating,"['-', 'scute', 'major', 'substantial', 'severe', 'over-the-top', '']"
fantastic,a,style,exaggerating,"['-', 'remarkable', 'inspiring', 'amazing', 'riveting', 'stimulating']"
first,a,style,hollow,"['initial', 'principal', 'number-one']"
first-class,a,style,exaggerating,"['-', 'quality-focused', 'luxurious', 'fabulous', 'extravagant', 'stylish']"
first-mover,s,style,exaggerating,"['the first to market a product', 'the first to offer a service', 'the first to seize a market opportunity', 'those first to market a product', 'those first to offer a service', 'those first to seize a market opportunity']"
firstclass,a,style,exaggerating,"['-', 'quality-focused', 'luxurious', 'fabulous', 'extravagant', 'stylish']"
firstmover,s,style,exaggerating,"['the first to market a product', 'the first to offer a service', 'the first to seize a market opportunity', 'those first to market a product', 'those first to offer a service', 'those first to seize a market opportunity']"
flexible,a,style,hollow,"[""--- don't use for people"", 'adaptable', 'strategically nimble', 'pragmatic', 'open', 'agile', 'variable', 'mobile', 'defined by its users']"
front-runner,s,style,exaggerating,"['-', 'favorite', 'person who sets the pace', 'probable winner', 'favorites', 'people who set the pace', 'probable winners']"
frontrunner,s,style,exaggerating,"['-', 'favorite', 'person who sets the pace', 'probable winner', 'favorites', 'people who set the pace', 'probable winners']"
geek,s,style,exaggerating,"['-', 'techie', 'intellectual', 'bookworm', 'person devoted to academic pursuits', 'person with a high level of knowledge (skills) in', 'techies', ' intellectuals', 'bookworms', 'people devoted to academic pursuits', 'people with a high level of knowledge (skills) in']"
generally,adv,style,filler,['-']
global,a,style,hollow,"['--- be specific to build trust', 'in (...) countries', '(...) offices across (...) continents']"
go-getter,s,style,exaggerating,"['bundle of energy', 'ball of fire', 'someone who sticks to their goal', 'person happy to see things through', 'someone who continues despite difficulty', 'person loyal to their cause', 'motivated people', 'energetic and focused colleagues']"
god,s,style,exaggerating,['-']
gogetter,s,style,exaggerating,"['bundle of energy', 'ball of fire', 'someone who sticks to their goal', 'person happy to see things through', 'someone who continues despite difficulty', 'person loyal to their cause', 'motivated people', 'energetic and focused colleagues']"
good,a,style,hollow,"['exceptional', 'acceptable', 'worthy', 'favorable', 'positive']"
great,a,style,hollow,"['sizable', 'strong', 'generous', 'exceptional', 'nicely']"
