Lemma,Word_Type,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split,False_Positives
birth-defect,s,unconscious_bias,advanced_ability,advanced_ability,"['is disabled', 'has a disability', 'congenital disability', 'has congenital ((health condition))', 'born with ((health condition))', '---name congenital health condition or disability', 'having disabilities', 'congenital disabilities', 'having congenital ((health conditions))', 'born with ((health conditions))']","['are disabled', 'having disabilities', 'congenital disabilities', 'having congenital ((health conditions))', 'born with ((health conditions))', '---name congenital health condition or disability']","['---name congenital health condition or disability', 'has a disability', 'congenital disability', 'has congenital ((health condition))', 'born with ((health condition))', 'is disabled', 'having disabilities', 'congenital disabilities', 'having congenital ((health conditions))', 'born with ((health conditions))', 'are disabled']",
diffability,s,unconscious_bias,advanced_ability,advanced_ability,"['disability', 'ability status', 'physical disability', 'mobility disability', 'disabilities', 'ability status', 'physical disabilities', 'mobility disabilities', 'person with a disability(...)']","['disabilities', 'ability status', 'physical disabilities', 'mobility disabilities', 'persons with a disability(...)']","['disability', 'ability status', 'physical disability', 'mobility disability', 'person with a disability(...)', 'disabilities', 'ability status', 'physical disabilities', 'mobility disabilities']",
dotard,s,unconscious_bias,advanced_ability,advanced_ability,"['person in their dotage(...)', 'physically weak person(...)', 'person whose mental faculties have declined(...)']","['persons in their dotage(...)', 'physically weak persons(...)', 'persons whose mental faculties have declined(...)']","['person in their dotage(...)', 'physically weak person(...)', 'person whose mental faculties have declined(...)']",
inmate,s,unconscious_bias,advanced_ability,advanced_ability,"['patient in a psychiatric hospital ward(...)', 'someone confined to a mental health unit(...)', 'patient in a behavioral health unit(...)', 'person with a mental impairments or psychiatric disability who receives care in an institution(...)']","['patients in a psychiatric hospital unit(...)', 'people confined to a mental health unit(...)', 'patients in a behavioral health unit(...)', 'persons with mental or psychiatric disabilities who receive care in an institution(...)']","['patient in a psychiatric hospital ward(...)', 'someone confined to a mental health unit(...)', 'patient in a behavioral health unit(...)', 'person with a mental impairments or psychiatric disability who receives care in an institution(...)']",
symptom,s,unconscious_bias,advanced_ability,advanced_ability,"['trait', 'quality', 'how ((health condition or disability) manifests (for someone)', 'how someone experiences ((health condition or disability)', 'traits', 'qualities', 'how ((health condition or disability) manifests (for someone)', 'how someone experiences ((health condition or disability)']","['traits', 'qualities', 'how ((health condition or disability) manifests (for someone)', 'how someone experiences ((health condition or disability)']","['trait', 'quality', 'how ((health condition or disability) manifests (for someone)', 'how someone experiences ((health condition or disability)', 'traits', 'qualities', 'how ((health condition or disability) manifests (for someone)', 'how someone experiences ((health condition or disability)']",
boomer,s,unconscious_bias,age_old,age_old,"['older person', 'adult', 'someone born between 1946 and 1964', 'older people', 'adults', 'people born between 1946 and 1964']","['older people', 'adults', 'people born between 1946 and 1964']","['older person', 'adult', 'someone born between 1946 and 1964', 'older people', 'adults', 'people born between 1946 and 1964']",baby boomer
cougar,s,unconscious_bias,age_old,age_old,"['older person', 'adult', 'older people', 'adults', 'someone interested in a younger person(...)']","['older people', 'adults', 'people interested in younger people (...)']","['older person', 'adult', 'someone interested in a younger person(...)', 'older people', 'adults']",
dinosaur,s,unconscious_bias,age_old,age_old,"['older person', 'adult', 'older people', 'adults']","['older people', 'adults']","['older person', 'adult', 'older people', 'adults']",
fossil,s,unconscious_bias,age_old,age_old,"['older person', 'retiree', 'older people', 'retirees', 'someone with outdated views(...)', 'person with traditional views(...)']","['older people', 'retirees', 'persons with outdated views(...)', 'persons with traditional views(...)']","['older person', 'retiree', 'someone with outdated views(...)', 'person with traditional views(...)', 'older people', 'retirees']",fossil fuels | fossil fuel | fossil watch | fossil smart watch | fossil promo | fossil gen 6 | fossil group | fossil finding | fossil find | fossil finance | fossil energy | fossil carbon
geezer,s,unconscious_bias,age_old,age_old,"['eccentric man', 'older person', 'eccentric men', 'older people']","['eccentric men', 'older people']","['eccentric man', 'older person', 'eccentric men', 'older people']",
