Lemma,subcategory,is active,Wordtype,Forms,Alternative_Singular,Alternative_Plural,Alternative_Singular_split,Alternative_Plural_split
Arbeitskollege,,1.0,s,n?,"Person, die im selben Team arbeitet | Teammitglied | Person, die im selben Unternehmen arbeitet | Person, die man von der Arbeit kennt | Arbeitskollegin/Arbeitskollege | Arbeitskolleg:in","Personen, die im selben Team arbeiten | Teammitglieder | Team | Personen, die im selben Unternehmen arbeiten | Personen, die man von der Arbeit kennt | Arbeitskolleginnen und Arbeitskollegen | Arbeitskolleg:innen","['Person, die im selben Team arbeitet', 'Teammitglied', 'Person, die im selben Unternehmen arbeitet', 'Person, die man von der Arbeit kennt', 'Arbeitskollegin/Arbeitskollege', 'Arbeitskolleg:in']","['Personen, die im selben Team arbeiten', 'Teammitglieder', 'Team', 'Personen, die im selben Unternehmen arbeiten', 'Personen, die man von der Arbeit kennt', 'Arbeitskolleginnen und Arbeitskollegen', 'Arbeitskolleg:innen']"
Chef,gendered_roles_hierachy,1.0,s,s?,"Person, die die Verantwortung trägt | entscheidungsbefugte Person | Person, die die Entscheidungen fällt | die vorgesetzte Person | Kopf (einer Agentur / Abteilung / Firma) | leitende Person | Leitungsperson | Leitung | Führungskraft | Vorgesetzte/Vorgesetzter | Vorgesetzt:e  | Chef:in","Personen, die die Verantwortung tragen | entscheidungsbefugte Personen | Personen, die die Entscheidungen fällen | die vorgesetzten Personen | Köpfe (einer Agentur / Abteilung / Firma) | Leitung | Führungskräfte | Vorgesetzte | Chef:innen","['Person, die die Verantwortung trägt', 'entscheidungsbefugte Person', 'Person, die die Entscheidungen fällt', 'die vorgesetzte Person', 'Kopf (einer Agentur / Abteilung / Firma)', 'leitende Person', 'Leitungsperson', 'Leitung', 'Führungskraft', 'Vorgesetzte/Vorgesetzter', 'Vorgesetzt:e ', 'Chef:in']","['Personen, die die Verantwortung tragen', 'entscheidungsbefugte Personen', 'Personen, die die Entscheidungen fällen', 'die vorgesetzten Personen', 'Köpfe (einer Agentur / Abteilung / Firma)', 'Leitung', 'Führungskräfte', 'Vorgesetzte', 'Chef:innen']"
Boss,gendered_roles_hierachy,1.0,s,,"Person, die die Verantwortung trägt | entscheidungsbefugte Person | Person, die die Entscheidungen fällt | die vorgesetzte Person | Kopf (einer Agentur / Abteilung / Firma) | leitende Person | Leitungsperson | Leitung | Führungskraft | Vorgesetzte/Vorgesetzter | Vorgesetzt:e ","Personen, die die Verantwortung tragen | entscheidungsbefugte Personen | Personen, die die Entscheidungen fällen | die vorgesetzten Personen | Köpfe (einer Agentur / Abteilung / Firma) | leitende Personen | Leitungspersonen | Leitung | Führungskräfte | Vorgesetzte","['Person, die die Verantwortung trägt', 'entscheidungsbefugte Person', 'Person, die die Entscheidungen fällt', 'die vorgesetzte Person', 'Kopf (einer Agentur / Abteilung / Firma)', 'leitende Person', 'Leitungsperson', 'Leitung', 'Führungskraft', 'Vorgesetzte/Vorgesetzter', 'Vorgesetzt:e ']","['Personen, die die Verantwortung tragen', 'entscheidungsbefugte Personen', 'Personen, die die Entscheidungen fällen', 'die vorgesetzten Personen', 'Köpfe (einer Agentur / Abteilung / Firma)', 'leitende Personen', 'Leitungspersonen', 'Leitung', 'Führungskräfte', 'Vorgesetzte']"
Generalist,gendered_roles_hierachy,1.0,s,(en)?,"Mensch, der vielseitig begabt ist | Multitalent | fachlich breit aufgestellter Mensch | Mensch, der vielseitig interessiert ist | Generalistin/Generalist | Generalist:innen",vielseitig begabte Menschen | Multitalente | fachlich breit aufgestelle Personen | vielseitig interessierte Menschen | Generalistinnen und Generalisten | Generalist:innen | Generalistinnen und Generalisten | fachlich breit ausgerichtete Personen ,"['Mensch, der vielseitig begabt ist', 'Multitalent', 'fachlich breit aufgestellter Mensch', 'Mensch, der vielseitig interessiert ist', 'Generalistin/Generalist', 'Generalist:innen']","['vielseitig begabte Menschen', 'Multitalente', 'fachlich breit aufgestelle Personen', 'vielseitig interessierte Menschen', 'Generalistinnen und Generalisten', 'Generalist:innen', 'Generalistinnen und Generalisten', 'fachlich breit ausgerichtete Personen ']"
guy,gendered_denominations,1.0,s,s?,Kamerad:in | Freund:in | Kolleg:in,Team | Kolleg:innen | Freund:innen | Kamerad:innen,"['Kamerad:in', 'Freund:in', 'Kolleg:in']","['Team', 'Kolleg:innen', 'Freund:innen', 'Kamerad:innen']"
Mann,,1.0,s,,Person,Personen | Leute,['Person'],"['Personen', 'Leute']"
Herr,,1.0,s,(en)?,Person,Personen | Leute,['Person'],"['Personen', 'Leute']"
manpower,gendered_roles_hierachy,1.0,s,,(menschliche) Arbeitskraft | Arbeitspotenzial | Erwerbsperson | Ressource,Arbeitskräfte | die Arbeit unserer Angestellten |  | Arbeitspotenzial | Erwerbspersonen | Personal | Ressourcen,"['(menschliche) Arbeitskraft', 'Arbeitspotenzial', 'Erwerbsperson', 'Ressource']","['Arbeitskräfte', 'die Arbeit unserer Angestellten', '', 'Arbeitspotenzial', 'Erwerbspersonen', 'Personal', 'Ressourcen']"
männlich,,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,bezüglich einer Person,,['bezüglich einer Person'],['']
Großkunde,,1.0,s,n?,"Groß-Account | Kundschaft, die in großem Umfang (Leistungen / Waren) bezieht | Klientel, die in großem Umfang (Leistungen / Waren) bezieht | Großkundin/Großkunde | Großkund:in","Kundschaft, die in großem Umfang (Leistungen / Waren) bezieht | Klientel, die in großem Umfang (Leistungen / Waren) bezieht | Großkund:innen | Großkundinnen und Großkunden","['Groß-Account', 'Kundschaft, die in großem Umfang (Leistungen / Waren) bezieht', 'Klientel, die in großem Umfang (Leistungen / Waren) bezieht', 'Großkundin/Großkunde', 'Großkund:in']","['Kundschaft, die in großem Umfang (Leistungen / Waren) bezieht', 'Klientel, die in großem Umfang (Leistungen / Waren) bezieht', 'Großkund:innen', 'Großkundinnen und Großkunden']"
