Lemma,Priority,Category,Primary_subcategory,Alt_Field,Alt_split
afro-saxon,,openly_discriminating,racism,-,['-']
Baboushka,,openly_discriminating,xenophobia,-,['-']
Barbie,,openly_discriminating,racism,-,['-']
battle-axe,,openly_discriminating,sexism,-,['-']
bean-eater ,,openly_discriminating,xenophobia,-,['-']
bean-flicker,,openly_discriminating,homophobia,-,['-']
beaner,,openly_discriminating,xenophobia,-,['-']
bender,,openly_discriminating,homophobia,-,['-']
bent,,openly_discriminating,homophobia,-,['-']
bentshot,,openly_discriminating,homophobia,-,['-']
Beulah ,,openly_discriminating,racism,-,['-']
bimbo,,openly_discriminating,sexism,-,['-']
Bin-Laden,,openly_discriminating,antimuslim,-,['-']
boche,,openly_discriminating,xenophobia,-,['-']
bogan,,openly_discriminating,racism,-,['-']
bøsser,,openly_discriminating,homophobia,-,['-']
Brownie,,openly_discriminating,homophobia,-,['-']
Buckwheat,,openly_discriminating,racism,-,['-']
buddhahead,,openly_discriminating,racism,-,['-']
bufter,,openly_discriminating,homophobia,-,['-']
bufty,,openly_discriminating,homophobia,-,['-']
bugger,,openly_discriminating,homophobia,-,['-']
bum-boy,,openly_discriminating,homophobia,-,['-']
bum-chum,,openly_discriminating,homophobia,-,['-']
bum-driller,,openly_discriminating,homophobia,-,['-']
bum-robber,,openly_discriminating,homophobia,-,['-']
bumhole-engineer,,openly_discriminating,homophobia,-,['-']
butch,,openly_discriminating,homophobia,-,['-']
butt-boy,,openly_discriminating,homophobia,-,['-']
butt-fruit,,openly_discriminating,homophobia,-,['-']
butt-pilot,,openly_discriminating,homophobia,-,['-']
butt-pirate,,openly_discriminating,homophobia,-,['-']
butt-rider,,openly_discriminating,homophobia,-,['-']
butt-rustler,,openly_discriminating,homophobia,-,['-']
campers,,openly_discriminating,antisemitism,-,['-']
caphead,,openly_discriminating,antisemitism,-,['-']
chi-chi-man,,openly_discriminating,homophobia,-,['-']
chicano,,openly_discriminating,xenophobia,-,['-']
chink,,openly_discriminating,xenophobia,-,['-']
cholo,,openly_discriminating,racism,-,['-']
chopperflops,,openly_discriminating,xenophobia,-,['-']
chuntaro,,openly_discriminating,xenophobia,-,['-']
Cochise,,openly_discriminating,racism,-,['-']
cocksucker,,openly_discriminating,homophobia,-,['-']
coco,,openly_discriminating,racism,-,['-']
coolie,,openly_discriminating,xenophobia,-,['-']
Coon,,openly_discriminating,racism,-,['-']
crafty-butcher,,openly_discriminating,homophobia,-,['-']
crick-crick,,openly_discriminating,xenophobia,-,['-']
crone,,openly_discriminating,sexism,-,['-']
cunt-boy,,openly_discriminating,transphobia,-,['-']
curley,,openly_discriminating,antisemitism,-,['-']
curlie,,openly_discriminating,antisemitism,-,['-']
daffodil,,openly_discriminating,homophobia,-,['-']
daffy,,openly_discriminating,homophobia,-,['-']
darkie,,openly_discriminating,racism,-,['-']
donut-muncher,,openly_discriminating,homophobia,-,['-']
donut-puncher,,openly_discriminating,homophobia,-,['-']
dyke,,openly_discriminating,homophobia,-,['-']
Euro-weenies,,openly_discriminating,xenophobia,-,['-']
euroscum,,openly_discriminating,xenophobia,-,['-']
eurotrash,,openly_discriminating,xenophobia,-,['-']
fag,,openly_discriminating,homophobia,-,['-']
faggot,,openly_discriminating,homophobia,-,['-']
fairy,,openly_discriminating,homophobia,-,['-']
