Lemma,Priority,Category,Primary_subcategory,Alt_split
aber,,style,filler,['-']
abermals,,style,filler,['-']
allein,,style,filler,['-']
allemal,,style,filler,['-']
allenfalls,,style,filler,['-']
allenthalben,,style,filler,['-']
allerdings,,style,filler,['-']
allesamt,,style,filler,['-']
allzu,,style,filler,['-']
also,,style,filler,['-']
andauernd,,style,filler,['-']
andererseits,,style,filler,['-']
andernfalls,,style,filler,['-']
anscheinend,,style,filler,['-']
auch,,style,filler,['-']
auffallend,,style,filler,['-']
augenscheinlich,,style,filler,['-']
ausdrücklich,,style,filler,['-']
ausgerechnet,,style,filler,['-']
ausnahmslos,,style,filler,['-']
außerdem,,style,filler,['-']
beinahe,,style,filler,['-']
bekanntlich,,style,filler,['-']
bereits,,style,filler,['-']
besonders,,style,filler,['-']
bestenfalls,,style,filler,['-']
bloß,,style,filler,['-']
dabei,,style,filler,['-']
dadurch,,style,filler,['-']
dagegen,,style,filler,['-']
daher,,style,filler,['-']
damals,,style,filler,['-']
danach,,style,filler,['-']
demgegenüber,,style,filler,['-']
demgemäß,,style,filler,['-']
demnach,,style,filler,['-']
denn,,style,filler,['-']
dennoch,,style,filler,['-']
deshalb,,style,filler,['-']
deswegen,,style,filler,['-']
doch,,style,filler,['-']
durchaus,,style,filler,['-']
durchweg,,style,filler,['-']
eben,,style,filler,['-']
eigentlich,,style,filler,['-']
einerseits,,style,filler,['-']
einige,,style,filler,['-']
einigermaßen,,style,filler,['-']
einmal,,style,filler,['-']
ergo,,style,filler,['-']
erheblich,,style,filler,['-']
etc.,,style,filler,['-']
etliche,,style,filler,['-']
etwa,,style,filler,['-']
fast,,style,filler,['-']
folgendermaßen,,style,filler,['-']
folglich,,style,filler,['-']
förmlich,,style,filler,['-']
fortwährend,,style,filler,['-']
fraglos,,style,filler,['-']
freilich,,style,filler,['-']
ganz,,style,filler,['-']
gänzlich,,style,filler,['-']
gar,,style,filler,['-']
gelegentlich,,style,filler,['-']
gemeinhin,,style,filler,['-']
geradezu,,style,filler,['-']
gewiss,,style,filler,['-']
gewissermaßen,,style,filler,['-']
glatt,,style,filler,['-']
gleichsam,,style,filler,['-']
gleichwohl,,style,filler,['-']
glücklicherweise,,style,filler,['-']
gottseidank,,style,filler,['-']
größtenteils,,style,filler,['-']
halt,,style,filler,['-']
häufig,,style,filler,['-']
hingegen,,style,filler,['-']
hinlänglich,,style,filler,['-']
höchst,,style,filler,['-']
höchstens,,style,filler,['-']
immer,,style,filler,['-']
immerhin,,style,filler,['-']
immerzu,,style,filler,['-']
indessen,,style,filler,['-']
infolgedessen,,style,filler,['-']
insbesondere,,style,filler,['-']
inzwischen,,style,filler,['-']
irgend,,style,filler,['-']
irgendein,,style,filler,['-']
irgendjemand,,style,filler,['-']
irgendwann,,style,filler,['-']
irgendwie,,style,filler,['-']
irgendwo,,style,filler,['-']
je,,style,filler,['-']
jedenfalls,,style,filler,['-']
kaum,,style,filler,['-']
keinesfalls,,style,filler,['-']
keineswegs,,style,filler,['-']
längst,,style,filler,['-']
lediglich,,style,filler,['-']
leider,,style,filler,['-']
letztlich,,style,filler,['-']
manchmal,,style,filler,['-']
mehrfach,,style,filler,['-']
meinetwegen,,style,filler,['-']
meist,,style,filler,['-']
meistens,,style,filler,['-']
