Lemma,Word_Type,Priority,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
absolut,a,,unconscious_bias,exaggerating,"['durch und durch', 'real', 'umfassend', 'uneingeschränkt', 'gründlich', 'zweifelsohne', 'gerne', 'zuverlässig']",[''],"['durch und durch', 'real', 'umfassend', 'uneingeschränkt', 'gründlich', 'zweifelsohne', 'gerne', 'zuverlässig']"
alt,a,,unconscious_bias,age_old,"['erfahren', 'kompetent', 'ausgebildet', 'qualifiziert', 'geübt', 'kundig', 'routiniert', 'unaufgeregt', 'informiert', 'orientiert', 'geschult', 'unterrichtet']",[''],"['erfahren', 'kompetent', 'ausgebildet', 'qualifiziert', 'geübt', 'kundig', 'routiniert', 'unaufgeregt', 'informiert', 'orientiert', 'geschult', 'unterrichtet']"
ausgeprägt,a,,unconscious_bias,exaggerating,"['sichtbar', 'intensiv', 'wahrnehmbar', 'gründlich', 'spürbar', 'merklich', 'klar erkennbar', 'klar umrissen', 'prägnant', 'klar ersichtlich']",[''],"['sichtbar', 'intensiv', 'wahrnehmbar', 'gründlich', 'spürbar', 'merklich', 'klar erkennbar', 'klar umrissen', 'prägnant', 'klar ersichtlich']"
ausgezeichnet,a,,unconscious_bias,exaggerating,"['gut', 'bemerkenswert', 'mit einem Preis gewürdigt', 'öffentlich geehrt', 'auf (...) stolz sein dürfen']",[''],"['gut', 'bemerkenswert', 'mit einem Preis gewürdigt', 'öffentlich geehrt', 'auf (...) stolz sein dürfen']"
außergewöhnlich,a,,unconscious_bias,exaggerating,"['kreativ', 'gut', 'komplex', 'beeindruckend', 'eindrucksvoll', 'auffällig', 'sich positiv abhebend', 'bemerkenswert']",[''],"['kreativ', 'gut', 'komplex', 'beeindruckend', 'eindrucksvoll', 'auffällig', 'sich positiv abhebend', 'bemerkenswert']"
außerordentlich,a,,unconscious_bias,exaggerating,"['gut', 'eindrucksvoll', 'bemerkenswert']",[''],"['gut', 'eindrucksvoll', 'bemerkenswert']"
beeindrucken,v,,unconscious_bias,exaggerating,"['einen guten Eindruck hinterlassen', 'einen guten Eindruck machen', 'wirken', 'bewegen', 'sich hervortun']",[''],"['einen guten Eindruck hinterlassen', 'einen guten Eindruck machen', 'wirken', 'bewegen', 'sich hervortun']"
beeindruckend,a,,unconscious_bias,exaggerating,"['gut', 'bewegend', 'inspirierend', 'bemerkenswert', 'eindrucksvoll', 'wirkungsvoll']",[''],"['gut', 'bewegend', 'inspirierend', 'bemerkenswert', 'eindrucksvoll', 'wirkungsvoll']"
beste,a,,unconscious_bias,exaggerating,"['leicht', 'einfach', 'mühelos', 'wirkungsvoll', 'als positiv empfunden', 'erfüllend', 'befriedigend', 'bereichernd', 'schön', 'fein', 'gut', 'passend']",[''],"['leicht', 'einfach', 'mühelos', 'wirkungsvoll', 'als positiv empfunden', 'erfüllend', 'befriedigend', 'bereichernd', 'schön', 'fein', 'gut', 'passend']"
braun,a,,unconscious_bias,racist_source,['of color'],[''],['of color']
